id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"licht","Licht","MALE","false","8","136","1247",,"11","33","0.10126262626262626","0.9230769230769231","0.35653663401231883"
"adam","Adam","MALE","false","10","364","4952",,"11","36","0.123989898989899","0.9230769230769231","0.3432576824876965"
"der_bediente","Der Bediente","MALE","false","1","9","79",,"4","4","0","0.6","0.13327051529237108"
"erste_magd","Erste Magd","FEMALE","false","3","8","56",,"7","10","0.021464646464646464","0.7058823529411765","0.23704608979253428"
"zweite_magd","Zweite Magd","FEMALE","false","2","12","119",,"6","7","0.021464646464646464","0.6666666666666666","0.18203477074785335"
"walter","Walter","MALE","false","9","216","2420",,"11","37","0.11262626262626262","0.9230769230769231","0.353492883897766"
"der_buettel","Der Büttel","MALE","false","1","1","4",,"3","3","0","0.5714285714285714","0.10467309384482172"
"frau_marthe","Frau Marthe","FEMALE","false","6","73","2409",,"8","27","0.00909090909090909","0.75","0.298557697746154"
"veit","Veit","MALE","false","5","17","330",,"8","28","0.00505050505050505","0.75","0.2977477152493311"
"ruprecht","Ruprecht","MALE","false","6","90","1803",,"9","32","0.01919191919191919","0.8","0.32297742250610606"
"eve","Eve","FEMALE","false","5","53","950",,"8","28","0.00505050505050505","0.75","0.29774771524933097"
"frau_brigitte","Frau Brigitte","FEMALE","false","2","21","638",,"8","13","0.00505050505050505","0.75","0.29774771524933097"
"mehrere","Mehrere","UNKNOWN","true","1","1","15",,"6","6","0","0.6666666666666666","0.2294370494160124"
