id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"lukas","Lukas","MALE","false","9","37","402",,"5","15","0.007040998217468805","0.5666666666666667","0.16069902136982878"
"vinzenz","Vinzenz","MALE","false","5","24","660",,"5","9","0.001838235294117647","0.5666666666666667","0.17204325796747022"
"hans_karl","Hans Karl","MALE","false","29","424","6648",,"13","49","0.19325237670825907","0.8095238095238095","0.37725838565051445"
"crescence","Crescence","FEMALE","false","13","126","2905",,"13","29","0.17678995840760547","0.8095238095238095","0.38368791567692023"
"neugebauer","Sekretär Neugebauer","MALE","false","3","19","335",,"3","5","0","0.5","0.11487340797568259"
"agathe","Agathe","FEMALE","false","3","36","766",,"2","4","0","0.5","0.0771151030101999"
"stani","Stani","MALE","false","12","172","3643",,"9","22","0.09943181818181818","0.6538461538461539","0.24144575987241848"
"neuhoff","Neuhoff","MALE","false","5","80","1952",,"8","11","0.016666666666666666","0.6538461538461539","0.29502898469278954"
"altenwyl","Altenwyl","MALE","false","1","10","386",,"5","5","0","0.5666666666666667","0.20405400122748435"
"helene","Helene","FEMALE","false","6","136","1939",,"8","12","0.020903891859774214","0.6538461538461539","0.2876750598264686"
"edine","Edine","FEMALE","false","5","32","828",,"9","14","0.05723039215686275","0.6538461538461539","0.2935096452987163"
"der_beruehmte_mann","Der berühmte Mann","MALE","false","4","35","630",,"7","8","0.009384284016636957","0.6296296296296297","0.26506064458787537"
"antoinette","Antoinette","FEMALE","false","11","97","2098",,"10","19","0.10105095068330362","0.7083333333333334","0.31437516989896475"
"huberta","Huberta","FEMALE","false","5","16","155",,"4","11","0.007434640522875817","0.53125","0.13513106435402356"
"nanni","Nanni","FEMALE","false","3","8","127",,"3","8","0","0.4594594594594595","0.09260847129897123"
"kammerdiener","Kammerdiener","MALE","false","4","20","133",,"6","7","0.0372140522875817","0.5862068965517241","0.1750912795310151"
"diener","Diener","MALE","false","1","6","45",,"3","3","0","0.4722222222222222","0.07899314503777415"
"hechingen","Hechingen","MALE","false","7","66","1479",,"7","15","0.043820558526440886","0.6296296296296297","0.21723363747761684"
