id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"oberst","Oberst","MALE","false","6","172","4394",,"22","56","0.026062475074332774","0.9583333333333334","0.24676372668130733"
"ida","Ida","FEMALE","false","4","56","564",,"17","37","0.010676784787456725","0.7931034482758621","0.19596198164034354"
"oldendorf","Oldendorf","MALE","false","5","72","1477",,"19","44","0.021268630359539447","0.8518518518518519","0.21163301630545028"
"senden","Senden","MALE","false","5","68","1382",,"22","52","0.026062475074332774","0.9583333333333334","0.24676372668130728"
"karl","Karl","MALE","false","4","19","191",,"13","31","0.0003293807641633728","0.696969696969697","0.16324283986232657"
"blumenberg","Blumenberg","MALE","false","4","31","683",,"19","42","0.00816925718111489","0.8518518518518519","0.2263971716583474"
"schmock","Schmock","MALE","false","3","24","768",,"18","27","0.005328597621087739","0.8214285714285714","0.21841077931930605"
"adelheid","Adelheid Runeck","FEMALE","false","6","191","4248",,"22","56","0.026062475074332774","0.9583333333333334","0.24676372668130728"
"korb","Korb","MALE","false","6","47","830",,"21","53","0.022840817504849124","0.92","0.23870034124661874"
"bolz","Conrad Bolz","MALE","false","4","202","6800",,"23","44","0.037769608520596666","1","0.2512874366759402"
"mueller","Müller","MALE","false","2","11","139",,"13","17","0.006104282191238712","0.696969696969697","0.14781531174708706"
"bellmaus","Bellmaus","MALE","false","4","38","573",,"23","44","0.037769608520596666","1","0.2512874366759402"
"kaempe","Kämpe","MALE","false","3","23","353",,"21","32","0.027436178226692053","0.92","0.2347096978150319"
"henning","Buchdrucker Henning","MALE","false","2","5","99",,"18","22","0.012365894974590624","0.8214285714285714","0.2118092396757232"
"pavoni","Madame Pavoni","FEMALE","false","1","3","62",,"7","7","0","0.5897435897435898","0.0859539164322433"
"gast","Gast","MALE","false","1","1","8",,"15","15","0","0.7419354838709677","0.18836795290442596"
"piepenbrink","Piepenbrink","MALE","false","2","66","1147",,"19","27","0.00816925718111489","0.8518518518518519","0.2263971716583474"
"frau_piepenbrink","Frau Piepenbrink","FEMALE","false","1","11","71",,"15","15","0","0.7419354838709677","0.18836795290442596"
"kleinmichel","Kleinmichel","MALE","false","1","10","90",,"15","15","0","0.7419354838709677","0.18836795290442596"
"fritz_kleinmichel","Fritz Kleinmichel","MALE","false","2","7","129",,"19","27","0.00816925718111489","0.8518518518518519","0.2263971716583474"
"berta","Berta","FEMALE","false","1","0","2",,"15","15","0","0.7419354838709677","0.18836795290442596"
"maennerchor","Männerchor","MALE","true","1","1","62",,"12","12","0","0.6764705882352942","0.15174808796041897"
"koerner","Körner","MALE","false","1","0","4",,"10","10","0","0.6388888888888888","0.11958168453827399"
"schwarz","Schwarz","MALE","false","1","4","69",,"10","10","0","0.6388888888888888","0.11958168453827399"
