id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"anton","Anton","MALE","false","5","23","281",,"7","9","0.18947368421052632","0.6060606060606061","0.16219795384203273"
"joseph","Joseph","MALE","false","1","3","29",,"2","2","0","0.39215686274509803","0.01899018394275263"
"christian","Christian","MALE","false","1","2","25",,"2","2","0","0.39215686274509803","0.01899018394275263"
"gluthammer","Gluthammer","MALE","false","10","97","1579",,"10","18","0.02303258145363409","0.6666666666666666","0.2894179918010601"
"kathi","Kathi","FEMALE","false","21","137","1813",,"16","48","0.2645029239766083","0.8333333333333334","0.3462721515994141"
"lips","Lips","MALE","false","25","207","5206",,"14","53","0.12060568086883874","0.7692307692307693","0.34228775942754663"
"stifler","Stifler","MALE","false","16","64","547",,"11","60","0.03902673350041771","0.6896551724137931","0.3038430110866397"
"wixer","Wixer","MALE","false","13","41","403",,"10","54","0.014289891395154554","0.625","0.28845587301378883"
"sporner","Sporner","MALE","false","12","15","131",,"10","50","0.014289891395154554","0.625","0.28845587301378883"
"madame_schleier","Madame Schleier","FEMALE","false","11","75","849",,"8","25","0.0160233918128655","0.625","0.2277494908633529"
"die_herren","Die Herren","MALE","false","3","4","19",,"5","8","0","0.4878048780487805","0.1520565068131871"
"krautkopf","Krautkopf","MALE","false","15","138","1668",,"15","48","0.16010860484544695","0.7407407407407407","0.330109576970948"
"erster_knecht_2-1","Erster Knecht (II/1)","MALE","false","1","3","18",,"5","5","0","0.5263157894736842","0.1034060261245535"
"zweiter_knecht_2-1","Zweiter Knecht (II/1)","MALE","false","1","1","4",,"5","5","0","0.5263157894736842","0.1034060261245535"
"dritter_knecht_2-1","Dritter Knecht (II/1)","MALE","false","1","1","6",,"5","5","0","0.5263157894736842","0.1034060261245535"
"vierter_knecht_2-1","Vierter Knecht (II/1)","MALE","false","1","1","4",,"5","5","0","0.5263157894736842","0.1034060261245535"
"erster_knecht_2-4","Erster Knecht (II/4)","MALE","false","1","3","22",,"5","5","0","0.5405405405405406","0.13508270449790702"
"zweiter_knecht_2-4","Zweiter Knecht (II/4)","MALE","false","1","0","6",,"5","5","0","0.5405405405405406","0.13508270449790702"
"dritter_knecht_2-4","Dritter Knecht (II/4)","MALE","false","1","0","6",,"5","5","0","0.5405405405405406","0.13508270449790702"
"justitiaer","Justitiär","MALE","false","8","30","368",,"8","37","0.0007518796992481202","0.5882352941176471","0.252425094457776"
"alle_3-11","Alle (III/11)","UNKNOWN","false","1","1","1",,"7","7","0","0.5714285714285714","0.219575309544671"
