id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"nero","Nero","MALE","false","6","221","5758",,"34","41","0.19595959595959597","0.6181818181818182","0"
"lukanus","Lukanus","MALE","false","1","2","39",,"9","9","0","0.3562403697996918","0"
"erstes_maedchen","Erstes Mädchen","FEMALE","false","1","5","77",,"9","9","0","0.3562403697996918","0"
"zweites_maedchen","Zweites Mädchen","FEMALE","false","1","4","25",,"9","9","0","0.3562403697996918","0"
"andere_alle_maedchen","Andere/Alle Mädchen","FEMALE","true","1","4","15",,"9","9","0","0.3562403697996918","0"
"drittes_maedchen","Drittes Mädchen","FEMALE","false","1","3","14",,"9","9","0","0.3562403697996918","0"
"montanus","Montanus","MALE","false","1","1","9",,"9","9","0","0.3562403697996918","0"
"terpnus","Terpnus","MALE","false","1","2","2",,"9","9","0","0.3562403697996918","0"
"akte","Akte","FEMALE","false","2","17","437",,"14","15","0.01346801346801347","0.38922558922558925","0"
"zenturjo_1-1","Zenturjo (I/1)","MALE","false","1","1","17",,"9","9","0","0.3562403697996918","0"
"seneka","Seneka","MALE","false","1","11","134",,"3","3","0","0.3233566433566434","0"
"burrus","Burrus","MALE","false","1","14","1124",,"3","3","0","0.3233566433566434","0"
"tigellinus","Tigellinus","MALE","false","4","67","2982",,"23","28","0.045454545454545456","0.467070707070707","0"
"erster_christjanus","Erster Christjanus","MALE","false","1","3","46",,"13","13","0","0.23636363636363636","0"
"alle_uebrigen_die_andern","Alle Übrigen/Die Andern","UNKNOWN","true","1","4","6",,"13","13","0","0.23636363636363636","0"
"erster_leichentraeger","Erster Leichenträger","MALE","false","1","3","40",,"13","13","0","0.23636363636363636","0"
"zweite_christjana","Zweite Christjana","FEMALE","false","1","9","73",,"13","13","0","0.23636363636363636","0"
"erste_christjana","Erste Christjana","FEMALE","false","1","7","58",,"13","13","0","0.23636363636363636","0"
"dritte_christjana","Dritte Christjana","FEMALE","false","1","6","59",,"13","13","0","0.23636363636363636","0"
"zweiter_leichentraeger","Zweiter Leichenträger","MALE","false","1","3","41",,"13","13","0","0.23636363636363636","0"
"dritter_leichentraeger","Dritter Leichenträger","MALE","false","1","5","113",,"13","13","0","0.23636363636363636","0"
"einer_vom_dritten_transport","Einer vom dritten Transport","MALE","false","1","1","7",,"13","13","0","0.23636363636363636","0"
"ein_maedchen","Ein Mädchen","FEMALE","false","1","3","112",,"13","13","0","0.23636363636363636","0"
"erster_bote","Erster Bote","MALE","false","1","1","9",,"13","13","0","0.23636363636363636","0"
"zweiter_bote","Zweiter Bote","MALE","false","1","3","77",,"13","13","0","0.23636363636363636","0"
"euelpius","Euelpius","MALE","false","1","4","169",,"13","13","0","0.23636363636363636","0"
"zweiter_christjanus","Zweiter Christjanus","MALE","false","1","1","18",,"13","13","0","0.23636363636363636","0"
