id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"leonce","Leonce","MALE","false","7","84","3087",,"13","25","0.05526315789473684","0.6880952380952381","0.2883161403500323"
"hofmeister","Hofmeister","MALE","false","1","2","8",,"2","2","0","0.40138888888888885","0.05115530578525243"
"valerio","Valerio","MALE","false","7","59","2330",,"13","25","0.05526315789473684","0.6880952380952381","0.2883161403500323"
"koenig_peter","König Peter","MALE","false","2","25","674",,"15","16","0.11578947368421053","0.7605263157894737","0.3017868446452503"
"erster_kammerdiener","Erster Kammerdiener","MALE","false","1","2","18",,"5","5","0","0.48166666666666663","0.07373907242662753"
"zweiter_kammerdiener","Zweiter Kammerdiener","MALE","false","1","1","17",,"5","5","0","0.48166666666666663","0.07373907242662753"
"diener","Diener","MALE","false","1","1","6",,"5","5","0","0.48166666666666663","0.07373907242662753"
"praesident","Präsident","MALE","false","3","16","196",,"16","19","0.1526315789473684","0.8027777777777777","0.3081830835961277"
"der_ganze_staatsrat_im_chor","Der ganze Staatsrat im Chor","UNKNOWN","true","1","1","12",,"5","5","0","0.48166666666666663","0.07373907242662753"
"rosetta","Rosetta","FEMALE","false","1","18","136",,"3","3","0","0.46612903225806446","0.07849563880705748"
"lena","Lena","FEMALE","false","6","22","596",,"11","21","0","0.6282608695652173","0.27775152114356144"
"gouvernante","Gouvernante","FEMALE","false","5","15","194",,"11","19","0","0.6282608695652173","0.27775152114356144"
"landrat","Landrat","MALE","false","1","3","43",,"2","2","0","0.1","2.904281119201233E-9"
"schulmeister","Schulmeister","MALE","false","1","6","215",,"2","2","0","0.1","2.904281119201233E-9"
"die_bauern","Die Bauern","UNKNOWN","true","1","3","3",,"2","2","0","0.1","2.904281119201233E-9"
"zeremonienmeister","Zeremonienmeister","MALE","false","1","9","125",,"11","11","0","0.6282608695652173","0.27775152114356144"
"erster_bedienter","Erster Bedienter","MALE","false","1","4","105",,"11","11","0","0.6282608695652173","0.27775152114356144"
"zweiter_bedienter","Zweiter Bedienter","MALE","false","1","2","53",,"11","11","0","0.6282608695652173","0.27775152114356144"
"dritter_bedienter","Dritter Bedienter","MALE","false","1","1","8",,"11","11","0","0.6282608695652173","0.27775152114356144"
"vierter_diener","Vierter Diener","MALE","false","1","1","7",,"11","11","0","0.6282608695652173","0.27775152114356144"
"hofprediger","Hofprediger","MALE","false","1","5","48",,"11","11","0","0.6282608695652173","0.27775152114356144"
