id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"von_der_strasse_herauf_gesang_viele_stimmen_geschrei","Von der Straße herauf/Gesang/Viele Stimmen/Geschrei","UNKNOWN","true","1","6","39",,"15","15","0","0.631578947368421","0.17099889038804586"
"bancbanus","Bancbanus","MALE","false","5","146","4245",,"36","53","0.15458805744520032","1","0.2995495039246586"
"erster_diener_1","Erster Diener (I. Aufzug)","MALE","false","1","11","66",,"15","15","0","0.631578947368421","0.17099889038804586"
"zweiter_diener_1","Zweiter Diener (I. Aufzug)","MALE","false","1","1","2",,"15","15","0","0.631578947368421","0.17099889038804586"
"dienerin","Dienerin","FEMALE","false","1","3","12",,"15","15","0","0.631578947368421","0.17099889038804586"
"erny","Erny","FEMALE","false","3","77","1099",,"27","35","0.060831443688586534","0.8","0.255151137449859"
"ernys_kammerfrau","Ernys Kammerfrau","FEMALE","false","1","1","4",,"15","15","0","0.631578947368421","0.17099889038804586"
"erster_begleiter","Erster Begleiter","MALE","false","1","8","42",,"15","15","0","0.631578947368421","0.17099889038804586"
"otto","Otto","MALE","false","5","120","3310",,"36","53","0.15458805744520032","1","0.2995495039246586"
"zweiter_begleiter","Zweiter Begleiter","MALE","false","1","3","7",,"15","15","0","0.631578947368421","0.17099889038804586"
"diener_1","Diener (I. Aufzug)","MALE","false","1","1","6",,"15","15","0","0.631578947368421","0.17099889038804586"
"schlosshauptmann","Schloßhauptmann","MALE","false","2","7","122",,"23","25","0.03938019652305368","0.7346938775510204","0.2296820368931382"
"gertrude","Gertrude","FEMALE","false","1","22","818",,"15","15","0","0.631578947368421","0.17099889038804586"
"koenig","König","MALE","false","2","56","1644",,"21","23","0.030264550264550265","0.7058823529411765","0.21045330108834073"
"kaemmerer","Kämmerer","MALE","false","2","5","15",,"23","26","0.030990173847316695","0.7346938775510204","0.23460635344170827"
"alle","Alle (I. Aufzug)","UNKNOWN","true","1","1","9",,"15","15","0","0.631578947368421","0.17099889038804586"
"koenigin","Königin","FEMALE","false","3","117","2326",,"21","30","0.025472411186696905","0.7058823529411765","0.1808042401756542"
"bela","Bela","MALE","false","1","1","2",,"11","11","0","0.5901639344262295","0.12109277658803055"
"edelmann","Edelmann (II. Aufzug)","MALE","false","1","2","55",,"11","11","0","0.5901639344262295","0.12109277658803054"
"erster_diener_2","Erster Diener (II. Aufzug)","MALE","false","1","2","29",,"11","11","0","0.5901639344262295","0.12109277658803054"
"zweiter_diener_2","Zweiter Diener (II. Aufzug)","MALE","false","1","1","1",,"11","11","0","0.5901639344262295","0.12109277658803055"
"peter","Peter","MALE","false","4","37","289",,"26","38","0.05749811035525321","0.782608695652174","0.20927247410164407"
"simon","Simon","MALE","false","4","60","1245",,"26","38","0.05749811035525321","0.782608695652174","0.20927247410164407"
"diener_2","Diener (II. Aufzug)","MALE","false","1","2","21",,"11","11","0","0.5901639344262295","0.12109277658803054"
"arzt","Arzt","MALE","false","1","13","164",,"9","9","0","0.5714285714285714","0.09728658964287465"
"diener_3","Diener (III. Aufzug)","MALE","false","1","3","58",,"9","9","0","0.5714285714285714","0.09728658964287464"
"erster_diener_3","Erster Diener (III. Aufzug)","MALE","false","1","4","21",,"9","9","0","0.5714285714285714","0.09728658964287465"
"zweiter_diener_3","Zweiter Diener (III. Aufzug)","MALE","false","1","3","23",,"9","9","0","0.5714285714285714","0.09728658964287464"
"kammerfrau_der_koenigin","Kammerfrau der Königin","FEMALE","false","1","6","68",,"10","10","0","0.5806451612903226","0.10243799141534837"
"ein_gewaffneter","Ein Gewaffneter","MALE","false","1","1","6",,"10","10","0","0.5806451612903226","0.10243799141534837"
"erster_edelmann","Erster Edelmann","MALE","false","1","5","18",,"10","10","0","0.5806451612903226","0.10243799141534837"
"zweiter_edelmann","Zweiter Edelmann","MALE","false","1","1","9",,"10","10","0","0.5806451612903226","0.10243799141534837"
"ungarischer_anfuehrer","Ungarischer Anführer","MALE","false","1","1","35",,"10","10","0","0.5806451612903226","0.10243799141534837"
"soldat","Soldat","MALE","false","1","3","14",,"8","8","0","0.5625","0.08219407657925293"
"hauptmann","Hauptmann (V. Aufzug)","MALE","false","1","11","138",,"8","8","0","0.5625","0.08219407657925293"
"befehlshaber","Befehlshaber","MALE","false","1","10","141",,"8","8","0","0.5625","0.08219407657925293"
"zweiter_anfuehrer","Zweiter Anführer","MALE","false","1","5","82",,"8","8","0","0.5625","0.08219407657925293"
