id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"theophan","Theophan","MALE","false","16","186","4281",,"9","30","0.19444444444444445","0.9090909090909091","0.4118056812920333"
"adrast","Adrast","MALE","false","25","255","5735",,"9","37","0.19444444444444445","0.9090909090909091","0.4118056812920333"
"lisidor","Lisidor","MALE","false","7","62","1532",,"7","17","0.02777777777777778","0.7692307692307693","0.3754169419967593"
"johann","Johann","MALE","false","5","94","1900",,"5","8","0.05555555555555556","0.6666666666666666","0.2713346540920102"
"lisette","Lisette","FEMALE","false","10","63","1694",,"8","22","0.15","0.8333333333333334","0.390027221853162"
"henriette","Henriette","FEMALE","false","8","78","1679",,"5","19","0","0.6666666666666666","0.30287044453898004"
"juliane","Juliane","FEMALE","false","9","65","1388",,"5","20","0","0.6666666666666666","0.30287044453898004"
"martin","Martin","MALE","false","1","37","705",,"2","2","0","0.5","0.1058747687514254"
"araspe","Araspe","MALE","false","2","17","676",,"2","3","0","0.5263157894736842","0.1318486696547379"
"der_wechsler","Der Wechsler","MALE","false","2","32","419",,"2","2","0","0.5263157894736842","0.1318486696547379"
"frau_philane","Frau Philane","FEMALE","false","1","3","166",,"4","4","0","0.625","0.2543853979441211"
