id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"schulmeister","Der Schulmeister","MALE","false","7","110","3845",,"24","44","0.10263136863136858","0.9285714285714286","0.28103674742038837"
"tobies","Tobies","MALE","false","2","15","306",,"3","4","0","0.52","0.04740881977619446"
"gottliebchen","Gottliebchen","MALE","false","3","8","57",,"15","18","0.026228438228438226","0.7027027027027027","0.18972089196669809"
"teufel","Der Teufel","MALE","false","7","104","3124",,"22","34","0.10648484848484847","0.8666666666666667","0.26939810333115416"
"erster_naturhistoriker","Erster Naturhistoriker","MALE","false","3","9","383",,"13","19","0.0032980352980352973","0.6666666666666666","0.183360414028231"
"zweiter_naturhistoriker","Zweiter Naturhistoriker","MALE","false","2","4","237",,"13","18","0.0032980352980352973","0.6666666666666666","0.183360414028231"
"dritter_naturhistoriker","Dritter Naturhistoriker","MALE","false","2","6","117",,"13","18","0.0032980352980352973","0.6666666666666666","0.183360414028231"
"vierter_naturhistoriker","Vierter Naturhistoriker","MALE","false","2","6","205",,"13","18","0.0032980352980352973","0.6666666666666666","0.183360414028231"
"rattengift","Rattengift","MALE","false","6","56","1694",,"22","38","0.05647752247752248","0.8666666666666667","0.27430902687227654"
"liddy","Liddy","FEMALE","false","4","62","944",,"20","28","0.03797202797202797","0.8125","0.26192482554872953"
"wernthal","Herr von Wernthal","MALE","false","3","28","337",,"19","26","0.019254079254079258","0.7878787878787878","0.25888712788674223"
"baron","Baron von Haldungen","MALE","false","3","48","819",,"20","27","0.03797202797202797","0.8125","0.2619248255487295"
"ein_diener_1-3","Ein Diener (I/3)","MALE","false","1","1","19",,"11","11","0","0.6341463414634146","0.16099640804695728"
"der_bediente_1-4","Ein Bedienter (I/4)","MALE","false","1","3","29",,"2","2","0","0.49056603773584906","0.022732545064978366"
"schmied","Der Schmied","MALE","false","2","20","254",,"7","7","0.013076923076923076","0.5777777777777777","0.08792711443469646"
"freiherr","Freiherr von Mordax","MALE","false","3","16","290",,"14","19","0.007692307692307693","0.6842105263157895","0.19793150564007617"
"mollfels","Mollfels","MALE","false","6","45","1714",,"24","34","0.1267106227106227","0.9285714285714286","0.27444464068474855"
"der_bediente_2-4","Ein Bedienter (II/4)","MALE","false","1","2","27",,"3","3","0","0.52","0.05078632101887386"
"gretchen","Gretchen","FEMALE","false","1","4","74",,"5","5","0","0.5531914893617021","0.07045380792009445"
"einer_von_ihnen","Einer von ihnen (den Naturhistorikern)","MALE","false","1","1","19",,"7","7","0","0.5652173913043478","0.09945102443253846"
"die_spiessgesellen","Die Spießgesellen","MALE","true","1","1","1",,"4","4","0","0.5416666666666666","0.06506967877241943"
"der_hauswirt","Der Hauswirt","MALE","false","1","1","5",,"13","13","0","0.6666666666666666","0.19403948226499165"
"ein_diener_3-6a","Ein Diener (III/6)","MALE","false","1","1","17",,"13","13","0","0.6666666666666666","0.19403948226499163"
"des_teufels_grossmutter","Des Teufels Großmutter","FEMALE","false","1","4","70",,"13","13","0","0.6666666666666666","0.19403948226499165"
"nero","Kaiser Nero","MALE","false","1","3","17",,"13","13","0","0.6666666666666666","0.19403948226499165"
"der_bediente_3-6b","Ein Bedienter (III/6)","MALE","false","1","1","5",,"13","13","0","0.6666666666666666","0.19403948226499165"
"grabbe","Grabbe","MALE","false","1","1","7",,"13","13","0","0.6666666666666666","0.19403948226499163"
