id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"clown_odebrecht","Clown Odebrecht","MALE","false","14","59","1184",,"15","27","0.3195652173913043","0.7101449275362318","0.3893042685799761"
"radiana","Radiana","FEMALE","false","11","64","2064",,"6","16","0.021343873517786556","0.5045766590389016","0.17133981070423812"
"ein_stallmeister_1-2","Ein Stallmeister (I/2)","MALE","false","1","2","57",,"1","1","0","0.4079555966697502","0.049599233354994166"
"luisa","Luisa","FEMALE","false","10","49","1603",,"5","13","0.016073781291172592","0.491638795986622","0.12194373904997362"
"wendelborn","Philipp Wendelborn","MALE","false","16","90","3527",,"10","22","0.1494729907773386","0.5991847826086956","0.24438706455056983"
"vater_buntschuh","Vater Buntschuh","MALE","false","6","9","340",,"4","9","0","0.4357707509881423","0.10976876366600352"
"mutter_buntschuh","Mutter Buntschuh","FEMALE","false","16","70","1691",,"5","19","0.003952569169960474","0.45652173913043476","0.12913151202507062"
"diener_franz","Diener Franz","MALE","false","11","23","386",,"5","13","0.010869565217391304","0.4459049544994944","0.1149423891806434"
"der_sekretaer","Der Sekretär","MALE","false","3","5","84",,"2","3","0","0.37595907928388744","0.04578073131711951"
"tobias_buntschuh","Tobias Buntschuh","MALE","false","16","94","2119",,"12","27","0.1318840579710145","0.6391304347826087","0.3731083604450673"
"ein_clown_3-1","Ein Clown (III/1)","MALE","false","1","1","14",,"0","0","0","0","2.9257019161887704E-20"
"clown_ambrois","Clown Ambrois","MALE","false","4","17","203",,"3","6","0","0.4357707509881423","0.08696527152510576"
"der_stallmeister_3-5_bis_3-16","Der Stallmeister (III/5–16)","MALE","false","4","11","365",,"11","13","0.17292490118577072","0.6185133239831696","0.33894727219332316"
"der_herr","Der Herr","MALE","false","1","3","74",,"2","2","0","0.38347826086956516","0.04948845477391686"
"die_dame","Die Dame","FEMALE","false","1","1","12",,"2","2","0","0.38347826086956516","0.04948845477391686"
"stimme_eines_stallmeisters","Stimme eines Stallmeisters","MALE","false","1","1","72",,"0","0","0","0","2.9257019161887704E-20"
"ein_zweiter_clown","Ein zweiter Clown","MALE","false","1","8","125",,"1","1","0","0.4079555966697502","0.049599233354994166"
"der_arzt","Der Arzt","MALE","false","1","1","15",,"2","2","0","0.4168241965973534","0.0651355814798245"
"ein_zirkusdiener","Ein Zirkusdiener","MALE","false","1","1","13",,"3","3","0","0.491638795986622","0.12391897786921648"
"ein_anderer_stallmeister_3-16a","Ein anderer Stallmeister","MALE","false","1","1","6",,"7","7","0","0.532608695652174","0.2861407996706361"
"ein_anderer_stallmeister_3-16b","Ein anderer Stallmeister","MALE","false","1","1","11",,"7","7","0","0.532608695652174","0.2861407996706361"
"ein_anderer_stallmeister_3-16c","Ein anderer Stallmeister","MALE","false","1","1","12",,"7","7","0","0.532608695652174","0.28614079967063605"
"ein_anderer_stallmeister_3-16d","Ein anderer Stallmeister","MALE","false","1","1","29",,"7","7","0","0.532608695652174","0.2861407996706361"
"clownstimmen","Clownstimmen",,"true","1","2","71",,"7","7","0","0.532608695652174","0.28614079967063605"
