id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"die_jungfer","Die Jungfer","FEMALE","false","4","6","44",,"6","11","0.01515151515151515","0.6666666666666666","0.20492111110341882"
"beschliesserin","Beschließerin","FEMALE","false","2","5","108",,"3","5","0","0.5714285714285714","0.10434982776191623"
"gaertner","Gärtner","MALE","false","4","5","38",,"10","15","0.06969696969696969","0.8571428571428571","0.32629717581032985"
"baronin","Baronin","FEMALE","false","18","125","2048",,"12","44","0.25963203463203466","1","0.3575531028363784"
"kutscher","Kutscher","MALE","false","1","5","57",,"1","1","0","0.5217391304347826","0.04197991455620668"
"general","General","MALE","false","12","43","588",,"9","31","0.017207792207792207","0.8","0.3190540563618583"
"jaromir","Jaromir","MALE","false","10","125","2073",,"8","22","0.007575757575757575","0.75","0.29380116425920316"
"der_kleine_jaromir","Der kleine Jaromir","MALE","false","9","28","419",,"7","19","0.007575757575757575","0.7058823529411765","0.25549095163593455"
"anna","Anna","FEMALE","false","12","77","1391",,"9","31","0.017207792207792207","0.8","0.31905405636185824"
"theodor","Theodor","MALE","false","18","165","4833",,"9","37","0.011904761904761904","0.8","0.3206461459768413"
"marie","Marie","FEMALE","false","6","41","383",,"9","14","0.017207792207792207","0.8","0.31905405636185824"
"melanie","Melanie","FEMALE","false","9","106","1994",,"9","23","0.011904761904761904","0.8","0.3206461459768414"
"hermine","Hermine","FEMALE","false","5","31","317",,"6","11","0.004329004329004329","0.6666666666666666","0.22007486263533874"
