id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"olivier","Olivier","MALE","false","3","74","1834",,"63","71","0.04162489557226403","0.7441860465116279","0.17425509090431626"
"rekrut","Rekrut","MALE","false","1","10","96",,"7","7","0","0.47761194029850745","0.016301753031527415"
"andreas","Andreas","MALE","false","1","11","153",,"7","7","0","0.47761194029850745","0.016301753031527415"
"pankraz","Pankraz","MALE","false","1","14","137",,"7","7","0","0.47761194029850745","0.016301753031527415"
"der_stelzbeinige","Der Stelzbeinige","MALE","false","1","2","40",,"7","7","0","0.47761194029850745","0.016301753031527415"
"anton","Anton","MALE","false","6","143","2539",,"80","97","0.10858604845446959","0.8571428571428571","0.1851707865094569"
"arzt","Arzt","MALE","false","4","132","2397",,"45","55","0.028249791144527973","0.6530612244897959","0.0637426332972577"
"sigismund","Sigismund","MALE","false","5","236","5368",,"80","94","0.10858604845446959","0.8571428571428571","0.1851707865094569"
"julian","Julian","MALE","false","6","215","3912",,"92","107","0.32253759398496235","0.96","0.1869173253064428"
"simon","Simon","MALE","false","2","11","612",,"25","28","0","0.5748502994011976","0.051583259909410845"
"koenig","König","MALE","false","2","111","3638",,"36","37","0.0393483709273183","0.6153846153846154","0.030440523394037224"
"pfoertner","Pförtner","MALE","false","1","6","209",,"17","17","0","0.5363128491620112","0.008585437566171712"
"junger_kaemmerer","Junger Kämmerer","MALE","false","1","5","40",,"17","17","0","0.5363128491620112","0.008585437566171712"
"junger_bruder","Junger Bruder","MALE","false","1","10","276",,"17","17","0","0.5363128491620112","0.008585437566171712"
"hoeflinge","Höflinge","MALE","true","1","5","15",,"17","17","0","0.5363128491620112","0.008585437566171712"
"bettler","Bettler","MALE","false","1","5","29",,"17","17","0","0.5363128491620112","0.008585437566171712"
"gesang_chor","Gesang/Chor (II/1)","UNKNOWN","true","1","5","58",,"17","17","0","0.5363128491620112","0.008585437566171712"
"erster_hoefling","Erster Höfling","MALE","false","1","2","93",,"17","17","0","0.5363128491620112","0.008585437566171712"
"zweiter_hoefling","Zweiter Höfling","MALE","false","1","2","124",,"17","17","0","0.5363128491620112","0.008585437566171712"
