id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"brunhild","Brunhild","FEMALE","false","10","118","2632",,"9","28","0.004796918767507003","0.6302521008403361","0.23438963640795585"
"frigga","Frigga","FEMALE","false","8","59","1126",,"7","20","0","0.5754475703324808","0.1916907284043385"
"siegfried","Siegfried","MALE","false","14","132","2897",,"11","39","0.013270308123249298","0.696594427244582","0.2768417791549376"
"gunther","Gunther","MALE","false","17","63","507",,"14","57","0.041841736694677875","0.8272058823529411","0.3258795627924985"
"hagen","Hagen","MALE","false","18","139","2800",,"13","54","0.031407563025210083","0.7785467128027681","0.3099451378738273"
"volker","Volker","MALE","false","6","11","325",,"9","23","0.003326330532212885","0.6302521008403361","0.23904200649840704"
"giselher","Giselher","MALE","false","12","31","597",,"13","34","0.03049719887955183","0.7785467128027681","0.30935765296706447"
"rumolt","Rumolt","MALE","false","4","7","136",,"7","9","0.0035014005602240893","0.5754475703324808","0.1848731380507748"
"gerenot","Gerenot","MALE","false","4","7","56",,"7","11","0.003571428571428571","0.5754475703324808","0.1860401783069324"
"ute","Ute","FEMALE","false","9","49","558",,"14","30","0.07608543417366948","0.8272058823529411","0.3150982291479485"
"kriemhild","Kriemhild","FEMALE","false","19","171","2518",,"15","42","0.09331232492997196","0.8823529411764706","0.33113316727116004"
"kaplan","Der Kaplan","MALE","false","4","24","801",,"10","15","0.009943977591036414","0.6617647058823529","0.2525173585017766"
"truchs","Truchs","MALE","false","1","10","179",,"1","1","0","0.058823529411764705","2.029560774104366E-7"
"wulf","Wulf","MALE","false","1","9","100",,"1","1","0","0.058823529411764705","2.029560774104366E-7"
"dankwart","Dankwart","MALE","false","6","11","219",,"9","16","0.004621848739495798","0.6302521008403361","0.2400171866664489"
"kaemmerer","Kämmerer","MALE","false","1","7","20",,"2","2","0","0.4726890756302521","0.06095325407701558"
"antwort_von_draussen","Antwort von draußen","UNKNOWN","false","1","3","36",,"7","7","0","0.5754475703324808","0.19203439408877707"
"alle_sippen_bis_auf_giselher","Alle Sippen bis auf Giselher","UNKNOWN","true","1","1","3",,"7","7","0","0.5754475703324808","0.19203439408877704"
