id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"baroninn","Baroninn","FEMALE","false","21","250","3228",,"19","111","0.05235588972431079","0.9523809523809523","0.2505004101383017"
"babette","Babette","FEMALE","false","8","41","470",,"8","23","0.006015037593984962","0.625","0.10161732593798267"
"bluemlein","Blümlein","MALE","false","13","135","3410",,"19","84","0.05235588972431079","0.9523809523809523","0.2505004101383017"
"bedienter","Bedienter","MALE","false","2","5","28",,"4","5","0","0.5405405405405406","0.044098891921509425"
"wolf","Wolf","MALE","false","8","64","1672",,"9","33","0.009273182957393484","0.6451612903225806","0.1149863330654625"
"nina","Nina","FEMALE","false","14","117","1153",,"18","88","0.017518796992481205","0.9090909090909091","0.24794725676081647"
"emy","Emy","FEMALE","false","13","72","570",,"18","85","0.017518796992481205","0.9090909090909091","0.24794725676081647"
"marie","Marie","FEMALE","false","7","106","2266",,"17","29","0.04849624060150375","0.8695652173913043","0.2309190545022164"
"waldberg","Waldberg","MALE","false","21","250","2503",,"19","107","0.07052631578947369","0.9523809523809523","0.24965704788522106"
"gruenau","Grünau","MALE","false","15","133","1950",,"18","98","0.017518796992481205","0.9090909090909091","0.24794725676081647"
"frau_von_lichtberg","Frau von Lichtberg","FEMALE","false","4","22","242",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"fraeulein_grinzberg","Fräulein Grinzberg","FEMALE","false","4","10","88",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"fraeulein_impfen","Fräulein Impfen","FEMALE","false","4","36","603",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"alle_alles_3-1_bis_3-4","Alle/Alles (III/1–4)","UNKNOWN","true","4","20","80",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"frau_von_dorn","Frau von Dorn","FEMALE","false","4","26","329",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"raethinn_sommer","Räthinn Sommer","FEMALE","false","2","15","276",,"15","27","0","0.8","0.22203788882175743"
"herr_von_hacken","Herr von Hacken","MALE","false","4","5","28",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"herr_von_dorn","Herr von Dorn","MALE","false","4","17","121",,"16","53","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"baroninn_duerrer","Baroninn Dürrer","FEMALE","false","2","27","433",,"16","30","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"herr_von_traufbach","Herr von Traufbach","MALE","false","2","7","28",,"16","30","0.0003508771929824561","0.8333333333333334","0.23540689594923725"
"gertraude","Gertraude","FEMALE","false","2","17","1195",,"2","3","0","0.5128205128205128","0.029532648655864076"
