id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"marianel","Marianel","FEMALE","false","1","17","238",,"4","4","0","0.5909090909090909","0.13812470278131886"
"frau_humbrecht","Frau Humbrecht","FEMALE","false","4","115","2545",,"10","18","0.07179487179487179","0.8125","0.33938138355770353"
"von_groeningseck","von Gröningseck","MALE","false","5","154","3760",,"10","19","0.1564102564102564","0.8125","0.2902894561882577"
"evchen","Evchen","FEMALE","false","5","132","3515",,"11","23","0.09679487179487177","0.8666666666666667","0.36158233133863354"
"wirtin","Wirtin","FEMALE","false","1","4","110",,"4","4","0","0.5909090909090909","0.13812470278131886"
"humbrecht","Humbrecht","MALE","false","4","93","2799",,"9","19","0.01987179487179487","0.7647058823529411","0.33147827413270164"
"magister","Magister","MALE","false","4","90","2394",,"11","19","0.16089743589743588","0.8666666666666667","0.35095267666773744"
"von_hasenpoth","von Hasenpoth","MALE","false","1","36","957",,"3","3","0","0.5652173913043478","0.0893530455205107"
"major_lindsthal","Major Lindsthal","MALE","false","1","12","981",,"3","3","0","0.5652173913043478","0.0893530455205107"
"lissel","Lissel","FEMALE","false","1","13","312",,"7","7","0","0.6842105263157895","0.27764330845847773"
"erster_fausthammer","Erster Fausthammer","MALE","false","1","10","135",,"7","7","0","0.6842105263157895","0.27764330845847773"
"fiskal","Fiskal","MALE","false","2","20","530",,"9","12","0.01987179487179487","0.7647058823529411","0.33147827413270164"
"zweiter_fausthammer","Zweiter Fausthammer","MALE","false","1","1","8",,"7","7","0","0.6842105263157895","0.27764330845847773"
"frau_marthan","Frau Marthan","FEMALE","false","1","27","1720",,"5","5","0","0.6190476190476191","0.20372734563656436"
