id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sylvester","Sylvester","MALE","false","6","80","2305",,"6","16","0.0015698587127158557","0.6363636363636364","0.27746731392253005"
"fortunat","Fortunat","MALE","false","17","195","3909",,"8","31","0.027655677655677658","0.7","0.31830315516484203"
"cathrine","Cathrine","FEMALE","false","6","58","1552",,"4","6","0.0015698587127158557","0.5833333333333334","0.18030881595586376"
"friedrich","Friedrich","MALE","false","7","40","553",,"6","12","0.0070643642072213495","0.6363636363636364","0.26046685295813676"
"frau_sylvesterinn","Frau Sylvesterinn","FEMALE","false","32","348","6568",,"14","57","0.39461015175300895","1","0.41797245908768593"
"strom","Strom","MALE","false","6","74","1606",,"6","13","0.02197802197802198","0.6363636363636364","0.24356811656761354"
"fiekchen","Fiekchen","FEMALE","false","14","66","1366",,"11","29","0.18205128205128207","0.8235294117647058","0.34062262719566255"
"goldschmidtsjunge","Goldschmidtsjunge","MALE","false","1","3","79",,"2","2","0","0.5384615384615384","0.10227701697448928"
"tabletkraemer","Tabletkrämer","MALE","false","1","4","72",,"2","2","0","0.5384615384615384","0.10227701697448928"
"lackey","Lackey","MALE","false","1","2","47",,"2","2","0","0.5384615384615384","0.10227701697448928"
"materialistenjunge","Materialistenjunge","MALE","false","1","2","16",,"2","2","0","0.5384615384615384","0.10227701697448928"
"richardinn","Richardinn","FEMALE","false","10","55","1083",,"8","30","0.013657770800627946","0.7","0.3373495138683495"
"lieschen","Lieschen","FEMALE","false","12","73","1537",,"8","34","0.013657770800627946","0.7","0.3373495138683495"
"renner","Renner","MALE","false","4","25","429",,"7","15","0.006514913657770801","0.6666666666666666","0.3064045189571793"
"sorger","Sorger","MALE","false","2","32","485",,"2","3","0","0.5384615384615384","0.08919131873125838"
