id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"maenner","Männer","MALE","true","4","3","92",,"11","18","0.07146018003160859","0.6774193548387096","0.21581673734071444"
"frauen","Frauen","FEMALE","true","6","6","119",,"16","30","0.1742937882223597","0.8076923076923077","0.310100914236138"
"einzelne","Einzelne","UNKNOWN","true","1","1","11",,"3","3","0","0.4772727272727273","0.053313417669274"
"andere","Andere","UNKNOWN","true","1","1","13",,"3","3","0","0.4772727272727273","0.053313417669274"
"hiram","Hiram","MALE","false","10","62","1525",,"14","32","0.05007249364392222","0.75","0.30183572392751024"
"volk","Volk","UNKNOWN","true","9","20","252",,"16","41","0.09479471586614442","0.8076923076923077","0.3264592569577498"
"wolf","Wolf","MALE","false","6","28","467",,"13","25","0.09000223321651894","0.7241379310344828","0.27427573039723896"
"teut","Teut","MALE","false","11","115","1662",,"16","41","0.11733439840582699","0.8076923076923077","0.32437618809138885"
"alle_1-4","Alle (I/4)","UNKNOWN","true","1","2","10",,"4","4","0","0.525","0.11292938769299289"
"theoda","Theoda","FEMALE","false","5","57","865",,"11","19","0.03488507524221811","0.6774193548387096","0.2594935529326252"
"velleda","Velleda","FEMALE","false","1","4","158",,"5","5","0","0.5384615384615384","0.1360911469790038"
"einzelne_maenner","Einzelne Männer","MALE","true","1","1","2",,"4","4","0","0.525","0.11622698037925681"
"krieger","Krieger","MALE","true","4","4","23",,"14","25","0.10866092901807188","0.75","0.29885587998846963"
"koenig","König","MALE","false","2","24","514",,"10","15","0.0036152339723768295","0.65625","0.25496418638837703"
"alles_2-3","Alles (II/3)","UNKNOWN","true","1","1","3",,"7","7","0","0.5675675675675675","0.18778741893068734"
"alle_3-1","Alle (III/1)","UNKNOWN","true","1","1","24",,"3","3","0","0.5","0.07845394598982973"
"ein_junger_krieger","Ein junger Krieger","MALE","false","1","1","7",,"7","7","0","0.6","0.18874695143126552"
"molochpriester","Molochpriester","MALE","true","3","3","135",,"11","16","0.007261904761904762","0.6774193548387096","0.27323508282317016"
"ein_krieger","Ein Krieger","MALE","false","1","2","11",,"3","3","0","0.4666666666666667","0.05809890780595417"
"ein_anderer","Ein anderer","MALE","false","1","1","8",,"3","3","0","0.4666666666666667","0.058098907805954156"
"eine_stimme","Eine Stimme","UNKNOWN","false","1","1","5",,"2","2","0","0.4666666666666667","0.05373988837970638"
"alle_3-7","Alle (III/7)","UNKNOWN","true","1","7","43",,"8","8","0","0.6176470588235294","0.21369708463639298"
