id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"herr_von_biederling","Herr von Biederling","MALE","false","12","130","4201",,"12","26","0.1291023791023791","0.6470588235294118","0.22462544391721337"
"frau_von_biederling","Frau von Biederling","FEMALE","false","9","68","1204",,"12","25","0.09695304695304693","0.6875","0.3334360362021071"
"prinz_tandi","Prinz Tandi","MALE","false","13","114","2496",,"12","24","0.13013098013098015","0.6666666666666666","0.2504268588825718"
"graf","Graf Camäleon","MALE","false","10","78","1330",,"13","22","0.1543123543123543","0.7096774193548387","0.339987335183293"
"verwalter","Verwalter","MALE","false","1","5","113",,"2","2","0","0.4489795918367347","0.06729832701176323"
"donna_diana","Donna Diana","FEMALE","false","7","53","1528",,"12","17","0.15031265031265034","0.5945945945945946","0.284036791401338"
"zierau","Zierau","MALE","false","7","55","1467",,"12","17","0.15184075184075185","0.6875","0.3148748560399916"
"wilhelmine","Wilhelmine","FEMALE","false","8","69","848",,"9","19","0.05498575498575497","0.6285714285714286","0.23384669098478608"
"babet","Babet","FEMALE","false","5","37","601",,"4","7","0.010306360306360306","0.5365853658536586","0.10708451280897453"
"magister_beza","Magister Beza","MALE","false","5","28","479",,"11","15","0.13071373071373074","0.6470588235294118","0.2374106906349681"
"herr_von_zopf","Herr von Zopf","MALE","false","2","19","461",,"3","3","0","0.4489795918367347","0.07645241026751258"
"gustav","Gustav","MALE","false","3","8","206",,"1","1","0","0.3793103448275862","0.03063210254146196"
"kaffeewirt","Kaffeewirt","MALE","false","1","4","259",,"2","2","0","0.4230769230769231","0.04982915604209831"
"ein_buckligter","Ein Buckligter","MALE","false","1","1","8",,"6","6","0","0.4583333333333333","0.11358726572578139"
"lahmer","Lahmer","MALE","false","1","10","223",,"6","6","0","0.4583333333333333","0.11358726572578139"
"blinder","Blinder","MALE","false","1","2","23",,"6","6","0","0.4583333333333333","0.11358726572578139"
"ein_anderer_blinder","Ein anderer Blinder","MALE","false","1","1","23",,"6","6","0","0.4583333333333333","0.11358726572578139"
"eine_dame","Eine Dame","FEMALE","false","1","2","11",,"8","8","0","0.5238095238095238","0.24131466105903562"
"ein_chapeau","Ein Chapeau","MALE","false","1","1","4",,"8","8","0","0.5238095238095238","0.24131466105903562"
"ein_dicker_kerl","Ein dicker Kerl","MALE","false","1","1","4",,"8","8","0","0.5238095238095238","0.24131466105903562"
"eine_maske","Eine Maske","UNKNOWN","false","1","1","7",,"8","8","0","0.5238095238095238","0.24131466105903562"
"eine_andere_maske","Eine andere Maske","UNKNOWN","false","1","1","4",,"8","8","0","0.5238095238095238","0.24131466105903562"
"buergermeister","Bürgermeister","MALE","false","2","13","522",,"1","2","0","0.41509433962264153","0.033957915685197675"
