id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"herr_oronte","Herr Oronte","MALE","false","4","29","729",,"8","16","0.022222222222222223","0.8333333333333334","0.33912089144894525"
"jungfer_ohldin","Jungfer Ohldin","FEMALE","false","16","98","1512",,"10","40","0.11666666666666667","1","0.3780768811437621"
"frau_oronte","Frau Oronte","FEMALE","false","3","22","349",,"5","8","0","0.6666666666666666","0.23972619627515432"
"lisette","Lisette","FEMALE","false","16","86","1484",,"10","40","0.11666666666666667","1","0.37807688114376214"
"lelio","Lelio","MALE","false","9","49","663",,"9","27","0.053703703703703705","0.9090909090909091","0.3614855766036857"
"peter","Peter","MALE","false","7","71","1650",,"7","22","0.016666666666666666","0.7692307692307693","0.305022143257247"
"clitander","Clitander","MALE","false","3","37","1145",,"5","6","0","0.6666666666666666","0.23972619627515432"
"herr_kraeusel","Herr Kräusel","MALE","false","9","42","1080",,"7","24","0.02962962962962963","0.7692307692307693","0.2992487626425831"
"der_schneider","Der Schneider","MALE","false","1","4","80",,"3","3","0","0.5882352941176471","0.14088239707361588"
"herr_rehfuss","Herr Rehfuss","MALE","false","1","16","205",,"4","4","0","0.625","0.18990651851840196"
"von_schlag","Herr von Schlag","MALE","false","3","16","245",,"8","14","0.022222222222222223","0.8333333333333334","0.33912089144894525"
