id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"albrecht","Albrecht","MALE","false","19","152","3680",,"18","54","0.12773959373959373","0.7647058823529411","0.29596537838336684"
"hans_zenger","Hans Zenger","MALE","false","14","50","854",,"10","32","0.08824397824397823","0.5909090909090909","0.11503979020168872"
"percifal_zenger","Percifal Zenger","MALE","false","8","21","243",,"11","27","0.021314685314685316","0.6046511627906976","0.20670796942959566"
"agnes","Agnes","FEMALE","false","19","110","2664","Q76443","13","35","0.28336285936285927","0.6666666666666666","0.13435617304404904"
"emershofen","Emershofen","MALE","false","1","5","84",,"3","3","0","0.48148148148148145","0.0526297949427714"
"preisinger","Preisinger","MALE","false","3","7","140",,"15","22","0.043092019092019096","0.6666666666666666","0.2683012450050607"
"ernst","Ernst","MALE","false","4","30","873",,"14","32","0.005347985347985348","0.6046511627906976","0.2710713931718207"
"sandizeller","Sandizeller","MALE","false","2","3","34",,"12","17","0.002222222222222222","0.5777777777777777","0.2415393932471043"
"tuchsenhauser","Tuchsenhauser","MALE","false","9","61","1742",,"11","24","0.025673659673659675","0.6341463414634146","0.20619724070282938"
"pienzenauer","Pienzenauer","MALE","false","4","5","80",,"14","32","0.005347985347985348","0.6046511627906976","0.2710713931718207"
"tore","Tore","MALE","false","7","18","212",,"14","26","0.03004972804972805","0.6842105263157895","0.2594724478749253"
"maxelrainer","Maxelrainer","MALE","false","4","5","229",,"14","32","0.005347985347985348","0.6046511627906976","0.2710713931718207"
"gundelfing","Gundelfing","MALE","false","5","30","942",,"15","30","0.02945054945054945","0.6190476190476191","0.2742479555362092"
"seibelstorfer","Seibelstorfer","MALE","false","3","3","123",,"13","23","0.002862026862026862","0.5909090909090909","0.25620809150957274"
"vicedom","Der Vicedom zu Straubing","MALE","false","7","24","532",,"17","29","0.21413475413475408","0.7428571428571429","0.27140747310777996"
"wache","Wache","MALE","false","1","1","10",,"2","2","0","0.4262295081967213","0.01932251382560378"
"erster_marschall","Erster Marschall","MALE","false","1","3","48",,"10","10","0","0.5531914893617021","0.20535644524955504"
"zweiter_marschall","Zweiter Marschall","MALE","false","1","2","17",,"10","10","0","0.5531914893617021","0.20535644524955504"
"die_ritter","Die Ritter","MALE","true","3","2","4",,"14","22","0.029656121656121658","0.6842105263157895","0.2659058255970235"
"wachen","Wachen","MALE","true","1","0","2",,"3","3","0","0.43333333333333335","0.02094541207957013"
"knechte","Knechte","MALE","true","1","0","2",,"3","3","0","0.43333333333333335","0.02094541207957013"
"thorringer","Thorringer","MALE","false","1","20","884",,"2","2","0","0.4482758620689655","0.044177499638251856"
"frauen","Frauen","FEMALE","true","1","1","1",,"1","1","0","0.40625","0.010409537676222639"
"waffenknecht","Waffenknecht","MALE","false","1","1","3",,"1","1","0","0.40625","0.010409537676222639"
"buergermeister","Bürgermeister","MALE","false","1","1","11",,"2","2","0","0.4406779661016949","0.022793308337089976"
"zweiter_buergermeister","Zweiter Bürgermeister","MALE","false","1","1","9",,"2","2","0","0.4406779661016949","0.022793308337089972"
"oberrichter","Oberrichter","MALE","false","1","11","95",,"2","2","0","0.5","0.031436928721625575"
