id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"valeria","Valeria","FEMALE","false","44","286","5406",,"15","89","0.019338624338624332","0.5946502057613169","0.25270660556994795"
"ponce","Ponce","MALE","false","49","295","6305",,"27","104","0.250952380952381","0.7831978319783197","0.2992012722892514"
"valerio","Valerio","MALE","false","46","237","4804",,"23","107","0.187989417989418","0.6980676328502415","0.2791407861137936"
"sarmiento","Sarmiento","MALE","false","21","142","2425",,"16","53","0.03158730158730159","0.6175213675213675","0.2571085222010047"
"porporino","Porporino","MALE","false","27","163","3317",,"18","68","0.06534391534391534","0.6296296296296295","0.26091087668364676"
"diener_1-15_und_1-16","Diener (I/15 und I/16)","MALE","false","2","5","62",,"4","5","0","0.4522691705790297","0.04925767568611771"
"aquilar","Aquilar","MALE","false","32","187","2671",,"23","85","0.14238095238095236","0.7135802469135802","0.2847493926108974"
"anderer_diener_1-16","Anderer Diener (I/16)","MALE","false","1","1","0",,"4","4","0","0.4522691705790297","0.04925767568611771"
"dame","Dame","FEMALE","false","1","2","15",,"4","4","0","0.4522691705790297","0.049257675686117705"
"erster_diener_1-17","Erster Diener (I/17)","MALE","false","1","1","6",,"3","3","0","0.4281481481481481","0.042010436379455875"
"zweiter_diener_1-17","Zweiter Diener (I/17)","MALE","false","1","1","5",,"3","3","0","0.4281481481481481","0.042010436379455875"
"ein_diener_1-20","Ein Diener (I/20)","MALE","false","1","1","4",,"2","2","0","0.4398782343987823","0.042147016110039494"
"felix","Felix","MALE","false","12","86","1556",,"15","33","0.03793650793650794","0.6058700209643605","0.25074271829943323"
"erster_diener_2-1_und_2-3","Erster Diener (II/1 und II/3)","MALE","false","2","5","103",,"5","5","0.05238095238095238","0.4722222222222222","0.07921379796933467"
"zweiter_diener_2-1","Zweiter Diener (II/1)","MALE","false","1","2","37",,"1","1","0","0.31793179317931797","0.00571732305486849"
"diener_2-14a_und_2-21","Diener (II/14 und II/21)","MALE","false","2","5","55",,"4","5","0","0.4522691705790297","0.06542604992549664"
"diener_2-14b","Diener (II/14)","MALE","false","1","1","21",,"4","4","0","0.4522691705790297","0.06542604992549664"
"juanna","Juanna","FEMALE","false","3","10","242",,"14","21","0.008333333333333333","0.5838383838383838","0.2479374710535595"
"perez","Perez","MALE","false","1","3","40",,"4","4","0","0.42251461988304095","0.07383158289687196"
"isidora","Isidora","FEMALE","false","19","104","1707",,"14","52","0.008333333333333333","0.5838383838383838","0.2479374710535595"
"melanie","Melanie","FEMALE","false","16","60","781",,"14","49","0.008333333333333333","0.5838383838383838","0.2479374710535595"
"isabella","Isabella","FEMALE","false","9","42","696",,"13","35","0","0.5734126984126984","0.2429674225128867"
"erster_diener_3-9","Erster Diener (III/9)","MALE","false","1","4","45",,"1","1","0","0.027777777777777776","5.592317643214496E-11"
"zweiter_diener_3-9","Zweiter Diener (III/9)","MALE","false","1","3","29",,"1","1","0","0.027777777777777776","5.592317643214496E-11"
"traeger","Träger","MALE","false","1","1","7",,"3","3","0","0.4587301587301587","0.06097825603555421"
"diener_4-7","Diener (IV/7)","MALE","false","1","1","18",,"3","3","0","0.4587301587301587","0.06097825603555421"
"lucilla","Lucilla","FEMALE","false","10","45","840",,"15","30","0.027460317460317463","0.5946502057613169","0.25205617102075306"
"alonso","Alonso","MALE","false","3","18","434",,"4","6","0.001058201058201058","0.42251461988304095","0.04595041152437841"
"diener_5-5","Diener (V/5)","MALE","false","1","2","82",,"2","2","0","0.38227513227513227","0.036289430497195345"
"der_alte_diener_5-8","Der alte Diener (V/8)","MALE","false","1","5","90",,"1","1","0","0.40646976090014064","0.020147078259500607"
"pfeifer","Pfeifer","MALE","false","3","7","130",,"5","8","0.0030952380952380953","0.49401709401709404","0.052399705674515316"
"diener_5-12","Diener (V/12)","MALE","false","1","3","30",,"5","5","0","0.501736111111111","0.09872529539512964"
"geiger","Geiger","MALE","false","2","3","25",,"5","7","0.0030952380952380953","0.49401709401709404","0.052399705674515316"
"diener_5-15","Diener (V/15)","MALE","false","1","2","36",,"4","4","0","0.4865319865319865","0.049306419789709614"
"ritter","Ritter","MALE","false","1","3","91",,"3","3","0","0.4792703150912106","0.06057341184626669"
"zigeunerin","Zigeunerin","FEMALE","false","3","4","88",,"13","20","0","0.5734126984126984","0.2429674225128867"
"viele_andere_alle_5-18_bis_5-20","Viele/Andere/Alle (V/18–20)","UNKNOWN","true","3","2","14",,"13","20","0","0.5734126984126984","0.2429674225128867"
