id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"hans_engerling_hans_von_maikerf","Hans Engerling/Hans von Maikerf","MALE","false","9","71","1371",,"35","70","0.026779294218350107","0.9069767441860465","0.2009073884646319"
"zweiter_bruder","Zweiter Bruder","MALE","false","4","15","172",,"10","21","0.0002576370997423629","0.5652173913043478","0.05830946559578984"
"dritter_bruder","Dritter Bruder","MALE","false","4","17","329",,"10","21","0.0002576370997423629","0.5652173913043478","0.05830946559578984"
"dummerchen","Dummerchen","MALE","false","6","37","355",,"21","34","0.008882450582855438","0.6842105263157895","0.11829770252586122"
"erster_buerger","Erster Bürger","MALE","false","5","29","316",,"34","59","0.022297226578387747","0.8863636363636364","0.19842452284957712"
"zweiter_buerger","Zweiter Bürger","MALE","false","4","30","378",,"30","44","0.011689121233440293","0.8125","0.18551460549617754"
"hinterstoisser","Bauer Hinterstoisser","MALE","false","6","20","465",,"30","50","0.011689121233440293","0.8125","0.18551460549617751"
"reps","Reps","MALE","false","3","24","216",,"34","49","0.022297226578387747","0.8863636363636364","0.19842452284957712"
"kleps","Kleps","MALE","false","3","22","305",,"34","49","0.022297226578387747","0.8863636363636364","0.19842452284957712"
"ein_herold","Ein Herold","MALE","false","1","2","17",,"15","15","0","0.6190476190476191","0.09246109503869669"
"volk_alles_volk_viele_stimmen_andre_stimmen","Volk/Alles Volk/Viele Stimmen/Andre Stimmen","UNKNOWN","true","2","7","67",,"31","41","0.008956540535487903","0.8297872340425532","0.19182500988677037"
"koenig","König","MALE","false","9","143","4106",,"33","63","0.022631911892019418","0.8666666666666667","0.19551111904157267"
"hofprediger","Hofprediger","MALE","false","4","20","451",,"32","49","0.018107900234090358","0.8478260869565217","0.1930282534265179"
"hofstaat","Hofstaat","UNKNOWN","true","1","1","6",,"15","15","0","0.6190476190476191","0.09246109503869669"
"ploetzliche_stimme_aus_dem_hintergrund","Plötzliche Stimme aus dem Hintergrund","UNKNOWN","false","1","1","9",,"15","15","0","0.6190476190476191","0.09246109503869669"
"von_der_kron","Flügel-Adjutant von der Kron","MALE","false","7","36","1331",,"33","59","0.022631911892019418","0.8666666666666667","0.19551111904157267"
"der_rote_sepp","Der rote Sepp/Das Individuum","MALE","false","5","48","2070",,"32","52","0.018107900234090358","0.8478260869565217","0.1930282534265179"
"hubeland","Hubeland","MALE","false","4","21","189",,"33","51","0.018342266520404167","0.8666666666666667","0.1958957520840486"
"offizier","Offizier","MALE","false","1","1","25",,"15","15","0","0.6190476190476191","0.09246109503869666"
"sylvan","Der lyrische Dichter Sylvan","MALE","false","3","28","501",,"36","48","0.06437830004788704","0.9285714285714286","0.199730154453408"
"kanzler","Kanzler","MALE","false","2","12","244",,"27","31","0.007395243570016692","0.7647058823529411","0.17598899837943943"
"kultusminister","Kultusminister","MALE","false","1","1","62",,"5","5","0","0.4936708860759494","0.03447101370206754"
"von_zangen","Medizinalrat von Zangen","MALE","false","3","9","73",,"26","32","0","0.75","0.17478575483969191"
"artemisia","Maikäferfürstin Artemisia","FEMALE","false","2","34","807",,"27","30","0.00250276039749724","0.7647058823529411","0.17726862045474673"
"andrakia","Andrakia","FEMALE","false","3","12","201",,"28","34","0.003730187940714255","0.78","0.18139795814842558"
"myrrha","Myrrha","FEMALE","false","2","6","39",,"27","30","0.00250276039749724","0.7647058823529411","0.1772686204547467"
"phyllis","Phyllis","FEMALE","false","3","18","208",,"31","37","0.03490893899957862","0.8297872340425532","0.18269089940632957"
"anthusa","Anthusa","FEMALE","false","6","48","898",,"14","18","0.009598058076419185","0.609375","0.07112950991431238"
"brummorchester","Brummorchester","UNKNOWN","true","1","2","92",,"26","26","0","0.75","0.17478575483969191"
"lainilla","Lainilla","FEMALE","false","2","9","94",,"31","33","0.03490893899957862","0.8297872340425532","0.18269089940632954"
"doris","Doris","FEMALE","false","1","6","99",,"26","26","0","0.75","0.17478575483969191"
"stimme_aus_dem_haufen","Stimme aus dem Haufen","UNKNOWN","false","1","1","4",,"26","26","0","0.75","0.17478575483969191"
"andre_stimme","Andre Stimme","UNKNOWN","false","1","1","9",,"26","26","0","0.75","0.17478575483969191"
"dritte_stimme","Dritte Stimme","UNKNOWN","false","1","1","7",,"26","26","0","0.75","0.17478575483969191"
"stimme_im_hintergrund","Stimme im Hintergrund","UNKNOWN","false","1","1","6",,"26","26","0","0.75","0.17478575483969191"
"gesang_des_regens_im_walde","Gesang des Regens im Walde","UNKNOWN","true","1","1","91",,"26","26","0","0.75","0.17478575483969191"
"phrixa","Phrixa","FEMALE","false","2","9","121",,"15","15","0.01645537698169277","0.609375","0.07244436222439146"
"tattabaucis","Tattabaucis","FEMALE","false","1","22","642",,"7","7","0","0.5416666666666666","0.027630948511505805"
"kakodromida","Kakodromida","FEMALE","false","1","12","93",,"7","7","0","0.5416666666666666","0.027630948511505805"
"andre_weiber_reigen_und_gesang","Andre Weiber/Reigen und Gesang","FEMALE","true","1","2","36",,"7","7","0","0.5416666666666666","0.027630948511505805"
