id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"remigius","Professor Remigius Wohlgemut","MALE","false","4","131","1415",,"10","20","0.06813186813186814","0.7777777777777778","0.35541418081881876"
"hubert","Hubert","MALE","false","4","253","3491",,"10","19","0.13406593406593406","0.7777777777777778","0.31625626455265077"
"rosl","Rosl","FEMALE","false","3","116","801",,"6","14","0.0021978021978021982","0.6363636363636364","0.2447690114157935"
"mutter","Mutter","FEMALE","false","3","91","923",,"6","14","0.0021978021978021982","0.6363636363636364","0.2447690114157935"
"rabanser","Rabanser","MALE","false","3","133","3232",,"13","16","0.30769230769230776","0.9333333333333333","0.40401635691204735"
"vater","Doktor Fallmer/Vater","MALE","false","4","185","4339",,"10","20","0.06813186813186814","0.7777777777777778","0.35541418081881876"
"babusch","Babúsch","FEMALE","false","1","16","315",,"5","5","0","0.6086956521739131","0.1980945260953057"
"dienstmaedchen","Dienstmädchen","FEMALE","false","1","18","103",,"5","5","0","0.6086956521739131","0.1546977381565271"
"pogatschnigg","Pogatschnigg","FEMALE","false","1","35","451",,"5","5","0","0.6086956521739131","0.15469773815652707"
"taube","Taube","FEMALE","false","1","15","54",,"5","5","0","0.6086956521739131","0.1546977381565271"
"magentrost","Magentrost","MALE","false","1","16","259",,"5","5","0","0.6086956521739131","0.1546977381565271"
"chorus_puerorum","Chorus puerorum","MALE","true","1","1","248",,"6","6","0","0.6363636363636364","0.23943868666824802"
"pater_confessor","Pater confessor","MALE","false","1","2","45",,"6","6","0","0.6363636363636364","0.23943868666824802"
"chorus_adolescentium","Chorus adolescentium","MALE","true","1","1","248",,"6","6","0","0.6363636363636364","0.23943868666824802"
"voces_apokalypticae_de_coelis_cantantes","Voces apokalypticae de coelis cantantes","UNKNOWN","true","1","1","12",,"6","6","0","0.6363636363636364","0.23943868666824802"
