id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"joarim","Joarim","MALE","false","3","13","248",,"20","30","0.004299170965837633","0.6851851851851852","0.15242586386653909"
"lea","Lea","FEMALE","false","5","186","4765",,"32","65","0.03909890576557243","0.8809523809523809","0.22606279747335958"
"benjamin","Benjamin","MALE","false","3","13","131",,"20","30","0.004299170965837633","0.6851851851851852","0.1524258638665391"
"eleazar","Eleazar","MALE","false","4","67","1332",,"25","50","0.012155295488628825","0.7551020408163265","0.18131032596553615"
"juda","Juda","MALE","false","6","98","3093",,"28","63","0.052695836029169364","0.8043478260869565","0.1846967226171163"
"simei","Simei","MALE","false","2","28","294",,"19","29","0.00037537537537537537","0.6727272727272727","0.15587013670230251"
"mattathias","Mattathias","MALE","false","2","43","1064",,"19","29","0.00037537537537537537","0.6727272727272727","0.15587013670230251"
"boas","Boas","MALE","false","3","17","485",,"29","47","0.016866866866866864","0.8222222222222222","0.21536356188290706"
"amri","Amri","MALE","false","4","41","637",,"29","55","0.016866866866866864","0.8222222222222222","0.21536356188290712"
"jojakim","Jojakim","MALE","false","4","42","739",,"32","58","0.03363987530654196","0.8809523809523809","0.22697313996492413"
"johannes","Johannes","MALE","false","5","9","94",,"32","65","0.03909890576557243","0.8809523809523809","0.22606279747335958"
"simon","Simon","MALE","false","5","31","491",,"35","63","0.10571194737861407","0.9487179487179487","0.23035953661650424"
"jonathan","Jonathan","MALE","false","4","19","289",,"26","45","0.037468704135370796","0.7708333333333334","0.17886766567257986"
"naemi","Naemi","FEMALE","false","3","32","397",,"29","43","0.016866866866866864","0.8222222222222222","0.21536356188290712"
"aaron","Aaron","MALE","false","3","13","124",,"29","43","0.016866866866866864","0.8222222222222222","0.21536356188290706"
"gorgias","Gorgias","MALE","false","3","31","716",,"25","38","0.012155295488628825","0.7551020408163265","0.18131032596553617"
"nikanor","Nikanor","MALE","false","3","26","435",,"25","38","0.012155295488628825","0.7551020408163265","0.18131032596553617"
"issaschar","Issaschar","MALE","false","2","8","160",,"27","35","0.012912912912912912","0.7872340425531915","0.20291407032012113"
"usiel","Usiel","MALE","false","3","6","65",,"23","36","0.00593717260383927","0.7254901960784313","0.17548126902099975"
"volk_die_bewaffneten_2","Volk/Die Bewaffneten (II. Akt)","UNKNOWN","true","1","5","36",,"17","17","0","0.6491228070175439","0.1434206451395165"
"aemilius","Ämilius","MALE","false","1","3","180",,"11","11","0","0.5873015873015873","0.08251396413511601"
"nathan","Nathan","MALE","false","2","9","133",,"27","29","0.022687256020589356","0.7872340425531915","0.19593587535883622"
"die_hauptleute","Die Hauptleute","MALE","true","1","1","7",,"11","11","0","0.5873015873015873","0.08251396413511601"
"antiochus","Antiochus","MALE","false","2","43","774",,"17","21","0.0044330044330044335","0.6491228070175439","0.11925626877653209"
"josua","Josua","MALE","false","1","2","17",,"18","18","0","0.6607142857142857","0.14009986831752083"
"elia","Elia","MALE","false","1","1","11",,"18","18","0","0.6607142857142857","0.14009986831752083"
"misael","Misael","MALE","false","1","3","20",,"18","18","0","0.6607142857142857","0.14009986831752083"
"ruben","Ruben","MALE","false","1","2","17",,"18","18","0","0.6607142857142857","0.14009986831752083"
"erster_volkshaufe","Erster Volkshaufe","UNKNOWN","true","1","5","55",,"18","18","0","0.6607142857142857","0.14009986831752083"
"zweiter_volkshaufe","Zweiter Volkshaufe","UNKNOWN","true","1","2","19",,"18","18","0","0.6607142857142857","0.14009986831752083"
"dritter_volkshaufe","Dritter Volkshaufe","UNKNOWN","true","1","8","61",,"18","18","0","0.6607142857142857","0.14009986831752083"
"volk_die_meisten_aus_dem_volke_3","Volk/Die Meisten aus dem Volke (III. Akt)","UNKNOWN","true","1","8","55",,"18","18","0","0.6607142857142857","0.14009986831752083"
"die_jungfrauen","Die Jungfrauen","FEMALE","true","1","1","2",,"18","18","0","0.6607142857142857","0.14009986831752083"
"das_weib","Das Weib","FEMALE","false","1","7","99",,"5","5","0","0.5362318840579711","0.027640931437782023"
"greis","Greis","MALE","false","1","2","4",,"5","5","0","0.5362318840579711","0.027640931437782023"
"volk_die_herumliegenden_die_uebrigen_4","Volk/Die Herumliegenden/Die Übrigen (IV. Akt)","UNKNOWN","true","1","9","40",,"5","5","0","0.5362318840579711","0.027640931437782023"
"judas_gefolge","Judas Gefolge","UNKNOWN","true","1","2","17",,"10","10","0","0.578125","0.07136806992354702"
"geschrei_im_lager","Geschrei im Lager","UNKNOWN","true","1","1","4",,"10","10","0","0.578125","0.07136806992354702"
