id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"till","Till","MALE","false","10","71","1357",,"10","26","0.08739316239316239","0.8125","0.3663469940826093"
"baron","Baron","MALE","false","8","68","1312",,"6","15","0.012820512820512818","0.6190476190476191","0.25090492549629434"
"schoenburg","Schönburg","MALE","false","10","61","1735",,"10","23","0.15470085470085468","0.8125","0.3481508235527681"
"horst","Horst","MALE","false","11","71","1013",,"11","27","0.15576923076923074","0.8125","0.3707159030644368"
"bedienter_schoenburg","Bedienter des Herrn von Schönburg","MALE","false","1","1","6",,"3","3","0","0.5416666666666666","0.12650783891768613"
"baronin","Baronin","FEMALE","false","28","233","4015",,"10","49","0.08739316239316239","0.8125","0.36634699408260935"
"sophie","Sophie","FEMALE","false","13","69","1040",,"9","31","0.03397435897435898","0.7222222222222222","0.34529553228101123"
"bedienter_baronin","Bedienter der Baronin","MALE","false","6","7","78",,"4","11","0","0.5652173913043478","0.18898499107002986"
"feldkirch","Feldkirch","MALE","false","5","39","1092",,"4","10","0","0.5652173913043478","0.18898499107002986"
"witte","Witte","MALE","false","6","52","1357",,"5","8","0.15384615384615385","0.6190476190476191","0.18242542612549548"
"ritter","Ritter","MALE","false","6","22","515",,"6","14","0","0.6190476190476191","0.2727252454756199"
"loewenklau","Löwenklau","MALE","false","7","36","890",,"7","16","0.019230769230769232","0.6842105263157895","0.293776707277218"
"polizeidiener","Polizeidiener","MALE","false","1","4","24",,"1","1","0","0.3939393939393939","0.023797702856889282"
"luchs","Luchs","MALE","false","2","3","144",,"2","2","0","0.52","0.09377702198607916"
