id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"wabn","Die alte Wabn","FEMALE","false","2","16","334",,"2","2","0","0.5333333333333333","0.04502319307087448"
"innocentia","Innocentia","FEMALE","false","3","87","1412",,"11","19","0.0375","0.7619047619047619","0.23242067713318346"
"apotheker","Apotheker","MALE","false","5","80","2621",,"16","34","0.12055555555555555","1","0.30602353278785566"
"wirt","Wirt","MALE","false","1","26","454",,"10","10","0","0.7272727272727273","0.22894647342468263"
"anna","Anna","FEMALE","false","4","48","515",,"15","32","0.04138888888888889","0.9411764705882353","0.3025493290793549"
"lehmann","Lehmann","MALE","false","2","15","92",,"10","17","0","0.7272727272727273","0.22894647342468263"
"heinrich","Heinrich","MALE","false","4","24","255",,"15","32","0.04138888888888889","0.9411764705882353","0.3025493290793549"
"jakob","Jakob","MALE","false","4","62","861",,"15","32","0.04138888888888889","0.9411764705882353","0.30254932907935495"
"gendarm","Gendarm","MALE","false","4","105","838",,"15","32","0.04138888888888889","0.9411764705882353","0.3025493290793549"
"kommandant","Kommandant","MALE","false","3","16","229",,"11","23","0.006944444444444445","0.7619047619047619","0.2402799954781113"
"braumeister","Braumeister","MALE","false","2","4","65",,"14","19","0.027777777777777776","0.8888888888888888","0.2912158070259262"
"zirngibl","Zirngibl","MALE","false","1","2","43",,"10","10","0","0.7272727272727273","0.22894647342468263"
"kommandantin","Kommandantin","FEMALE","false","1","6","30",,"6","6","0","0.6153846153846154","0.14687378100298837"
"stimmen","Stimmen","UNKNOWN","true","1","2","16",,"9","9","0","0.6956521739130435","0.20174009212696864"
"erster_bauer","1. Bauer","MALE","false","1","18","122",,"9","9","0","0.6956521739130435","0.20174009212696867"
"zweiter_bauer","2. Bauer","MALE","false","1","1","12",,"9","9","0","0.6956521739130435","0.20174009212696867"
"agnes","Agnes","FEMALE","false","1","4","216",,"9","9","0","0.6956521739130435","0.20174009212696867"
