id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"friedrich","Friedrich","MALE","false","9","37","361",,"11","23","0.023888888888888887","0.7619047619047619","0.23907481662527288"
"ludwig","Ludwig","MALE","false","16","66","572",,"12","33","0.00927910052910053","0.8","0.26622222121427125"
"jakob","Jakob","MALE","false","14","53","442",,"12","32","0.005109427609427609","0.8","0.271355026297096"
"leopoldine","Leopoldine","FEMALE","false","19","87","893",,"10","52","0.0024242424242424247","0.7272727272727273","0.2313152489077035"
"greif","Greif","MALE","false","24","176","1933",,"13","63","0.025248316498316496","0.8421052631578947","0.27868013844480705"
"baronesse","Baronesse","FEMALE","false","41","460","6326",,"15","100","0.07693482443482444","0.9411764705882353","0.2989088288557833"
"stock","Stock","MALE","false","8","49","524",,"13","28","0.02815175565175565","0.8421052631578947","0.27541069637426424"
"bediente","Bediente","UNKNOWN","true","3","2","5",,"8","12","0.0007575757575757576","0.6666666666666666","0.18813468573872502"
"baptist","Baptist","MALE","false","14","88","789",,"12","50","0.007907046657046658","0.8","0.26754908863578136"
"willner","Willner","MALE","false","13","89","1064",,"11","29","0.018026094276094275","0.7619047619047619","0.23703645504303866"
"figaro","Figaro","MALE","false","45","398","5259",,"15","96","0.06651815776815777","0.9411764705882353","0.3007378240542948"
"hyazinth","Hyazinth","MALE","false","37","290","2863",,"15","101","0.07832371332371331","0.9411764705882353","0.2988177613998851"
"christoph","Christoph","MALE","false","24","148","1865",,"12","72","0.007907046657046658","0.8","0.26754908863578136"
"bardenrode","Bardenrode","MALE","false","19","147","1663",,"12","55","0.024523809523809517","0.8","0.25408811110061574"
"bedienter","Bedienter","MALE","false","1","2","0",,"4","4","0","0.5714285714285714","0.09529162977116178"
"der_alte_bauer","Der alte Bauer","MALE","false","2","9","182",,"4","5","0","0.5714285714285714","0.0941211203025454"
"laufer","Laufer","MALE","false","1","1","0",,"3","3","0","0.5517241379310345","0.07062007440067988"
