id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"der_normale_leser","Der normale Leser","MALE","false","1","4","147",,"3","3","0","0.13636363636363635","4.2510123172452643E-8"
"der_ruehrige_verleger","Der rührige Verleger","MALE","false","1","3","97",,"3","3","0","0.13636363636363635","4.2510123172452643E-8"
"der_verschaemte_autor","Der verschämte Autor","MALE","false","1","6","225",,"3","3","0","0.13636363636363635","4.2510123172452643E-8"
"der_hohe_staatsanwalt","Der hohe Staatsanwalt","MALE","false","1","6","222",,"3","3","0","0.13636363636363635","4.2510123172452643E-8"
"rodrigo","Rodrigo","MALE","false","2","80","2784",,"14","18","0.007792207792207794","0.6694214876033059","0.25521368425610125"
"die_geschwitz","Die Geschwitz","FEMALE","false","3","54","1429",,"18","25","0.0554112554112554","0.8181818181818182","0.284566955722688"
"alwa","Alwa","MALE","false","3","146","2829",,"18","25","0.0554112554112554","0.8181818181818182","0.284566955722688"
"schigolch","Schigolch","MALE","false","3","104","1444",,"18","25","0.0554112554112554","0.8181818181818182","0.284566955722688"
"hugenberg","Hugenberg","MALE","false","1","23","483",,"5","5","0","0.4750733137829913","0.10235578405244196"
"lulu","Lulu","FEMALE","false","3","210","2902",,"18","25","0.0554112554112554","0.8181818181818182","0.284566955722688"
"bianetta","Bianetta","FEMALE","false","1","4","54",,"13","13","0","0.6403162055335969","0.24820976040626372"
"magelone","Magelone","FEMALE","false","1","22","386",,"13","13","0","0.6403162055335969","0.24820976040626372"
"casti-piani","Graf Casti-Piani","MALE","false","1","32","1337",,"13","13","0","0.6403162055335969","0.24820976040626372"
"kadidja","Kadidja","FEMALE","false","1","15","124",,"13","13","0","0.6403162055335969","0.24820976040626372"
"heilmann","Journalist Heilmann","MALE","false","1","14","120",,"13","13","0","0.6403162055335969","0.24820976040626372"
"puntschu","Puntschu","MALE","false","1","20","425",,"13","13","0","0.6403162055335969","0.24820976040626372"
"ludmilla_steinherz","Ludmilla Steinherz","FEMALE","false","1","9","147",,"13","13","0","0.6403162055335969","0.24820976040626372"
"bob","Bob","MALE","false","1","7","48",,"13","13","0","0.6403162055335969","0.24820976040626372"
"ein_polizeikommissaer","Ein Polizeikommissär","MALE","false","1","1","7",,"13","13","0","0.6403162055335969","0.24820976040626372"
"herr_hunidei","Herr Hunidei","MALE","false","1","12","0",,"7","7","0","0.5078369905956114","0.10724165845638402"
"kungu_poti","Kungu Poti","MALE","false","1","9","114",,"7","7","0","0.5078369905956114","0.10724165845638402"
"dr_hilti","Dr. Hilti","MALE","false","1","11","166",,"7","7","0","0.5078369905956114","0.10724165845638402"
"jack","Jack","MALE","false","1","21","229",,"7","7","0","0.5078369905956114","0.10724165845638402"
