id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"sosias","Sosias","MALE","false","15","175","4479",,"14","36","0.07692307692307693","1","0.30096193068628063"
"merkur","Merkur","MALE","false","6","116","2037",,"12","15","0.02197802197802198","0.875","0.2825142930195524"
"jupiter","Jupiter","MALE","false","5","84","2580",,"11","21","0","0.8235294117647058","0.27424472963482593"
"alkmene","Alkmene","FEMALE","false","5","121","3123",,"12","18","0.02197802197802198","0.875","0.2825142930195524"
"charis","Charis","FEMALE","false","5","64","1248",,"4","7","0","0.5833333333333334","0.10245705997771326"
"amphitryon","Amphitryon","MALE","false","9","164","2735",,"14","29","0.07692307692307693","1","0.30096193068628063"
"erster_feldherr","Erster Feldherr","MALE","false","4","25","338",,"11","21","0","0.8235294117647058","0.27424472963482593"
"zweiter_feldherr","Zweiter Feldherr","MALE","false","3","13","59",,"11","19","0","0.8235294117647058","0.27424472963482593"
"dritter_feldherr","Dritter Feldherr","MALE","false","2","2","7",,"11","16","0","0.8235294117647058","0.27424472963482593"
"einer_aus_dem_volk","Einer aus dem Volk","MALE","false","1","2","38",,"5","5","0","0.6086956521739131","0.11427829572401857"
"zweiter_oberster","Zweiter Oberster","MALE","false","1","2","9",,"5","5","0","0.6086956521739131","0.11427829572401857"
"erster_oberster","Erster Oberster","MALE","false","2","6","200",,"13","16","0.04395604395604396","0.9333333333333333","0.2926923673015542"
"das_volk","Das Volk","UNKNOWN","true","2","7","52",,"13","16","0.04395604395604396","0.9333333333333333","0.2926923673015542"
"die_obersten","Die Obersten","MALE","true","1","1","12",,"11","11","0","0.8235294117647058","0.27424472963482593"
"die_feldherren","Die Feldherren","MALE","true","1","1","13",,"11","11","0","0.8235294117647058","0.27424472963482593"
