id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"hamatelliwa","Hamatelliwa","MALE","false","5","51","915",,"5","14","0","0.45714285714285713","0.05670559263401934"
"abdallah","Abdallah","MALE","false","12","67","750",,"15","43","0.020298026346413443","0.5925925925925926","0.17609022956965475"
"bernhard","Bernhard","MALE","false","16","205","3494",,"25","75","0.11315686441694507","0.7272727272727273","0.2615929228437469"
"lothar","Lothar","MALE","false","14","93","1340",,"23","76","0.04730101327883587","0.6956521739130435","0.2580013562669835"
"hugo","Hugo","MALE","false","9","29","337",,"22","51","0.13926929924913795","0.7272727272727273","0.24740270277584828"
"ludwig_der_deutsche","Ludwig der Deutsche","MALE","false","14","68","682",,"22","70","0.03650992264903555","0.6808510638297872","0.2526467009593113"
"matfried","Matfried","MALE","false","12","35","453",,"22","60","0.13926929924913795","0.7272727272727273","0.24740270277584828"
"elisachar","Elisachar","MALE","false","1","13","158",,"5","5","0","0.463768115942029","0.06301810283123906"
"alle_1-4","Alle (I/4)","MALE","true","1","1","2",,"5","5","0","0.463768115942029","0.06301810283123906"
"karl","Karl","MALE","false","13","106","1540",,"20","52","0.03665492773355676","0.6530612244897959","0.2275556174254587"
"judith","Judith","FEMALE","false","12","100","1499",,"20","57","0.013853345355361478","0.6530612244897959","0.2455462611194872"
"kaiser_ludwig","Kaiser Ludwig","MALE","false","7","50","719",,"16","38","0.001590815098879615","0.6037735849056604","0.21346524227991065"
"ebo","Bischof Ebo","MALE","false","3","3","42",,"16","30","0.001590815098879615","0.6037735849056604","0.21346524227991065"
"agobard","Agobard","MALE","false","2","2","34",,"14","18","0.0005216557635912475","0.5818181818181818","0.18948176343930676"
"wala","Wala","MALE","false","8","43","1000",,"20","56","0.013324438778067807","0.6530612244897959","0.24562716542646815"
"erster_diener","Erster Diener","MALE","false","2","8","102",,"3","3","0.12096774193548385","0.3368421052631579","0.0017401413476037216"
"zweiter_diener","Zweiter Diener","MALE","false","1","3","11",,"2","2","0","0.256","0.00010906388056946012"
"dritter_diener","Dritter Diener","MALE","false","1","3","24",,"2","2","0","0.256","0.00010906388056946012"
"frechulf","Frechulf","MALE","false","2","7","58",,"3","3","0.1754032258064516","0.47058823529411764","0.029286094518991064"
"satilatlas","Satilatlas","MALE","false","8","33","413",,"20","38","0.060499457979296706","0.6530612244897959","0.21911553539530773"
"temin","Temin","MALE","false","5","15","119",,"9","19","0.006766251221896382","0.48484848484848486","0.07708067899582015"
"rudthardt","Rudthardt","MALE","false","9","40","364",,"20","55","0.013853345355361478","0.6530612244897959","0.2455462611194872"
"ottgar","Ottgar","MALE","false","6","16","98",,"14","28","0.005252336149513569","0.5818181818181818","0.18033774990021473"
"humfried","Humfried","MALE","false","2","2","7",,"7","10","0","0.48484848484848486","0.09614222642540285"
"chorknaben","Chorknaben","MALE","true","1","2","25",,"13","13","0","0.5714285714285714","0.17680803912467577"
"alle_2-8","Alle (II/8)","MALE","true","1","3","9",,"13","13","0","0.5714285714285714","0.17680803912467577"
"die_franken","Die Franken","MALE","true","2","2","10",,"15","25","0.0010691593352883675","0.5925925925925926","0.2007915179652797"
"die_deutschen_alle_deutschen","Die Deutschen/Alle Deutschen","MALE","true","3","3","14",,"19","25","0.05284805919886565","0.64","0.21150456017236746"
"erster_ritter","Erster Ritter","MALE","false","1","4","51",,"6","6","0","0.45714285714285713","0.05144132415057671"
"zweiter_ritter","Zweiter Ritter","MALE","false","1","2","12",,"6","6","0","0.45714285714285713","0.05144132415057671"
"dritter_ritter","Dritter Ritter","MALE","false","1","2","13",,"6","6","0","0.45714285714285713","0.05144132415057671"
"alle_4-1-5_und_4-1-6","Alle (IV/1/5–6)","MALE","true","2","5","26",,"7","11","0","0.49230769230769234","0.09759538908942116"
"alle_4-2-8","Alle (IV/2/8)","MALE","true","1","2","6",,"9","9","0","0.5","0.12344151417536545"
