id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"soest","Soest","MALE","false","4","45","642",,"21","27","0.10340996168582374","0.7466666666666667","0.25129661518572444"
"jetter","Jetter","MALE","false","4","69","1310",,"21","27","0.10340996168582374","0.7466666666666667","0.25129661518572444"
"buyck","Buyck","MALE","false","1","16","517",,"4","4","0","0.4429378531073446","0.03542764228985259"
"alle_1-1","Alle (I/1)","UNKNOWN","true","1","7","33",,"4","4","0","0.4429378531073446","0.03542764228985259"
"ruysum","Ruysum","MALE","false","1","11","198",,"4","4","0","0.4429378531073446","0.03542764228985259"
"regentin","Regentin","FEMALE","false","2","38","2073",,"1","2","0","0.03333333333333333","1.0233540272031601E-10"
"machiavell","Machiavell","MALE","false","2","35","695",,"1","2","0","0.03333333333333333","1.0233540272031601E-10"
"klare_klaerchen","Klare/Klärchen","FEMALE","false","4","87","3393",,"6","9","0.007816091954022988","0.5226666666666667","0.06621932954498704"
"brackenburg","Brackenburg","MALE","false","3","31","1225",,"5","7","0.004597701149425287","0.45847953216374265","0.05168755891274968"
"mutter","Mutter","FEMALE","false","2","28","427",,"3","4","0.0032183908045977016","0.4666666666666667","0.02271398518557552"
"zimmermeister","Zimmermeister","MALE","false","3","41","666",,"18","23","0.020651340996168575","0.687719298245614","0.2451124353579072"
"seifensieder","Seifensieder","MALE","false","1","6","78",,"16","16","0","0.6533333333333333","0.2382518947329994"
"vansen","Vansen","MALE","false","2","40","1214",,"16","19","0","0.6533333333333333","0.2382518947329994"
"einige_andere_mehrere_das_volk_andere","Einige Andere/Mehrere/Das Volk/Andere (II/1)","UNKNOWN","true","1","10","87",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_buerger_a","Ein Bürger","MALE","false","1","1","1",,"16","16","0","0.6533333333333333","0.2382518947329994"
"anderer_buerger_a","Anderer Bürger","MALE","false","1","1","2",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_buerger_b","Ein Bürger","MALE","false","1","1","3",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_anderer_b","Ein Anderer","MALE","false","1","1","14",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_buerger_c","Ein Bürger","MALE","false","1","1","5",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_anderer_c","Ein Anderer","MALE","false","1","1","9",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_anderer_d","Ein Anderer","MALE","false","1","1","7",,"16","16","0","0.6533333333333333","0.2382518947329994"
"buerger_d","Bürger","MALE","false","1","1","15",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_anderer_e","Ein Anderer","MALE","false","1","1","3",,"16","16","0","0.6533333333333333","0.2382518947329994"
"ein_anderer_f","Ein Anderer","MALE","false","1","1","2",,"16","16","0","0.6533333333333333","0.2382518947329994"
"egmont","Egmont","MALE","false","6","159","6271",,"24","26","0.3637931034482759","0.8166666666666667","0.24974909926066588"
"sekretaer","Sekretär","MALE","false","1","28","593",,"2","2","0","0.4505747126436782","0.016445622135618638"
"oranien","Oranien","MALE","false","1","37","654",,"2","2","0","0.4505747126436782","0.016445622135618638"
"silva","Silva","MALE","false","2","24","578",,"4","6","0","0.4666666666666667","0.018940402644196868"
"gomez","Gomez","MALE","false","1","12","284",,"4","4","0","0.4666666666666667","0.018940402644196868"
"ferdinand","Ferdinand","MALE","false","2","36","1007",,"4","6","0","0.4666666666666667","0.018940402644196868"
"alba","Alba","MALE","false","1","46","1746","Q80847","4","4","0","0.4666666666666667","0.018940402644196868"
