id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"mac-gregor","Mac-Gregor","MALE","false","2","17","723",,"7","10","0.00380952380952381","0.6521739130434783","0.14248622528439106"
"douglas","Douglas","MALE","false","3","26","620",,"7","11","0.00380952380952381","0.6521739130434783","0.14248622528439103"
"margarete","Margarete","FEMALE","false","2","24","755",,"7","10","0.00380952380952381","0.6521739130434783","0.14248622528439103"
"maria","Maria","FEMALE","false","2","27","394",,"7","10","0.00380952380952381","0.6521739130434783","0.14248622528439103"
"lesley","Lesley","MALE","false","2","18","300",,"13","13","0.1523809523809524","0.8823529411764706","0.3394259757571151"
"tom","Tom","MALE","false","1","13","450",,"9","9","0","0.7142857142857143","0.2849189433522392"
"willie","Willie","MALE","false","1","7","138",,"9","9","0","0.7142857142857143","0.28491894335223916"
"ratcliff","Ratcliff","MALE","false","3","45","2248",,"15","16","0.3085714285714286","1","0.3604707106136737"
"alle-mehrere","Alle/Mehrere","MALE","true","1","3","15",,"9","9","0","0.7142857142857143","0.2849189433522392"
"robin","Robin","MALE","false","1","4","26",,"9","9","0","0.7142857142857143","0.2849189433522392"
"dick","Dick","MALE","false","1","2","124",,"9","9","0","0.7142857142857143","0.2849189433522392"
"bill","Bill","MALE","false","1","1","17",,"9","9","0","0.7142857142857143","0.28491894335223916"
"john","John","MALE","false","1","3","18",,"9","9","0","0.7142857142857143","0.2849189433522392"
"taddie","Taddie","MALE","false","1","2","11",,"9","9","0","0.7142857142857143","0.2849189433522392"
"ein_diener","Ein Diener","MALE","false","1","1","7",,"6","6","0","0.625","0.11002531967727815"
"viele_stimmen-alle","Viele Stimmen/Alle","UNKNOWN","true","1","2","3",,"6","6","0","0.625","0.11002531967727817"
