id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"leonore","Leonore","FEMALE","false","11","78","2661",,"6","17","0.02669711362805992","0.5223880597014925","0.11337745486438157"
"arabella","Arabella/Bella","FEMALE","false","7","24","296",,"8","15","0.03531969309462916","0.5384615384615384","0.1502201290501438"
"rosa","Rosa","FEMALE","false","4","9","83",,"2","7","0","0.35714285714285715","0.02387818723680618"
"gianettino","Gianettino","MALE","false","12","88","1168",,"11","24","0.0357329286229542","0.5833333333333334","0.1547348116395068"
"mohr","Mohr","MALE","false","13","112","2252",,"8","17","0.0029131652661064425","0.5384615384615384","0.18748026173053148"
"calcagno","Calcagno","MALE","false","15","62","946",,"19","52","0.13727354486945278","0.6862745098039216","0.3196740245599787"
"sacco","Sacco","MALE","false","11","25","441",,"15","39","0.037609679323234314","0.6363636363636364","0.2920164075570025"
"julia","Julia","FEMALE","false","8","52","1386",,"6","14","0.009010239547323946","0.5072463768115942","0.0892796966337642"
"fiesco","Fiesco","MALE","false","39","326","8517",,"28","81","0.45807650150361157","0.8333333333333334","0.3765347927633698"
"gaeste","Gäste","UNKNOWN","true","2","2","9",,"4","6","0","0.4861111111111111","0.066316772320283"
"lomellin","Lomellin","MALE","false","8","48","676",,"9","17","0.020830967838640475","0.5645161290322581","0.13449315556804908"
"eine_von_den_drei_masken","Eine von den drei Masken","MALE","false","1","1","6",,"4","4","0","0.4861111111111111","0.066316772320283"
"masken","Masken","MALE","true","1","1","2",,"4","4","0","0.5","0.11477281491084035"
"verrina","Verrina","MALE","false","16","113","2511",,"14","52","0.026190476190476195","0.6140350877192983","0.2787850034015275"
"bourgognino","Bourgognino","MALE","false","16","76","992",,"16","49","0.05476040583457463","0.6363636363636364","0.2996505948496629"
"berta","Berta","FEMALE","false","4","32","148",,"4","7","0","0.44871794871794873","0.10780801117872586"
"zibo","Zibo","MALE","false","8","42","337",,"11","31","0.008623998094220967","0.5932203389830508","0.24853889219765127"
"zenturione","Zenturione","MALE","false","9","51","409",,"14","35","0.08385777053296235","0.6140350877192983","0.2583321960408255"
"asserato","Asserato","MALE","false","3","15","115",,"8","14","0","0.5555555555555556","0.20861330702414882"
"zwoelf_handwerker","Zwölf Handwerker","MALE","true","1","10","73",,"4","4","0","0.4794520547945205","0.046837591634285025"
"erster_handwerker","Erster Handwerker","MALE","false","1","9","97",,"4","4","0","0.4794520547945205","0.046837591634285025"
"zweiter_handwerker","Zweiter Handwerker","MALE","false","1","5","65",,"4","4","0","0.4794520547945205","0.046837591634285025"
"dritter_handwerker","Dritter Handwerker","MALE","false","1","1","7",,"4","4","0","0.4794520547945205","0.046837591634285025"
"andreas","Andreas","MALE","false","5","25","649",,"6","8","0.029047619047619048","0.5223880597014925","0.0967825226316347"
"romano","Romano","MALE","false","1","5","134",,"3","3","0","0.4861111111111111","0.08650668350281593"
"verschworene","Verschworene","MALE","true","4","5","24",,"8","16","0.002235168314817566","0.546875","0.19502162019714125"
"teutscher_3-11","Teutscher (III/11)","MALE","false","1","3","57",,"3","3","0","0.4794520547945205","0.05621348710450804"
"wachen_am_hoftor","Wachen am Hoftor","MALE","true","6","12","20",,"11","26","0.046386554621848736","0.5833333333333334","0.22941147159226913"
"linke_wache","Linke Wache","MALE","false","1","1","2",,"3","3","0","0.3977272727272727","0.04858342728045338"
"rechte_wache","Rechte Wache","MALE","false","1","1","2",,"3","3","0","0.3977272727272727","0.04858342728045338"
"teutscher_4-8","Teutscher (IV/8)","MALE","false","2","3","29",,"6","7","0.0005602240896358544","0.5384615384615384","0.15322877743537427"
"bedienter","Bedienter","MALE","false","1","1","9",,"1","1","0","0.4605263157894737","0.034108840678561674"
"bediente","Bediente","UNKNOWN","true","1","0","3",,"4","4","0","0.44871794871794873","0.07674564231714395"
"teutscher_5-4","Teutscher (V/4)","MALE","false","1","5","60",,"3","3","0","0.43209876543209874","0.04148275780241973"
"teutsche","Teutsche","MALE","true","1","1","2",,"3","3","0","0.43209876543209874","0.04148275780241973"
"alle_5-12","Alle (V/12)","UNKNOWN","true","1","1","6",,"5","5","0","0.5303030303030303","0.13543417075007425"
