id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"bolzau","Bolzau","MALE","false","28","292","3400",,"9","67","0.009523809523809523","0.9090909090909091","0.33012147753420124"
"bertha","Bertha","FEMALE","false","20","174","2073",,"9","42","0.009523809523809523","0.9090909090909091","0.33012147753420124"
"schnake","Schnake","MALE","false","8","78","1658",,"9","29","0.009523809523809523","0.9090909090909091","0.33012147753420124"
"scheffler","Scheffler","MALE","false","20","192","1799",,"9","39","0.009523809523809523","0.9090909090909091","0.33012147753420124"
"hartwig","Hartwig","MALE","false","13","172","3049",,"9","37","0.009523809523809523","0.9090909090909091","0.33012147753420124"
"steinkirch","Steinkirch","MALE","false","15","119","1273",,"8","35","0.06666666666666667","0.8333333333333334","0.28059235795726445"
"diener","Diener","MALE","false","2","3","14",,"2","4","0","0.5555555555555556","0.07256318605001981"
"ludmilla","Ludmilla","FEMALE","false","14","78","567",,"10","46","0.12063492063492065","1","0.337742771011091"
"brimborius","Brimborius","MALE","false","6","49","482",,"7","12","0","0.7692307692307693","0.2720764540894868"
"wilhelmine","Wilhelmine","FEMALE","false","15","167","1709",,"9","47","0.009523809523809523","0.9090909090909091","0.33012147753420124"
"franz","Franz","MALE","false","5","11","50",,"7","12","0","0.7692307692307693","0.2720764540894868"
