id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"carbo","Carbo","MALE","false","9","42","593",,"16","42","0.01304401466739129","0.7857142857142857","0.24223177950269018"
"kleon","Kleon","MALE","false","4","21","404",,"10","16","0.02277537277537277","0.6470588235294118","0.15637383696108798"
"agricola","Agricola","MALE","false","14","55","863",,"18","65","0.036061761711112354","0.8461538461538461","0.25919911441849075"
"euporus","Euporus","MALE","false","13","38","670",,"18","51","0.032565762760567954","0.8461538461538461","0.25863907561932825"
"laetorius","Lätorius","MALE","false","11","66","1374",,"20","58","0.05668293947514728","0.9166666666666666","0.2767076509349314"
"volk","Volk/Volkshaufe","UNKNOWN","true","11","43","256",,"19","61","0.04428686993622058","0.88","0.26438137733791006"
"cornelia","Cornelia","FEMALE","false","9","40","1484",,"14","40","0.005959408556811154","0.7333333333333333","0.22100461115163464"
"licinnia","Licinnia","FEMALE","false","10","43","858",,"14","45","0.007215007215007214","0.7333333333333333","0.21748800549144612"
"pomponius","Pomponius","MALE","false","13","55","1390",,"16","64","0.01203750554399905","0.7857142857142857","0.24393030961202594"
"metellus","Metellus","MALE","false","9","48","1054",,"19","52","0.04428686993622058","0.88","0.26438137733791006"
"opimius","Opimius","MALE","false","10","59","1227",,"19","53","0.04428686993622058","0.88","0.26438137733791006"
"drusus","Drusus","MALE","false","7","35","774",,"18","37","0.03603942954592305","0.8461538461538461","0.25458485533677655"
"lictor_1","Lictor (I. Aufzug)","MALE","false","1","1","7",,"5","5","0","0.55","0.08734890350073025"
"gracchus","Gracchus","MALE","false","15","127","4508",,"19","74","0.08916421481356547","0.88","0.264177570501709"
"senat_senatoren","Senat/Die Senatoren","MALE","true","2","2","27",,"11","17","0.00039354584809130267","0.6666666666666666","0.18245787704912936"
"aulus","Aulus","MALE","false","3","9","58",,"9","14","0.0027520098948670374","0.6285714285714286","0.13870777200155676"
"rufus","Rufus","MALE","false","2","3","24",,"8","12","0.0006184291898577612","0.5945945945945946","0.12215758451670945"
"sklavin","Sklavin","FEMALE","false","1","1","3",,"2","2","0","0.4888888888888889","0.02810758704119218"
"scipio","Scipio","MALE","false","4","34","1046",,"13","15","0.0016528925619834713","0.7096774193548387","0.2125065835846283"
"lictor_3","Lictor (III. Aufzug)","MALE","false","2","2","10",,"11","15","0.00039354584809130267","0.6666666666666666","0.18348579140645932"
"der_sclave","Der Sclave","MALE","false","1","4","46",,"7","7","0","0.5789473684210527","0.10595435602763083"
"lictor_5","Lictor (V. Aufzug)","MALE","false","3","6","139",,"9","16","0","0.6285714285714286","0.1420531496269478"
"buerger","Bürger","UNKNOWN","true","3","8","49",,"9","19","0","0.6285714285714286","0.14205314962694782"
