id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"lykon","Lykon","MALE","false","9","52","1442",,"8","16","0.06366472069597069","0.4744525547445255","0.045644490387090036"
"der_zeltwaechter","Der Zeltwächter","MALE","false","1","1","10",,"1","1","0","0.32338308457711445","0.002655319553366953"
"arratos","Arratos","MALE","false","27","171","3783",,"20","68","0.04898823461606266","0.5701754385964912","0.14607961123043972"
"der_hauptmann","Der Hauptmann","MALE","false","1","2","16",,"3","3","0","0.3939393939393939","0.01930580365947481"
"mago","Mago","MALE","false","5","59","1323",,"16","21","0.04542232889659358","0.5603448275862069","0.140138757214057"
"philarete","Philarete","FEMALE","false","15","67","1916",,"11","34","0.013942176790027475","0.5284552845528455","0.09559230682232223"
"diokles","Diokles","MALE","false","12","66","1196",,"34","75","0.12316177059177623","0.65","0.2825881488818528"
"myrrha","Myrrha","FEMALE","false","12","39","709",,"15","35","0.061456466327789866","0.5555555555555556","0.0956067625838832"
"die_erscheinung","Die Erscheinung","MALE","false","1","5","90",,"1","1","0","0.32338308457711445","0.002655319553366953"
"menesto","Menesto","FEMALE","false","4","17","396",,"4","7","0.060576923076923084","0.4304635761589404","0.0217313452139848"
"bio","Bio","FEMALE","false","2","5","60",,"2","4","0","0.3037383177570093","0.001342275814585898"
"phenippe","Phenippe","FEMALE","false","2","7","134",,"2","4","0","0.3037383177570093","0.001342275814585898"
"artemidor","Artemidor","MALE","false","11","45","855",,"32","63","0.1279572722714691","0.6372549019607843","0.27526873506204974"
"der_tuerhueter","Der Türhüter","MALE","false","4","10","55",,"5","8","0","0.436241610738255","0.04008234417909555"
"erster_spaeher","Erster Späher","MALE","false","4","13","133",,"3","8","0","0.38461538461538464","0.02209290902467602"
"zweiter_spaeher","Zweiter Späher","MALE","false","5","27","475",,"17","24","0.02344696734261214","0.5555555555555556","0.13810016174494716"
"die_bettler","Die Bettler","MALE","true","4","7","92",,"22","30","0.03723125832500833","0.5118110236220472","0.1172652859968421"
"der_reisende","Der Reisende","MALE","false","1","1","17",,"4","4","0","0.34574468085106386","0.018489512856633333"
"deonax","Deonax","MALE","false","4","8","175",,"22","30","0.03723125832500833","0.5118110236220472","0.1172652859968421"
"sosthenes","Sosthenes","MALE","false","2","4","65",,"11","13","0.011845862470862471","0.45454545454545453","0.06480544151944914"
"einer_2-1","Einer (II/1)","MALE","false","1","1","2",,"4","4","0","0.34574468085106386","0.01848951285663333"
"eurytimos","Eurytimos","MALE","false","7","27","187",,"36","57","0.1455058501233558","0.6632653061224489","0.2582676364196849"
"ein_bettler","Ein Bettler","MALE","false","1","1","6",,"9","9","0","0.4482758620689655","0.06277243636676394"
"ein_anderer_2-2a","Ein Anderer (II/2)","MALE","false","1","1","4",,"9","9","0","0.4482758620689655","0.06277243636676395"
"der_blinde","Der Blinde","MALE","false","16","185","4959",,"43","76","0.28527025238775794","0.7142857142857143","0.27034186492538315"
"mandros","Mandros","MALE","false","1","7","78",,"9","9","0","0.4482758620689655","0.06277243636676394"
"einer_2-2","Einer (II/2)","MALE","false","1","2","13",,"9","9","0","0.4482758620689655","0.06277243636676395"
"ein_anderer_2-2b","Ein Anderer (II/2)","MALE","false","1","1","5",,"9","9","0","0.4482758620689655","0.06277243636676394"
"gubal","Gubal","MALE","false","1","4","24",,"8","8","0","0.46099290780141844","0.06855828048359995"
"der_karthagische_diener","Der karthagische Diener","MALE","false","1","1","4",,"8","8","0","0.46099290780141844","0.06855828048359995"
"einer_der_bettler","Einer der Bettler","MALE","false","1","1","5",,"8","8","0","0.46099290780141844","0.06855828048359995"
"einer_aus_dem_volke_2-4","Einer aus dem Volke (II/4)","MALE","false","1","1","6",,"9","9","0","0.4482758620689655","0.06781064672289483"
"ein_anderer_2-4a","Ein Anderer (II/4)","MALE","false","1","1","8",,"9","9","0","0.4482758620689655","0.06781064672289483"
"mehrere_die_menge_stimmen_im_volke","Mehrere/Die Menge/Stimmen im Volke","UNKNOWN","true","2","4","20",,"16","18","0.017530642356010002","0.5508474576271186","0.13125877996330876"
"einer_2-4","Einer (II/4)","MALE","false","1","1","13",,"9","9","0","0.4482758620689655","0.06781064672289483"
"ein_anderer_2-4b","Ein Anderer (II/4)","MALE","false","1","1","13",,"9","9","0","0.4482758620689655","0.06781064672289483"
"ein_dritter_2-4","Ein Dritter (II/4)","MALE","false","1","1","3",,"9","9","0","0.4482758620689655","0.06781064672289483"
"hegesias","Hegesias","MALE","false","2","8","293",,"10","12","0.00030906593406593405","0.5158730158730159","0.11262630663927449"
"einer_aus_dem_volke_2-5","Einer aus dem Volke (II/5)","MALE","false","1","1","8",,"9","9","0","0.5118110236220472","0.09972506402181444"
"einer_2-5","Einer (II/5)","MALE","false","1","1","5",,"9","9","0","0.5118110236220472","0.09972506402181444"
"ein_waechter_2-7","Ein Wächter (II/7)","MALE","false","1","1","6",,"4","4","0","0.49242424242424243","0.05667744543415123"
"ein_waechter_3-3","Ein Wächter (III/3)","MALE","false","1","1","6",,"2","2","0","0.4391891891891892","0.024224954277599863"
"der_erste_sklave","Der erste Sklave","MALE","false","1","1","6",,"6","6","0","0.45454545454545453","0.027744928328754512"
"der_zweite","Der zweite Sklave","MALE","false","1","1","4",,"6","6","0","0.45454545454545453","0.027744928328754512"
"der_dritte","Der dritte Sklave","MALE","false","1","1","3",,"6","6","0","0.45454545454545453","0.027744928328754512"
"der_vierte","Der vierte Sklave","MALE","false","1","1","4",,"6","6","0","0.45454545454545453","0.027744928328754512"
"ein_sehr_alter_sklave","Ein sehr alter Sklave","MALE","false","1","1","21",,"6","6","0","0.45454545454545453","0.027744928328754512"
"ein_aelterer_diener_4-1a","Ein älterer Diener (IV/1)","MALE","false","1","2","15",,"8","8","0","0.42207792207792205","0.0850871741396113"
"einer_4-1a","Einer (IV/1)","MALE","false","1","1","2",,"8","8","0","0.42207792207792205","0.0850871741396113"
"ktesias","Ktesias","MALE","false","5","21","284",,"24","41","0.03450170226329728","0.5803571428571429","0.23467356996288277"
"lysimachos","Lysimachos","MALE","false","3","5","38",,"20","31","0.021219265313934428","0.5508474576271186","0.20742818075609684"
"hermachos","Hermachos","MALE","false","3","5","159",,"20","31","0.021219265313934428","0.5508474576271186","0.2074281807560968"
"einer_4-1b","Einer (IV/1)","MALE","false","1","1","4",,"8","8","0","0.42207792207792205","0.0850871741396113"
"ein_aelterer_diener_4-1b","Ein älterer Diener (IV/1)","MALE","false","1","1","13",,"8","8","0","0.42207792207792205","0.0850871741396113"
"die_erste","Die Erste","FEMALE","false","1","1","3",,"14","14","0","0.4391891891891892","0.1596566340484264"
"die_zweite","Die Zweite","FEMALE","false","1","1","5",,"14","14","0","0.4391891891891892","0.15965663404842634"
"die_dritte","Die Dritte","FEMALE","false","1","1","12",,"14","14","0","0.4391891891891892","0.15965663404842634"
"einer_4-2","Einer (IV/2)","MALE","false","1","1","2",,"14","14","0","0.4391891891891892","0.15965663404842634"
"ein_zweiter_4-2","Ein Zweiter (IV/2)","MALE","false","1","1","3",,"14","14","0","0.4391891891891892","0.15965663404842634"
"ein_dritter_4-2","Ein Dritter (IV/2)","MALE","false","1","1","2",,"14","14","0","0.4391891891891892","0.15965663404842634"
"eins_der_maedchen","Eins der Mädchen","FEMALE","false","1","1","4",,"14","14","0","0.4391891891891892","0.15965663404842634"
"phaino","Phaino","FEMALE","false","2","7","72",,"16","23","0.009333418317793317","0.5327868852459017","0.18871745888853242"
"strution","Strution","FEMALE","false","2","9","55",,"16","23","0.009333418317793317","0.5327868852459017","0.18871745888853242"
"rufe_4","Rufe (IV)","UNKNOWN","true","3","11","34",,"18","30","0.0131877670940171","0.5462184873949579","0.20174027591838883"
"erster_waechter","Erster Wächter","MALE","false","1","2","15",,"7","7","0","0.5","0.09674401070720397"
"rufe_5","Rufe (V)","UNKNOWN","true","2","2","8",,"7","10","0.0016064205402440699","0.5038759689922481","0.06914316901920156"
