id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"danilow","Danilow","MALE","false","4","27","591",,"12","15","0.24191559981033667","0.5352112676056338","0.04797322665146893"
"zwei_deputierte_mehrere_alle","Zwei Deputierte/Mehrere/Alle (I/1–2)","MALE","true","2","3","10",,"7","8","0.005689900426742532","0.37254901960784315","0.006936842349251117"
"einer_1-1a","Einer","MALE","false","1","1","3",,"5","5","0","0.36538461538461536","0.00479852310232533"
"ein_andrer_1-1","Ein Andrer","MALE","false","1","1","3",,"5","5","0","0.36538461538461536","0.00479852310232533"
"ein_dritter_1-1","Ein Dritter","MALE","false","1","1","28",,"5","5","0","0.36538461538461536","0.00479852310232533"
"einer_1-1b","Einer","MALE","false","1","1","90",,"5","5","0","0.36538461538461536","0.0047985231023253295"
"aaron","Aaron","MALE","false","2","14","804",,"6","7","0.03262209577999049","0.4935064935064935","0.027332717749871158"
"der_bote","Der Bote","MALE","false","1","1","27",,"3","3","0","0.3584905660377358","0.005693562180039363"
"peter","Peter","MALE","false","13","173","4440",,"26","42","0.4265799634220687","0.7450980392156863","0.28122466585696426"
"theophanes","Theophanes","MALE","false","2","6","267",,"15","20","0.002514732777890672","0.5507246376811594","0.2531763506792442"
"jaguschinsky","Jaguschinsky","MALE","false","4","15","331",,"17","24","0.09801022827338615","0.6229508196721312","0.2589177856455938"
"menzikof","Menzikof","MALE","false","5","35","655",,"19","26","0.10167310167310169","0.6031746031746031","0.26587444451933917"
"schaphirow","Schaphirow","MALE","false","3","16","204",,"15","21","0.002514732777890672","0.5507246376811594","0.2531763506792442"
"ostermann","Ostermann","MALE","false","2","7","166",,"15","20","0.002514732777890672","0.5507246376811594","0.2531763506792442"
"einige_andre_alle","Einige/Andre/Alle (I/3)","MALE","true","1","3","13",,"6","6","0","0.475","0.10836505218755332"
"tolstoi","Tolstoi","MALE","false","5","62","1563",,"17","20","0.07086296823138927","0.5757575757575758","0.2548798222836779"
"therese","Therese","FEMALE","false","3","26","232",,"4","6","0.015742057847321005","0.4523809523809524","0.02749589894048235"
"anna","Anna","FEMALE","false","2","17","190",,"2","3","0","0.336283185840708","0.006158040009263557"
"katharina","Katharina","FEMALE","false","10","93","2433",,"6","13","0.04004267425320057","0.4935064935064935","0.06146799769260815"
"mons","Mons","MALE","false","5","17","402",,"6","10","0.006116642958748222","0.475","0.048378285684029625"
"euphrosyne","Euphrosyne","FEMALE","false","3","29","450",,"4","4","0.011450924608819347","0.4691358024691358","0.05702562100838655"
"costa","Costa","MALE","false","2","43","1029",,"2","2","0.0006401137980085349","0.3838383838383838","0.021867400665833887"
"schepelew","Schepelew","MALE","false","4","23","303",,"2","6","0","0.3838383838383838","0.020964154423474282"
"alexis","Alexis","MALE","false","8","87","2733",,"19","24","0.1123382781277518","0.59375","0.25889205731864423"
"erster_tuersteher","Erster Türsteher","MALE","false","2","6","45",,"4","4","0.052631578947368425","0.3958333333333333","0.03891377149125097"
"zweiter_tuersteher","Zweiter Türsteher","MALE","false","1","4","143",,"1","1","0","0.2857142857142857","0.0026935461518925756"
"dentschik","Dentschik","MALE","false","1","1","50",,"3","3","0","0.3917525773195876","0.038739399544011385"
"der_sekretaer_4-4","Der Sekretär (IV/4)","MALE","false","1","2","8",,"14","14","0","0.5428571428571428","0.2461610485506942"
"der_nachbar","Der Nachbar","MALE","false","1","1","6",,"14","14","0","0.5428571428571428","0.2461610485506942"
"andre_alle_allgemeiner_ruf","Andre/Alle/Allgemeiner Ruf (IV/4)","MALE","true","1","3","6",,"14","14","0","0.5428571428571428","0.24616104855069415"
"die_geistlichen","Die Geistlichen","MALE","true","1","2","2",,"14","14","0","0.5428571428571428","0.2461610485506942"
"ein_general","Ein General","MALE","false","1","1","9",,"14","14","0","0.5428571428571428","0.2461610485506942"
"die_generale","Die Generale","MALE","true","1","1","2",,"14","14","0","0.5428571428571428","0.24616104855069415"
"die_senatoren","Die Senatoren","MALE","true","1","1","1",,"14","14","0","0.5428571428571428","0.24616104855069415"
"arzt","Arzt","MALE","false","4","21","382",,"5","8","0.010848066111224009","0.4634146341463415","0.04397608654008616"
"sekretaer_4-5","Sekretär (IV/5)","MALE","false","1","1","3",,"3","3","0","0.4470588235294118","0.025858869827730113"
"gordon","Gordon","MALE","false","1","13","139",,"4","4","0","0.4810126582278481","0.026514726603878942"
"alle_5-2","Alle (V/2)","MALE","true","1","2","6",,"4","4","0","0.4810126582278481","0.026514726603878942"
"die_uebrigen","Die Übrigen (V/7)","MALE","true","1","1","3",,"3","3","0","0.475","0.04070910602550698"
