id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"barjac","Barjac","MALE","false","10","20","109",,"10","47","0.000445632798573975","0.5483870967741935","0.08594469850674019"
"epinay","Marquise d'Epinay","FEMALE","false","12","52","696",,"23","68","0.07945028781367545","0.7555555555555555","0.23902650357084368"
"grimm","Grimm","MALE","false","8","29","582","Q61852","10","42","0.000445632798573975","0.5483870967741935","0.0859446985067402"
"holbach","Baron von Holbach","MALE","false","8","17","287","Q7104","10","44","0.000445632798573975","0.5483870967741935","0.0859446985067402"
"quinault","Doris Quinault","FEMALE","false","21","103","2499","Q3175927","26","87","0.10488902687634184","0.8095238095238095","0.24185615178549433"
"lambert","Saint-Lambert","MALE","false","13","37","525","Q981928","26","75","0.11439585991258665","0.8095238095238095","0.24111446964880742"
"boufflers","Marquise de Boufflers","FEMALE","false","5","9","65","Q201118","14","36","0.018442205079439253","0.6296296296296297","0.10976524502967847"
"gesellschaft_alle_die_anderen","Gesellschaft/Alle/Alle Übrigen/Alles/Die Anderen (I/7–11)","UNKNOWN","true","4","10","13",,"10","33","0.000445632798573975","0.5483870967741935","0.08594469850674019"
"diener_1-7","Diener (I/7)","MALE","true","1","0","0",,"8","8","0","0.53125","0.06876719186132726"
"diderot","Diderot","MALE","false","4","30","387","Q448","9","28","0","0.5396825396825397","0.08214421390282582"
"narziss","Narziß Rameau","MALE","false","12","93","3907",,"22","57","0.05711178925953207","0.7391304347826086","0.22867520805207844"
"dubarry","Graf Dubarry","MALE","false","12","39","589",,"19","80","0.009530454207733153","0.6938775510204082","0.23314763511038172"
"choiseul","Herzog von Choiseul-d'Amboise","MALE","false","25","146","2865","Q289149","28","114","0.17942839309584738","0.85","0.26128930663691025"
"lakai","Lakai","MALE","false","3","5","10",,"2","5","0","0.5151515151515151","0.029389509889083267"
"colette","Colette","FEMALE","false","6","9","20",,"3","10","0","0.5230769230769231","0.04280991935281352"
"terray","Abbé Terray","MALE","false","7","2","12","Q782831","18","69","0.005490050167329114","0.68","0.22848712820512096"
"silhouette","Marquis Silhouette","MALE","false","8","3","15","Q290240","19","75","0.009530454207733153","0.6938775510204082","0.23314763511038167"
"maupeou","Maupeou","MALE","false","8","2","33","Q1266161","19","75","0.009530454207733153","0.6938775510204082","0.23314763511038172"
"erster_kavalier","Erster Kavalier","MALE","false","7","6","8",,"18","67","0.005490050167329114","0.68","0.22848712820512096"
"zweiter_kavalier","Zweiter Kavalier","MALE","false","5","1","3",,"18","60","0.005490050167329114","0.68","0.22848712820512096"
"pompadour","Marquise de Pompadour","FEMALE","false","11","77","2234","Q188965","22","81","0.04963740607939091","0.7391304347826086","0.2418524832486952"
"erster_page","Erster Page","MALE","false","5","2","3",,"18","60","0.005490050167329114","0.68","0.22848712820512096"
"zweiter_page","Zweiter Page","MALE","false","5","2","3",,"18","60","0.005490050167329114","0.68","0.22848712820512096"
"sechs_hofdamen","Sechs Hofdamen","FEMALE","true","3","0","0",,"13","36","0.0004098314320923449","0.6181818181818182","0.17031333700820966"
"zwei_kammerdiener","Zwei Kammerdiener","MALE","true","3","2","0",,"13","36","0.0004098314320923449","0.6181818181818182","0.17031333700820966"
"wache","Wache","MALE","false","1","1","0",,"12","12","0","0.5483870967741935","0.15710354048703434"
"eine_dame","Eine Dame","FEMALE","false","1","1","0",,"6","6","0","0.5483870967741935","0.08433073925266608"
"conti","Conti","MALE","false","3","11","154","Q510336","6","14","0","0.5483870967741935","0.05657821554118429"
"koenigin","Königin","FEMALE","false","3","23","621","Q231674","6","14","0","0.5483870967741935","0.05657821554118429"
"diener_4-1_und_4-2","Diener (IV/1–2)","MALE","false","2","4","26",,"6","9","0","0.5483870967741935","0.05657821554118429"
"stimme_gardist","Stimme (Gardist)","MALE","false","1","1","1",,"4","4","0","0.4857142857142857","0.043224666132368195"
"stimme_posten","Stimme (Posten)","MALE","false","1","1","2",,"4","4","0","0.4857142857142857","0.043224666132368195"
"drei_hofdamen","Drei Hofdamen","FEMALE","true","3","1","3",,"16","28","0.020710671780190495","0.6538461538461539","0.19254810490316157"
"ein_kavalier","Ein Kavalier","MALE","false","1","1","0",,"11","11","0","0.5396825396825397","0.1484413730547836"
"zwei_gardisten","Zwei Gardisten","MALE","true","1","1","0",,"5","5","0","0.5396825396825397","0.07106239110228503"
