id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"kleon","Kleon","MALE","false","7","32","1109",,"8","18","0.021703296703296703","0.7222222222222222","0.2840546983696904"
"lysikrates","Lysikrates","MALE","false","6","20","529",,"5","10","0.006837606837606838","0.5652173913043478","0.16978114273611472"
"epizelus","Epizelus","MALE","false","2","8","268",,"8","8","0.04597069597069597","0.7222222222222222","0.2815326151998508"
"xanthippus","Xanthippus","MALE","false","6","17","1654",,"8","18","0.02341269841269841","0.7222222222222222","0.2850188789636134"
"miltiades","Miltiades","MALE","false","12","60","3731",,"12","28","0.25616605616605614","0.9285714285714286","0.36776943302073406"
"ein_krieger","Ein Krieger","MALE","false","1","1","7",,"2","2","0","0.52","0.05562622300946507"
"elpinice","Elpinice","FEMALE","false","3","10","542",,"3","6","0.00641025641025641","0.5416666666666666","0.08538578639486259"
"cimon","Cimon","MALE","false","5","16","476",,"8","14","0.0496031746031746","0.7222222222222222","0.2721940436796722"
"aristides","Aristides","MALE","false","9","27","906",,"10","26","0.03547008547008547","0.8125","0.35235218917113087"
"themistokles","Themistokles","MALE","false","5","16","1520",,"8","16","0.020085470085470084","0.7222222222222222","0.2903514173456806"
"demosthenes","Demosthenes","MALE","false","6","15","757",,"8","16","0.03144078144078145","0.7222222222222222","0.2830337410218546"
"aeschylus","Aeschylus","MALE","false","3","5","140",,"7","8","0.018070818070818073","0.6842105263157895","0.24947764196967898"
"chor_hemichor","Chor/Hemichor","UNKNOWN","true","3","6","95",,"9","14","0.02329059829059829","0.7647058823529411","0.32507637547242874"
"philippus","Philippus","MALE","false","1","4","21",,"6","6","0","0.65","0.23191399607726662"
