id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"ein_zeitungsausrufer_v-1a","Ein Zeitungsausrufer (Vorspiel/1)","MALE","false","1","1","7",,"33","33","0","0.11421911421911422","0"
"ein_korsobesucher_v-1","Ein Korsobesucher (Vorspiel/1)","MALE","false","1","1","3",,"33","33","0","0.11421911421911422","0"
"frau_des_korsobesuchers_v-1","Frau des Korsobesuchers (Vorspiel/1)","FEMALE","false","1","1","3",,"33","33","0","0.11421911421911422","0"
"zweiter_zeitungsausrufer_v-1","Zweiter Zeitungsausrufer (Vorspiel/1)","MALE","false","1","1","12",,"33","33","0","0.11421911421911422","0"
"erster_offizier_sirk-ecke","Erster Offizier Sirk-Ecke","MALE","false","6","34","462",,"158","193","0.0037798431067134126","0.17616846430405753","0"
"zweiter_offizier_sirk-ecke","Zweiter Offizier Sirk-Ecke","MALE","false","6","37","405",,"158","193","0.0037798431067134126","0.17616846430405753","0"
"dritter_offizier_sirk-ecke","Dritter Offizier Sirk-Ecke","MALE","false","6","29","201",,"158","193","0.0037798431067134126","0.17616846430405753","0"
"vierter_offizier_sirk-ecke","Vierter Offizier Sirk-Ecke","MALE","false","6","23","285",,"158","193","0.0037798431067134126","0.17616846430405753","0"
"ein_zeitungsausrufer_v-1b","Ein Zeitungsausrufer (Vorspiel/1)","MALE","false","1","1","7",,"33","33","0","0.11421911421911422","0"
"der_agent_v-1","Der Agent (Vorspiel/1)","MALE","false","1","4","64",,"33","33","0","0.11421911421911422","0"
"ein_zweiter_agent_v-1","Ein zweiter Agent (Vorspiel/1)","MALE","false","1","2","17",,"33","33","0","0.11421911421911422","0"
"fischl_v-1","Fischl (Vorspiel/1)","MALE","false","1","2","7",,"33","33","0","0.11421911421911422","0"
"ein_wiener_v-1","Ein Wiener (Vorspiel/1)","MALE","false","1","2","20",,"33","33","0","0.11421911421911422","0"
"frau_des_wieners_v-1","Frau des Wieners (Vorspiel/1)","FEMALE","false","1","1","3",,"33","33","0","0.11421911421911422","0"
"ein_alter_abonnent_der_neuen_freien_presse","Ein alter Abonnent der Neuen Freien Presse","MALE","false","4","9","190",,"116","138","0.0012412850852580163","0.14795643265394154","0"
"der_aelteste_abonnent","Der älteste Abonnent","MALE","false","4","8","208",,"116","138","0.0012412850852580163","0.14795643265394154","0"
"einige_betrunkene_v-1","Einige Betrunkene (Vorspiel/1)","MALE","true","1","1","12",,"33","33","0","0.11421911421911422","0"
"vier_burschen_und_vier_maedchen","Vier Burschen und vier Mädchen Arm in Arm","UNKNOWN","true","2","2","22",,"100","109","0.00037708770103136264","0.1399857157432915","0"
"die_menge_v-1","Die Menge (Vorspiel/1)","UNKNOWN","true","1","1","3",,"33","33","0","0.11421911421911422","0"
"fraeulein_loewenstamm","Fräulein Löwenstamm","FEMALE","false","5","9","97",,"153","174","0.007008869735227877","0.17039244908097367","0"
"fraeulein_koermendy","Fräulein Körmendy","FEMALE","false","5","9","82",,"153","174","0.007008869735227877","0.17039244908097367","0"
"ein_zeitungsausrufer_v-1c","Ein Zeitungsausrufer (Vorspiel/1)","MALE","false","1","1","4",,"33","33","0","0.11421911421911422","0"
"ein_gebildeter_v-1","Ein Gebildeter (Vorspiel/1)","MALE","false","1","4","67",,"33","33","0","0.11421911421911422","0"
"frau_des_gebildeten_v-1","Frau des Gebildeten (Vorspiel/1)","FEMALE","false","1","3","48",,"33","33","0","0.11421911421911422","0"
"poldi_fesch","Poldi Fesch","MALE","false","6","10","195",,"158","193","0.0037798431067134126","0.17616846430405753","0"
"ein_wachmann_v-1","Ein Wachmann (Vorspiel/1)","MALE","false","1","2","8",,"33","33","0","0.11421911421911422","0"
"ein_zeitungsausrufer_v-1d","Ein Zeitungsausrufer (Vorspiel/1)","MALE","false","1","1","7",,"33","33","0","0.11421911421911422","0"
"ein_kleinbuerger_v-1","Ein Kleinbürger (Vorspiel/1)","MALE","false","1","5","185",,"33","33","0","0.11421911421911422","0"
"zweiter_kleinbuerger_v-1","Zweiter Kleinbürger (Vorspiel/1)","MALE","false","1","2","9",,"33","33","0","0.11421911421911422","0"
"ein_zeitungsausrufer_v-1e","Ein Zeitungsausrufer (Vorspiel/1)","MALE","false","1","2","3",,"33","33","0","0.11421911421911422","0"
"ein_reporter_v-1","Ein Reporter (Vorspiel/1)","MALE","false","1","1","75",,"33","33","0","0.11421911421911422","0"
"zweiter_reporter_v-1","Zweiter Reporter (Vorspiel/1)","MALE","false","1","1","46",,"33","33","0","0.11421911421911422","0"
"ein_zeitungsausrufer_v-1f","Ein Zeitungsausrufer (Vorspiel/1)","MALE","false","1","1","9",,"33","33","0","0.11421911421911422","0"
"der_fiaker_v-1","Der Fiaker (Vorspiel/1)","MALE","false","1","1","7",,"33","33","0","0.11421911421911422","0"
"der_zahlkellner_eduard_v-2_und_1-10","Der Zahlkellner Eduard (Vorspiel/2 und I/10)","MALE","false","2","11","98",,"11","12","0.0014187690244028273","0.06806009259996991","0"
"der_prokurist_v-2","Der Prokurist (Vorspiel/2)","MALE","false","1","5","29",,"6","6","0","0.054559648002270957","0"
"der_fremde_v-2","Der Fremde (Vorspiel/2)","MALE","false","1","4","36",,"6","6","0","0.054559648002270957","0"
"der_kellner_franz_v-2","Der Kellner Franz (Vorspiel/2)","MALE","false","1","3","62",,"6","6","0","0.054559648002270957","0"
"der_ministerpraesident_v-2_und_1-10","Der Ministerpräsident (Vorspiel/2 und I/10)","MALE","false","2","7","124",,"11","12","0.0014187690244028273","0.06806009259996991","0"
"der_minister_des_innern_v-2","Der Minister des Innern (Vorspiel/2)","MALE","false","1","3","8",,"6","6","0","0.054559648002270957","0"
"der_direktor_der_kabinettskanzlei_v-2","Der Direktor der Kabinettskanzlei (Vorspiel/2)","MALE","false","1","1","5",,"6","6","0","0.054559648002270957","0"
"nepalleck","Nepalleck","MALE","false","8","40","1977",,"33","36","0.002416206641558753","0.09361852399827084","0"
"diener_v-4_und_v-8","Diener (Vorspiel/4 und 8)","MALE","false","2","4","29",,"2","3","0","0.06955357425576862","0"
"ein_alter_kammerdiener_v-5_und_v-6","Ein alter Kammerdiener (Vorspiel/5 und 6)","MALE","false","2","7","104",,"2","2","0","0.06955357425576862","0"
"montenuovo_v-6_und_v-7","Montenuovo (Vorspiel/6 und 7)","MALE","false","2","5","67",,"2","2","0","0.06955357425576862","0"
"fuerst_welkersheim_v-8","Fürst Welkersheim (Vorspiel/8)","MALE","false","1","3","41",,"2","2","0","0.06955357425576862","0"
"angelo_eisner_von_eisenhof","Angelo Eisner v. Eisenhof","MALE","false","3","25","780",,"42","62","0.0007715958335574016","0.09577377059391448","0"
"zawadil_v-10_und_5-52","Zawadil (Vorspiel/10 und V/52)","MALE","false","2","2","34",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"spielvogel_v-10_und_5-52","Spielvogel (Vorspiel/10 und V/52)","MALE","false","2","2","34",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"hofrat_schwarz-gelber","Hofrat Schwarz-Gelber","MALE","false","3","38","1132",,"38","57","0.0004659546828458271","0.09522570895961455","0"
"hofraetin_schwarz-gelber","Hofrätin Schwarz-Gelber","FEMALE","false","4","41","1947",,"47","66","0.005880629272363309","0.09703027778829529","0"
"dobner_von_dobenau_v-10_und_5-52","Dobner v. Dobenau (Vorspiel/10 und V/52)","MALE","false","2","4","38",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"conte_lippay_v-10","Conte Lippay (Vorspiel/10)","MALE","false","1","2","83",,"25","25","0","0.09257687143639856","0"
"cafetier_riedl_v-10_und_1-17_und_5-52","Cafetier Riedl (Vorspiel/10, I/17 und V/52)","MALE","false","3","13","391",,"42","60","0.0027547457040312156","0.09577377059391448","0"
"dr_charas_v-10_und_5-52","Dr. Charas (Vorspiel/10 und V/52)","MALE","false","2","2","42",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"hofrat_stukart_v-10_und_5-52","Hofrat Stukart (Vorspiel/10 und V/52)","MALE","false","2","2","278",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"sektionschef_wilhelm_exner_v-10_und_5-52","Sektionschef Wilhelm Exner (Vorspiel/10 und V/52)","MALE","false","2","2","15",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"gouverneur_sieghart_v-10_und_5-52","Gouverneur Sieghart von der Bodenkreditanstalt (Vorspiel/10 und
              V/52)","MALE","false","2","2","33",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"praesident_landesberger_von_der_anglobank_v-10_und_5-52","Präsident Landesberger von der Anglobank (Vorspiel/10 und V/52)","MALE","false","2","2","42",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"herzberg-fraenkel_v-10","Herzberg-Fränkel (Vorspiel/10)","MALE","false","1","1","24",,"25","25","0","0.09257687143639856","0"
"der_freisinnige_gemeinderat_stein_v-10","Der freisinnige Gemeinderat Stein (Vorspiel/10)","MALE","false","1","0","20",,"25","25","0","0.09257687143639856","0"
"der_freisinnige_gemeinderat_hein_v-10","Der freisinnige Gemeinderat Hein (Vorspiel/10)","MALE","false","1","0","20",,"25","25","0","0.09257687143639856","0"
"zwei_konsuln_v-10_und_5-52","Zwei Konsuln Stiaßny (Vorspiel/10 und V/52)","MALE","true","2","2","24",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"drei_kaiserliche_raete_v-10_und_5-52","Drei kaiserliche Räte (Vorspiel/10 und V/52)","MALE","false","2","2","59",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"sukfuell_v-10_und_5-52","Sukfüll (Vorspiel/10 und V/52)","MALE","false","2","2","138",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"birinski_v-10_und_5-52","Birinski (Vorspiel/10 und V/52)","MALE","false","2","0","40",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"gluecksmann_v-10_und_5-52","Glücksmann (Vorspiel/10 und V/52)","MALE","false","2","0","40",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"der_buchhaendler_hugo_heller_v-10_und_5-52","Der Buchhändler Hugo Heller (Vorspiel/10 und V/52)","MALE","false","2","2","58",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"flora_dub_v-10_und_5-52","Flora Dub (Vorspiel/10 und V/52)","FEMALE","false","2","2","45",,"38","56","0.0004659546828458271","0.09522570895961455","0"
"der_noergler","Der Nörgler","MALE","false","34","456","29491",,"57","82","0.03848938692017786","0.12418427343800478","0"
"der_redakteur_v-10","Der Redakteur (Vorspiel/10)","MALE","false","1","2","12",,"25","25","0","0.09257687143639856","0"
"ein_zeitungsausrufer_1-1a","Ein Zeitungsausrufer (I/1)","MALE","false","1","1","1",,"76","76","0","0.1295194940054753","0"
"zweiter_zeitungsausrufer_1-1","Zweiter Zeitungsausrufer (I/1)","MALE","false","1","1","3",,"76","76","0","0.1295194940054753","0"
"ein_demonstrant_1-1","Ein Demonstrant (I/1)","MALE","false","1","2","18",,"76","76","0","0.1295194940054753","0"
"ein_gebildeter_1-1","Ein Gebildeter (I/1)","MALE","false","1","1","5",,"76","76","0","0.1295194940054753","0"
"der_puelcher_1-1a","Der Pülcher (I/1)","MALE","false","1","3","36",,"76","76","0","0.1295194940054753","0"
"die_prostituierte_1-1","Die Prostituierte (I/1)","FEMALE","false","1","2","10",,"76","76","0","0.1295194940054753","0"
"ein_passant_1-1a","Ein Passant (I/1)","MALE","false","1","1","9",,"76","76","0","0.1295194940054753","0"
"die_menge_1-1","Die Menge (I/1)","UNKNOWN","true","1","19","210",,"76","76","0","0.1295194940054753","0"
"ein_zweiter_passant_1-1a","Ein zweiter Passant (I/1)","MALE","false","1","1","13",,"76","76","0","0.1295194940054753","0"
"der_erste_reporter_1-1","Der erste Reporter (I/1)","MALE","false","1","17","803",,"76","76","0","0.1295194940054753","0"
"der_zweite_reporter_1-1","Der zweite Reporter (I/1)","MALE","false","1","12","303",,"76","76","0","0.1295194940054753","0"
"ein_armeelieferant_1-1_und_3-1","Ein Armeelieferant (I/1 und III/1)","MALE","false","2","7","60",,"85","95","0.00018035741467239527","0.13325563325563325","0"
"der_zweite_armeelieferant_1-1_und_3-1","Der zweite Armeelieferant (I/1 und III/1)","MALE","false","2","5","69",,"85","95","0.00018035741467239527","0.13325563325563325","0"
"ein_passant_1-1b","Ein Passant (I/1)","MALE","false","1","1","5",,"76","76","0","0.1295194940054753","0"
"ein_anderer_passant_1-1b","Ein anderer Passant (I/1)","MALE","false","1","1","26",,"76","76","0","0.1295194940054753","0"
"ein_zeitungsausrufer_1-1b","Ein Zeitungsausrufer (I/1)","MALE","false","1","1","5",,"76","76","0","0.1295194940054753","0"
"ein_wiener_1-1","Ein Wiener (I/1)","MALE","false","1","1","207",,"76","76","0","0.1295194940054753","0"
"einer_aus_der_menge_1-1a","Einer aus der Menge (I/1)","MALE","false","1","1","4",,"76","76","0","0.1295194940054753","0"
"ein_anderer_1-1a","Ein anderer (I/1)","MALE","false","1","2","6",,"76","76","0","0.1295194940054753","0"
"ein_dritter_1-1a","Ein dritter (I/1)","MALE","false","1","3","11",,"76","76","0","0.1295194940054753","0"
"ein_vierter_1-1a","Ein vierter (I/1)","MALE","false","1","3","6",,"76","76","0","0.1295194940054753","0"
"ein_bettelbub_1-1","Ein Bettelbub (I/1)","MALE","false","1","1","3",,"76","76","0","0.1295194940054753","0"
"ein_maedchen_1-1","Ein Mädchen (I/1)","FEMALE","false","1","1","17",,"76","76","0","0.1295194940054753","0"
"eine_stimme_1-1a","Eine Stimme (I/1)","MALE","false","1","1","5",,"76","76","0","0.1295194940054753","0"
"ein_anderes_maedchen_1-1","Ein anderes Mädchen (I/1)","FEMALE","false","1","1","15",,"76","76","0","0.1295194940054753","0"
"ein_wachmann_1-1","Ein Wachmann (I/1)","MALE","false","1","1","4",,"76","76","0","0.1295194940054753","0"
"ein_intellektueller_1-1","Ein Intellektueller (I/1)","MALE","false","1","3","86",,"76","76","0","0.1295194940054753","0"
"die_freundin_des_intellektuellen_1-1","Die Freundin des Intellektuellen (I/1)","FEMALE","false","1","2","17",,"76","76","0","0.1295194940054753","0"
"der_fahrgast_1-1","Der Fahrgast (I/1)","MALE","false","1","4","17",,"76","76","0","0.1295194940054753","0"
"der_fiaker_1-1","Der Fiaker (I/1)","MALE","false","1","6","40",,"76","76","0","0.1295194940054753","0"
"ein_hausmeister_1-1","Ein Hausmeister (I/1)","MALE","false","1","2","21",,"76","76","0","0.1295194940054753","0"
"ein_amerikaner_vom_roten_kreuz_1-1","Ein Amerikaner vom Roten Kreuz (I/1)","MALE","false","1","1","8",,"76","76","0","0.1295194940054753","0"
