id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"elvira","Elvira","FEMALE","false","15","215","3704",,"14","31","0.08558872667915227","0.5","0.02448514026908337"
"valverde","Valverde","MALE","false","6","58","637",,"11","20","0.013312391902817435","0.43243243243243246","0.012917279249302072"
"pizarro","Pizarro","MALE","false","14","206","2542",,"18","33","0.13980509246466702","0.5274725274725275","0.029271712070004525"
"diego","Diego","MALE","false","1","21","171",,"4","4","0","0.3582089552238806","0.005470727318822643"
"die_wache_1-3","Die Wache (I/3)","MALE","false","1","1","6",,"4","4","0","0.3582089552238806","0.005470727318822643"
"las_casas","Las Casas","MALE","false","4","31","595",,"11","16","0.11528238310153198","0.5647058823529412","0.05105386143454009"
"almagro","Almagro","MALE","false","2","18","135",,"9","12","0.00612239415430905","0.4247787610619469","0.012146047094448961"
"gonzalo","Gonzalo","MALE","false","1","4","21",,"6","6","0","0.41379310344827586","0.010656180778173324"
"alle_1-4","Alle (I/4)","MALE","true","1","2","6",,"6","6","0","0.41379310344827586","0.010656180778173322"
"gomez","Gomez","MALE","false","1","1","37",,"6","6","0","0.36363636363636365","0.007045490810554055"
"der_alte_cazike","Der alte Cazike","MALE","false","1","24","224",,"6","6","0","0.36363636363636365","0.007045490810554055"
"davila","Davila","MALE","false","1","8","44",,"6","6","0","0.36363636363636365","0.007045490810554055"
"cora","Cora","FEMALE","false","13","141","1978",,"23","43","0.3058994197292069","0.6153846153846154","0.29506919396885906"
"alonzo","Alonzo","MALE","false","17","207","2227",,"12","32","0.06366674598057577","0.5714285714285714","0.05842738724914095"
"rolla","Rolla","MALE","false","19","234","2052",,"24","48","0.32580318125530877","0.6666666666666666","0.09240644969908503"
"ataliba","Ataliba","MALE","false","12","110","1147",,"18","36","0.1313435776201734","0.5783132530120482","0.08328151426325338"
"chor_der_priester","Chor der Priester","MALE","true","1","2","19",,"5","5","0","0.48","0.043416888331890086"
"das_volk_2-3","Das Volk (II/3)","UNKNOWN","true","1","3","78",,"5","5","0","0.48","0.043416888331890086"
"ein_indianer_2-4","Ein Indianer (II/4)","MALE","false","1","2","14",,"4","4","0","0.4752475247524752","0.040124830014737614"
"greis","Greis","MALE","false","4","58","706",,"9","14","0.008165878644602049","0.44036697247706424","0.02286017057457896"
"knabe","Knabe","MALE","false","2","36","209",,"6","7","0","0.42857142857142855","0.019738765394058312"
"ein_soldat_2-6","Ein Soldat (II/6)","MALE","false","1","2","7",,"2","2","0","0.37209302325581395","0.008048200176136744"
"die_indianer_viele_stimmen_das_volk_2-7_und_2-8","Die Indianer/Viele Stimmen/Das Volk (II/7–8)","UNKNOWN","true","2","3","16",,"8","11","0.0013297872340425532","0.43636363636363634","0.022292920767378436"
"ein_indianer_2-7a","Ein Indianer (II/7)","MALE","false","1","9","203",,"6","6","0","0.42857142857142855","0.01973876539405831"
"ein_indianer_2-7b","Ein Indianer (II/7)","MALE","false","1","6","29",,"6","6","0","0.42857142857142855","0.01973876539405831"
"ein_indianer_2-8","Ein Indianer (II/8)","MALE","false","1","3","13",,"5","5","0","0.4247787610619469","0.018119238229787435"
"ein_anderer_2-8","Ein Anderer (II/8)","MALE","false","1","3","14",,"5","5","0","0.4247787610619469","0.018119238229787435"
"eines_der_weiber_3-1a","Eines der Weiber (III/1)","FEMALE","false","1","1","4",,"13","13","0","0.4247787610619469","0.2586561377387187"
"xuliqua","Xuliqua","FEMALE","false","1","4","38",,"13","13","0","0.4247787610619469","0.2586561377387187"
"das_erste_weib_3-1","Das erste Weib (III/1)","FEMALE","false","1","5","30",,"13","13","0","0.4247787610619469","0.2586561377387187"
"das_zweite_weib_3-1","Das zweite Weib (III/1)","FEMALE","false","1","2","17",,"13","13","0","0.4247787610619469","0.2586561377387187"
"das_dritte_weib_3-1","Das dritte Weib (III/1)","FEMALE","false","1","2","14",,"13","13","0","0.4247787610619469","0.2586561377387187"
"die_weiber_3-1_und_3-2","Die Weiber (III/1–2)","FEMALE","true","2","19","110",,"15","16","0.09285944551901996","0.5333333333333333","0.27103873542442414"
