id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"alma","Alma","FEMALE","false","13","112","1971",,"6","20","0.011111111111111112","0.7142857142857143","0.3491574788236368"
"caled","Caled","MALE","false","10","70","1471",,"7","19","0.04814814814814815","0.7692307692307693","0.380359853063388"
"nurraddin","Nurraddin","MALE","false","10","78","1636",,"5","15","0","0.6666666666666666","0.29882390560192695"
"chor_schluss-chor","Chor/Schluß-Chor","UNKNOWN","true","3","4","257",,"6","8","0.011111111111111112","0.7142857142857143","0.3491574788236368"
"wampum","Wampum","MALE","false","18","157","3944",,"10","31","0.33333333333333337","1","0.4409830902879503"
"hussein","Hussein","MALE","false","9","62","795",,"8","17","0.16666666666666669","0.8333333333333334","0.3566348174960325"
"arzt","Arzt","MALE","false","2","35","429",,"2","3","0","0.5555555555555556","0.1310700705970334"
"kaemmerling","Kämmerling","MALE","false","2","5","51",,"2","3","0","0.5555555555555556","0.1310700705970334"
"erste_schildwache","Erste Schildwache","MALE","false","5","22","293",,"4","9","0.007407407407407408","0.625","0.22108166857196238"
"zweite_schildwache","Zweite Schildwache","MALE","false","4","17","277",,"3","7","0","0.5882352941176471","0.1673999075887966"
"genius","Genius","UNKNOWN","false","4","15","419",,"5","8","0","0.6666666666666666","0.29882390560192695"
