id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"frau_von_langsalm","Frau von Langsalm","FEMALE","false","25","246","2937",,"8","61","0.10416666666666666","0.9","0.38694262070716523"
"doris","Doris","FEMALE","false","15","142","1440",,"7","46","0.020833333333333332","0.8181818181818182","0.37084705761146386"
"selicour","Selicour","MALE","false","13","158","1395",,"6","34","0","0.75","0.3394859961885456"
"herr_von_langsalm","Herr von Langsalm","MALE","false","18","182","1992",,"6","40","0","0.75","0.3394859961885456"
"fritz","Fritz","MALE","false","37","382","4867",,"9","70","0.3263888888888889","1","0.3950741040314318"
"frau_krick","Frau Krick","FEMALE","false","1","5","82",,"2","2","0","0.5625","0.12052764368262005"
"babet","Babet","FEMALE","false","11","111","944",,"6","29","0","0.75","0.3394859961885456"
"major","Major","MALE","false","12","111","1119",,"7","31","0.020833333333333332","0.8181818181818182","0.3708470576114639"
"lafleur","Lafleur","MALE","false","1","4","11",,"1","1","0","0.5294117647058824","0.06089048526928758"
"der_nachtwaechter","Der Nachtwächter","MALE","false","1","7","149",,"4","4","0","0.6428571428571429","0.23484035303471548"
