id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"werner_wahrsagerin","Werner/Wahrsagerin","MALE","false","8","122","2551",,"8","22","0.08333333333333333","0.9","0.3128446935660038"
"ehlert","Ehlert","MALE","false","8","90","790",,"8","30","0.003968253968253968","0.9","0.3374856836327151"
"rothmann","Rothmann","MALE","false","10","75","897",,"8","37","0.003968253968253968","0.9","0.33748568363271514"
"ahlfeld","Ahlfeld","MALE","false","10","104","2216",,"9","37","0.11507936507936506","1","0.34698288326840554"
"walther","Walther","MALE","false","3","9","47",,"8","12","0.003968253968253968","0.9","0.33748568363271503"
"julie","Julie","FEMALE","false","11","63","432",,"8","43","0.003968253968253968","0.9","0.33748568363271514"
"dornberg","Dornberg","MALE","false","9","63","510",,"8","41","0.003968253968253968","0.9","0.33748568363271514"
"berger","Berger","MALE","false","4","9","68",,"7","19","0","0.8181818181818182","0.3021373470679083"
"wagemann","Wagemann","MALE","false","7","25","228",,"8","35","0.003968253968253968","0.9","0.33748568363271514"
"baeckerknecht","Bäckerknecht","MALE","false","1","9","133",,"2","2","0","0.5625","0.08405105585807603"
