id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"laeufer","Läufer","MALE","false","2","38","391",,"5","5","0.0915897435897436","0.5098039215686274","0.10981835143680858"
"suschen","Suschen","FEMALE","false","1","23","312",,"4","4","0","0.4126984126984127","0.07548750554857628"
"erster_schoener_geist","Erster schöner Geist","MALE","false","2","15","267",,"10","11","0.039333333333333324","0.49056603773584906","0.1847737668909381"
"zweiter_schoener_geist","Zweiter schöner Geist","MALE","false","2","9","112",,"10","11","0.039333333333333324","0.49056603773584906","0.1847737668909381"
"magister","Magister","MALE","false","2","20","919",,"6","6","0.03353846153846153","0.5","0.13570843471291766"
"von_brand","von Brand","MALE","false","10","68","1401",,"10","17","0.15687179487179484","0.6190476190476191","0.299567681145864"
"blum","Blum","MALE","false","9","84","1491",,"12","19","0.3256410256410256","0.6190476190476191","0.25133885742829853"
"franz","Franz","MALE","false","11","128","3082",,"13","22","0.23343589743589746","0.5652173913043478","0.31406335343935127"
"gesandter","Gesandter","MALE","false","7","54","656",,"9","19","0.009846153846153845","0.49056603773584906","0.2771944884393873"
"gorg","Gorg","MALE","false","2","6","46",,"7","10","0","0.4727272727272727","0.24459456250346526"
"fraenzchen","Fränzchen","MALE","false","4","18","282",,"9","15","0.00892307692307692","0.49056603773584906","0.2792050135398232"
"louise","Louise","FEMALE","false","2","23","613",,"4","5","0.0006153846153846154","0.4406779661016949","0.13198134549290647"
"gesandtin","Gesandtin","FEMALE","false","10","80","1412",,"12","22","0.2171794871794872","0.6341463414634146","0.3337705685031484"
"malchen","Malchen","FEMALE","false","2","9","69",,"5","6","0.0015384615384615385","0.4482758620689655","0.150373925807846"
"geheimderat","Geheimderat","MALE","false","2","25","888",,"7","9","0","0.4727272727272727","0.24459456250346526"
"eins_der_kinder","Eins der Kinder","UNKNOWN","false","1","1","4",,"7","7","0","0.4727272727272727","0.24459456250346526"
"sophchen","Sophchen","FEMALE","false","1","6","52",,"7","7","0","0.4406779661016949","0.14968274422482641"
"lieschen","Lieschen","FEMALE","false","1","4","23",,"7","7","0","0.4406779661016949","0.14968274422482641"
"betchen","Betchen","FEMALE","false","1","2","23",,"7","7","0","0.4406779661016949","0.14968274422482641"
"magd","Magd","FEMALE","false","1","1","8",,"7","7","0","0.4406779661016949","0.14968274422482641"
"unbekannter","Unbekannter","MALE","false","1","3","14",,"7","7","0","0.4406779661016949","0.14968274422482641"
"louis","Louis","MALE","false","6","52","1428",,"5","8","0.09692307692307692","0.5098039215686274","0.11585022349913768"
"bedienter","Bedienter","MALE","false","1","2","11",,"2","2","0","0.4","0.045064568301661494"
"julie","Julie","FEMALE","false","3","38","817",,"1","2","0","0.36619718309859156","0.03854417952117517"
"hofmeister","Hofmeister","MALE","false","1","13","202",,"1","1","0","0.34210526315789475","0.014218058199500509"
"doktor","Doktor","MALE","false","1","9","132",,"1","1","0","0.36619718309859156","0.03854417952117517"
"kinder","Kinder","UNKNOWN","true","2","2","3",,"5","5","0.0006153846153846154","0.4482758620689655","0.16624743846581744"
