id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"elisinde","Elisinde","FEMALE","false","21","67","3896",,"8","44","0.16898148148148145","0.9","0.40769622090487734"
"philaide","Philaide","FEMALE","false","14","42","1703",,"6","31","0.013888888888888888","0.75","0.3529422842097212"
"codrus","Codrus","MALE","false","22","53","3627","Q1052888","8","43","0.18287037037037035","0.9","0.4062298257692683"
"nileus","Nileus","MALE","false","7","15","395",,"5","10","0.05092592592592592","0.6923076923076923","0.2660896171646727"
"ein_soldat","Ein Soldat","MALE","false","1","1","16",,"2","2","0","0.5294117647058824","0.11073334021914524"
"medon","Medon","MALE","false","13","60","3604",,"6","27","0.0648148148148148","0.75","0.32759599049682187"
"eine_wache","Eine Wache","MALE","false","1","1","3",,"2","2","0","0.5294117647058824","0.12110449374683639"
"artander","Artander","MALE","false","15","44","1907",,"7","29","0.039351851851851846","0.8181818181818182","0.3905706814087213"
"cleanth","Cleanth","MALE","false","2","2","185",,"5","7","0.006944444444444444","0.6923076923076923","0.30034066926965414"
"licas","Licas","MALE","false","3","4","209",,"5","11","0","0.6923076923076923","0.3104704510006659"
