id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"wespe","Doctor Alfred Wespe","MALE","false","15","150","3760",,"9","29","0.012294372294372295","0.8461538461538461","0.33476556301447286"
"honau","Ludwig Honau","MALE","false","16","227","3244",,"8","39","0.002597402597402597","0.7857142857142857","0.30931828505246817"
"adam","Adam","MALE","false","16","60","905",,"8","30","0.00606060606060606","0.7857142857142857","0.305205921795643"
"zuendorf","Herr von Zündorf","MALE","false","17","200","2646",,"9","46","0.012294372294372295","0.8461538461538461","0.33476556301447286"
"wellstein","Wellstein","MALE","false","11","126","1798",,"9","32","0.07532467532467531","0.8461538461538461","0.3177629847694151"
"thekla","Thekla","FEMALE","false","18","174","1850",,"10","50","0.1032034632034632","0.9166666666666666","0.34321026273141986"
"theudelinde","Theudelinde","FEMALE","false","11","125","2419",,"10","31","0.1941125541125541","0.9166666666666666","0.3390978994745947"
"elisabeth","Elisabeth","FEMALE","false","20","199","2636",,"9","48","0.012294372294372295","0.8461538461538461","0.33476556301447286"
"friederike","Friederike","FEMALE","false","4","7","28",,"7","17","0","0.7333333333333333","0.27671521473456273"
"christoph","Christoph","MALE","false","7","78","794",,"6","13","0","0.6875","0.23821898688601936"
"schreier","Schreier","MALE","false","1","8","50",,"2","2","0","0.5238095238095238","0.07905211618239993"
"johanne","Johanne","FEMALE","false","1","4","2",,"1","1","0","0.5","0.04055588833385652"
