id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"jakob","Jakob","MALE","false","22","191","2567",,"15","36","0.4641269841269841","1","0.41719829205804976"
"rachel","Rachel","FEMALE","false","4","8","70",,"7","15","0.00380952380952381","0.6521739130434783","0.29116060322372106"
"abraham_hirsch","Abraham Hirsch","MALE","false","4","40","781",,"7","15","0.00380952380952381","0.6521739130434783","0.29116060322372106"
"lydie","Lydie","FEMALE","false","5","42","557",,"8","16","0.021269841269841272","0.6818181818181818","0.30779308033647085"
"kapellmeister","Kapellmeister","MALE","false","2","15","90",,"5","7","0","0.6","0.20845021474022038"
"herr_polckwitzer","Herr Polckwitzer","MALE","false","3","64","919",,"7","12","0.00380952380952381","0.6521739130434783","0.29116060322372106"
"isidorus_morgenlaender","Isidorus Morgenländer","MALE","false","2","29","632",,"1","2","0","0.5172413793103449","0.05440538967763217"
"kirchendiener","Kirchendiener","MALE","false","1","6","176",,"1","1","0","0.5172413793103449","0.05440538967763217"
"postillion","Postillion","MALE","false","4","20","179",,"3","6","0","0.5555555555555556","0.1441759277839362"
"loebel_groschenmacher","Löbel Groschenmacher","MALE","false","5","24","458",,"12","16","0.15079365079365079","0.8333333333333334","0.3805984612795062"
"rebecca","Rebecca","FEMALE","false","1","3","34",,"3","3","0","0.5555555555555556","0.11963991512825496"
"die_kinder","Die Kinder","UNKNOWN","true","1","1","8",,"3","3","0","0.5555555555555556","0.11963991512825496"
"erster_jude","Erster Jude","MALE","false","1","4","24",,"5","5","0","0.6","0.20008787511266932"
"zweiter_jude","Zweiter Jude","MALE","false","1","3","15",,"5","5","0","0.6","0.20008787511266934"
"dritter_jude","Dritter Jude","MALE","false","1","3","24",,"5","5","0","0.6","0.20008787511266932"
"alle_eine_menge_juden","Alle (Eine Menge Juden)","UNKNOWN","true","2","6","48",,"9","11","0.03809523809523809","0.7142857142857143","0.33636193385852664"
