id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"gilgenessig","Gilgenessig","MALE","false","1","14","318",,"15","15","0","0.45226130653266333","0.02308844385232423"
"hans_von_lichtenstein","Hans von Lichtenstein","MALE","false","1","13","423",,"15","15","0","0.45226130653266333","0.02308844385232423"
"heinz_von_stein","Heinz von Stein","MALE","false","1","8","176",,"15","15","0","0.45226130653266333","0.02308844385232423"
"wolf_von_hanstein","Wolf von Hanstein","MALE","false","1","21","702",,"15","15","0","0.45226130653266333","0.02308844385232423"
"hans_von_grumbach","Hans von Grumbach","MALE","false","2","4","43",,"43","45","0.047444021303902316","0.656934306569343","0.14004575141762976"
"wolf_von_kastell","Wolf von Kastell","MALE","false","3","43","854",,"56","63","0.08405009727569764","0.7258064516129032","0.16163282068805257"
"erster_ritter","Erster Ritter","MALE","false","1","4","41",,"15","15","0","0.45226130653266333","0.02308844385232423"
"stimmen_mehrzahl_rufe_geschrei_die_ritter_vorspiel","Stimmen/Rufe/Geschrei/Die Ritter (Vorspiel)","MALE","true","1","6","23",,"15","15","0","0.45226130653266333","0.02308844385232423"
"zweiter_ritter","Zweiter Ritter","MALE","false","1","4","215",,"15","15","0","0.45226130653266333","0.02308844385232423"
"erster_domherr_vorspiel","Erster Domherr (Vorspiel)","MALE","false","1","1","8",,"15","15","0","0.45226130653266333","0.02308844385232423"
"lorenz_von_hutten","Lorenz von Hutten","MALE","false","2","42","1114",,"31","33","0.026951921675869673","0.6040268456375839","0.06156469991206221"
"sebastian_von_rotenhahn","Sebastian von Rotenhahn","MALE","false","2","26","1029",,"43","45","0.047444021303902316","0.656934306569343","0.14004575141762976"
"bischof_konrad","Bischof Konrad","MALE","false","1","2","622",,"15","15","0","0.45226130653266333","0.02308844385232423"
"kunz_von_der_muehlen","Kunz von der Mühlen","MALE","false","2","10","153",,"31","33","0.026951921675869673","0.6040268456375839","0.06156469991206221"
"sebastian_von_geyer","Sebastian von Geyer","MALE","false","1","5","70",,"15","15","0","0.45226130653266333","0.02308844385232423"
"markgraf_friedrich","Markgraf Friedrich","MALE","false","1","1","77",,"15","15","0","0.45226130653266333","0.02308844385232423"
"der_schultheiss","Der Schultheiß","MALE","false","3","59","870",,"56","71","0.039776014109347446","0.7258064516129032","0.19664389279300057"
"rektor_besenmeyer","Rektor Besenmeyer","MALE","false","4","77","1372",,"66","89","0.06916860343804611","0.7894736842105263","0.2120584963342565"
"loeffelholz","Löffelholz","MALE","false","2","67","2183",,"34","45","0.002405326674989597","0.6164383561643836","0.1364652977482203"
"menzingen","Menzingen","MALE","false","4","93","1174",,"66","89","0.06916860343804611","0.7894736842105263","0.21205849633425647"
"martin","Martin","MALE","false","2","21","404",,"34","45","0.002405326674989597","0.6164383561643836","0.1364652977482203"
"kunzlin","Kunzlin","MALE","false","1","2","4",,"30","30","0","0.6","0.12941260664980708"
