id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"primislaus","Primislaus","MALE","false","10","157","6500","Q1237858","9","29","0.002688172043010753","0.5849056603773585","0.06956047385640962"
"libussa","Libussa","FEMALE","false","10","160","6422","Q610179","31","57","0.10934203789042497","1","0.23813522636605944"
"wlasta","Wlasta","FEMALE","false","8","78","1065",,"29","49","0.08560931899641576","0.9393939393939394","0.2322924728472477"
"dobromila","Dobromila","FEMALE","false","6","31","312",,"12","23","0.0069764464925755245","0.62","0.0788150870254928"
"dobra","Dobra","FEMALE","false","2","17","214",,"9","15","0","0.5849056603773585","0.06357509828559942"
"swartka","Swartka","FEMALE","false","3","12","185",,"10","18","0.0005376344086021505","0.5961538461538461","0.07424913969655318"
"domaslav","Domaslav","MALE","false","7","71","728",,"30","55","0.08335637480798773","0.96875","0.23676568036501666"
"biwoy","Biwoy","MALE","false","7","37","668",,"30","55","0.08335637480798773","0.96875","0.23676568036501666"
"lapak","Lapak","MALE","false","7","67","528",,"30","55","0.08335637480798773","0.96875","0.23676568036501666"
"kascha","Kascha","FEMALE","false","4","44","1129","Q1737493","11","25","0.0014208909370199692","0.6078431372549019","0.07744554102445002"
"tetka","Tetka","FEMALE","false","4","32","509","Q2406596","11","25","0.0014208909370199692","0.6078431372549019","0.07744554102445002"
"die_maedchen_die_jungfrauen","Die Mädchen/Die Jungfrauen","FEMALE","true","1","2","6",,"9","9","0","0.5849056603773585","0.06357509828559942"
"das_weib","Das Weib","FEMALE","false","1","2","12",,"20","20","0","0.7380952380952381","0.20490030774677304"
"erster_spieler","Erster Spieler","MALE","false","1","7","59",,"20","20","0","0.7380952380952381","0.20490030774677304"
"zweiter_spieler","Zweiter Spieler","MALE","false","1","3","22",,"20","20","0","0.7380952380952381","0.20490030774677304"
"ein_alter","Ein Alter","MALE","false","1","5","69",,"20","20","0","0.7380952380952381","0.20490030774677304"
"ein_juengerer","Ein Jüngerer","MALE","false","1","1","40",,"20","20","0","0.7380952380952381","0.20490030774677304"
"gewaffneter","Gewaffneter","MALE","false","1","1","4",,"20","20","0","0.7380952380952381","0.20490030774677304"
"mehrere_feldarbeiter","Mehrere Feldarbeiter","MALE","true","1","1","15",,"20","20","0","0.7380952380952381","0.20490030774677304"
"einer_von_denen_am_tische","Einer von denen am Tische","MALE","false","1","5","23",,"20","20","0","0.7380952380952381","0.20490030774677304"
"einer_der_gekommenen","Einer der Gekommenen","MALE","false","1","5","51",,"20","20","0","0.7380952380952381","0.20490030774677304"
"einer_von_ihnen","Einer von ihnen","MALE","false","1","3","16",,"20","20","0","0.7380952380952381","0.20490030774677304"
"schenke","Schenke","MALE","false","1","2","44",,"20","20","0","0.7380952380952381","0.20490030774677304"
"einer_der_sitzenden","Einer der Sitzenden","MALE","false","1","1","14",,"20","20","0","0.7380952380952381","0.20490030774677304"
"ein_alter_von_der_linken_seite_kommend","Ein Alter (von der linken Seite kommend)","MALE","false","1","4","41",,"20","20","0","0.7380952380952381","0.20490030774677304"
"einer_der_zusehenden","Einer der Zusehenden","MALE","false","1","5","111",,"20","20","0","0.7380952380952381","0.20490030774677304"
"das_maedchen","Das Mädchen","FEMALE","false","1","1","2",,"20","20","0","0.7380952380952381","0.20490030774677304"
"weiber_und_kinder","Weiber und Kinder","FEMALE","true","1","1","9",,"20","20","0","0.7380952380952381","0.20490030774677304"
"erster_streitender","Erster Streitender","MALE","false","1","8","54",,"7","7","0","0.5636363636363636","0.06293056693962697"
"zweiter_streitender","Zweiter Streitender","MALE","false","1","1","3",,"7","7","0","0.5636363636363636","0.06293056693962697"
"mehrere","Mehrere","MALE","false","1","0","6",,"7","7","0","0.5636363636363636","0.06293056693962697"
"slawa","Slawa","FEMALE","false","1","4","137",,"4","4","0","0.5344827586206896","0.029804196341348958"
