id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"absyrtus","Absyrtus","MALE","false","6","63","947","Q333658","10","26","0.0436111111111111","0.7272727272727273","0.2114897353104711"
"aietes","Aietes","MALE","false","6","139","1624","Q241971","15","32","0.1213888888888889","0.9411764705882353","0.3396376486062951"
"medea","Medea","FEMALE","false","8","197","3086","Q174278","16","36","0.1686111111111111","1","0.34733419907197044"
"jason","Jason","MALE","false","7","209","4428","Q176758","14","30","0.09222222222222222","0.8888888888888888","0.3263491735956547"
"milo","Milo","MALE","false","5","52","1000",,"13","26","0.05333333333333334","0.8421052631578947","0.3186526231299794"
"eine_jungfrau_1","Eine Jungfrau (Erster Aufzug)","FEMALE","false","1","1","7",,"3","3","0","0.5517241379310345","0.086477364728132"
"gora","Gora","FEMALE","false","3","43","454",,"8","16","0.0125","0.6666666666666666","0.19037286071981338"
"peritta","Peritta","FEMALE","false","1","5","109",,"5","5","0","0.5925925925925926","0.1178919000248514"
"jungfrau_2","Jungfrau (Zweiter Aufzug)","FEMALE","false","1","8","82",,"5","5","0","0.5925925925925926","0.1178919000248514"
"hauptmann","Hauptmann","MALE","false","1","1","12",,"9","9","0","0.6956521739130435","0.254390534032531"
"erster_argonaut","Erster Argonaut","MALE","false","1","4","72",,"9","9","0","0.6956521739130435","0.254390534032531"
"zweiter_argonaut","Zweiter Argonaut","MALE","false","1","3","18",,"9","9","0","0.6956521739130435","0.254390534032531"
"dritter_argonaut","Dritter Argonaut","MALE","false","1","7","535",,"9","9","0","0.6956521739130435","0.254390534032531"
"mehrere_alle_vermischte_stimmen","Mehrere/Alle/Vermischte Stimmen","UNKNOWN","true","1","3","7",,"9","9","0","0.6956521739130435","0.254390534032531"
"kolcher","Kolcher","MALE","false","1","1","3",,"9","9","0","0.6956521739130435","0.254390534032531"
"argonaut","Argonaut","MALE","false","1","2","21",,"5","5","0","0.5925925925925926","0.15078917028692726"
"soldat","Soldat","MALE","false","1","2","56",,"6","6","0","0.6153846153846154","0.16938783524349763"
