id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"medea","Medea","FEMALE","false","5","289","6931","Q174278","10","23","0.05212121212121213","0.9166666666666666","0.3459794220813036"
"sklave","Sklave","MALE","false","1","3","7",,"7","7","0","0.7333333333333333","0.2775179212822563"
"gora","Gora","FEMALE","false","4","99","1886",,"10","20","0.06424242424242424","0.9166666666666666","0.34212292810326533"
"jason","Jason","MALE","false","6","197","4676","Q176758","11","26","0.10363636363636364","1","0.35967381662183956"
"landmann","Landmann","MALE","false","2","6","123",,"7","9","0","0.7333333333333333","0.2775179212822562"
"knabe_aeltere","Knabe/Ältere","MALE","false","2","14","96",,"9","13","0.021818181818181816","0.8461538461538461","0.32842853356272944"
"koenig","König","MALE","false","5","120","1982","Q786573","11","24","0.10363636363636364","1","0.35967381662183956"
"kreusa","Kreusa","FEMALE","false","3","72","1055","Q269058","8","15","0.01818181818181818","0.7857142857142857","0.29506880980083044"
"herold","Herold","MALE","false","1","7","470",,"4","4","0","0.6111111111111112","0.16354339348525923"
"sklavin","Sklavin","FEMALE","false","1","1","13",,"6","6","0","0.6875","0.23719849544636243"
"kleine_kleinere","Kleine/Kleinere","MALE","false","1","2","3",,"6","6","0","0.6875","0.23719849544636243"
"magd","Magd","FEMALE","false","1","2","15",,"3","3","0","0.5789473684210527","0.12760737187909948"
