id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"galdino","Galdino","MALE","false","2","11","314",,"25","30","0.005118467464958694","0.5625","0.11251295722966627"
"alberto","Alberto","MALE","false","2","7","222",,"25","30","0.005118467464958694","0.5625","0.11251295722966627"
"die_mailaender","Die Mailänder","MALE","true","2","5","93",,"25","30","0.005118467464958694","0.5625","0.11251295722966627"
"der_vater","Der Vater","MALE","false","1","2","183",,"8","8","0","0.45251396648044695","0.027343944975934318"
"der_sohn","Der Sohn","MALE","false","1","1","5",,"8","8","0","0.45251396648044695","0.027343944975934318"
"kardinal_ugolini","Kardinal Ugolini","MALE","false","3","20","479",,"40","51","0.031177059834997703","0.6639344262295082","0.17000983756420174"
"gherardo","Gherardo","MALE","false","3","40","1287",,"32","40","0.021862294625452517","0.5912408759124088","0.11944839891992455"
"die_lombarden","Die Lombarden","MALE","true","3","4","74",,"37","47","0.028955474161866245","0.648","0.1555594386335214"
"der_bote","Der Bote","MALE","false","1","4","182",,"8","8","0","0.45251396648044695","0.027343944975934315"
"wilhelm","Wilhelm","MALE","false","3","30","500",,"35","45","0.023530889896918202","0.6377952755905512","0.1443801014119258"
"landolph","Landolph","MALE","false","5","48","907",,"37","53","0.03643579372923114","0.648","0.14556881641607544"
"giso","Giso","MALE","false","1","7","114",,"21","21","0","0.574468085106383","0.10242132948660036"
"ulrich","Ulrich","MALE","false","1","7","170",,"21","21","0","0.574468085106383","0.10242132948660036"
"rudolph","Rudolph","MALE","false","1","4","60",,"21","21","0","0.574468085106383","0.10242132948660036"
"das_deutsche_heer_das_kaiserliche_heer","Das deutsche Heer/Das kaiserliche Heer","MALE","true","3","10","48",,"43","57","0.016455067903532294","0.680672268907563","0.18972286217426848"
"heinrich_der_loewe","Heinrich der Löwe","MALE","false","6","101","2613","Q105378","43","70","0.04602304822142136","0.680672268907563","0.163360457470867"
"otto_von_wittelsbach","Otto von Wittelsbach","MALE","false","2","13","281",,"37","43","0.010009016269293307","0.648","0.1674154917165037"
