id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"tancred","Tancred","MALE","false","3","41","2072",,"17","20","0.024654844056012502","0.4661529994496423","0.11397549298339378"
"bohemund","Bohemund","MALE","false","2","7","179",,"11","13","0.0022484196534829446","0.35569020337152796","0.05521647397218837"
"guiskard","Guiskard","MALE","false","2","10","355",,"13","14","0.014068583153295903","0.4548523206751055","0.0962094161547356"
"der_graf_acerra","Der Graf Acerra","MALE","false","3","26","819",,"21","24","0.029707316197092225","0.47802950898976054","0.13824509449631087"
"hauptmann_von_schwarzeneck","Hauptmann von Schwarzeneck","MALE","false","2","19","386",,"14","16","0.0029693691572951555","0.3661006483482556","0.08026560820924725"
"ruprecht","Ruprecht","MALE","false","1","6","162",,"7","7","0","0.3411392405063291","0.03745039714353021"
"albert","Albert","MALE","false","2","9","251",,"14","16","0.0029693691572951555","0.3661006483482556","0.08026560820924723"
"wolfgang","Wolfgang","MALE","false","2","8","247",,"14","16","0.0029693691572951555","0.3661006483482556","0.08026560820924725"
"koenig_heinrich_kaiser_heinrich","König Heinrich/Kaiser Heinrich","MALE","false","6","183","6679","Q150953","42","55","0.4032121913572742","0.6700949367088608","0.3240204478417872"
"constanze","Constanze","FEMALE","false","4","36","756",,"25","34","0.013603968788973658","0.4905270124927608","0.1847303413446348"
"beatrice","Beatrice","FEMALE","false","1","3","18",,"10","10","0","0.4440865852745113","0.1093494687451241"
"hohenzollern","Hohenzollern","MALE","false","2","13","460",,"23","25","0.042101780076463646","0.5322739922793788","0.23116438772277878"
"erzherzog_von_oesterreich","Erzherzog von Österreich","MALE","false","2","5","66",,"23","25","0.042101780076463646","0.5322739922793788","0.23116438772277884"
"der_erzbischof_ophamilla_von_messina","Der Erzbischof Ophamilla von Messina","MALE","false","2","11","343",,"16","16","0.023834731210583215","0.46327551179871856","0.1365034576260225"
"achmet","Achmet","MALE","false","5","37","1051",,"32","43","0.059265203763743196","0.5140454308999479","0.2102663718325583"
"die_sarazenen","Die Sarazenen","MALE","true","2","5","24",,"17","19","0.032295611093079456","0.4661529994496423","0.1348854992330476"
"einer_des_gefolges","Einer des Gefolges","MALE","false","1","2","13",,"10","10","0","0.4440865852745113","0.1093494687451241"
"diephold","Diephold","MALE","false","5","38","727",,"32","43","0.059265203763743196","0.5140454308999479","0.2102663718325583"
"der_admiral","Der Admiral","MALE","false","1","2","63",,"10","10","0","0.4440865852745113","0.1093494687451241"
"joseph","Joseph","MALE","false","1","21","298",,"7","7","0","0.3411392405063291","0.015457231664409977"
"matthias","Matthias","MALE","false","1","18","214",,"7","7","0","0.3411392405063291","0.015457231664409977"
"die_kellnerin","Die Kellnerin","FEMALE","false","1","5","38",,"7","7","0","0.3411392405063291","0.015457231664409977"
"koenig_richard","König Richard","MALE","false","3","62","1780",,"24","25","0.1807854592664719","0.500337552742616","0.17325150340029635"
"erster_landmann","Erster Landmann","MALE","false","1","3","67",,"7","7","0","0.3411392405063291","0.01545723166440998"
"zweiter_landmann","Zweiter Landmann","MALE","false","1","2","32",,"7","7","0","0.3411392405063291","0.01545723166440998"
"der_diener","Der Diener","MALE","false","1","3","20",,"7","7","0","0.3411392405063291","0.01545723166440998"
"alle_anwesenden_oesterreicher","Alle anwesenden Österreicher","MALE","true","1","3","39",,"7","7","0","0.3411392405063291","0.015457231664409977"
"blondel","Blondel","MALE","false","2","15","651",,"17","18","0.021746186303148327","0.47802950898976054","0.1673091883017467"
"der_oesterreicher","Der Österreicher","MALE","false","1","3","63",,"3","3","0","0.3350474683544304","0.02101135315592986"
"der_kastellan","Der Kastellan","MALE","false","1","3","36",,"3","3","0","0.3350474683544304","0.02101135315592986"
"christoph","Christoph","MALE","false","3","31","790",,"18","23","0.04980136168062168","0.4810938007140539","0.08537018869632357"
"bernhard","Bernhard","MALE","false","1","6","107",,"8","8","0","0.3395956240334498","0.02327111217055693"
"wehrfried","Wehrfried","MALE","false","4","24","411",,"22","29","0.09286097436048747","0.49375416389073945","0.08875616905856963"
"gottfried","Gottfried","MALE","false","1","5","38",,"8","8","0","0.3395956240334498","0.02327111217055693"
"versammeltes_volk_alle_anwesenden","Versammeltes Volk/Alle Anwesenden","UNKNOWN","true","1","2","13",,"8","8","0","0.3395956240334498","0.02327111217055693"
"graf_borgholt","Graf Borgholt","MALE","false","2","12","263",,"14","17","0.005055801063590741","0.3868589325329505","0.04449399691801904"
"fuerst_borvin","Fürst Borvin","MALE","false","1","8","185",,"8","8","0","0.3395956240334498","0.02327111217055693"
"heinrich_der_loewe","Heinrich der Löwe","MALE","false","4","58","2727","Q105378","22","29","0.09286097436048747","0.49375416389073945","0.08875616905856963"
"otto","Otto","MALE","false","1","5","47","Q151457","8","8","0","0.3395956240334498","0.02327111217055693"
"buergermeister_rudlieb","Bürgermeister Rudlieb","MALE","false","1","21","396",,"6","6","0","0.33654992336947265","0.015413460910047784"
"ratsherr_hagener","Ratsherr Hagener","MALE","false","1","20","359",,"6","6","0","0.33654992336947265","0.01541346091004778"
"elisabeth","Elisabeth","FEMALE","false","1","3","25",,"6","6","0","0.33654992336947265","0.015413460910047784"
"buerger_von_bardewick","Bürger von Bardewick","UNKNOWN","true","2","6","47",,"13","15","0.006058638970031373","0.38487504057124305","0.041489822512061555"
"alle_anwesenden_gefolge_heinrichs_des_loewen","Alle Anwesenden/Gefolge Heinrichs des Löwen","MALE","true","1","1","2",,"6","6","0","0.33654992336947265","0.015413460910047784"
"erster_bardewicker","Erster Bardewicker","MALE","false","1","2","12",,"9","9","0","0.3771388588512181","0.03810384214981551"
"zweiter_bardewicker","Zweiter Bardewicker","MALE","false","1","2","17",,"9","9","0","0.3771388588512181","0.03810384214981551"
"erster_saechsischer_gewaffneter","Erster sächsischer Gewaffneter","MALE","false","1","1","5",,"9","9","0","0.3771388588512181","0.03810384214981551"
"zweiter_saechsischer_gewaffneter","Zweiter sächsischer Gewaffneter","MALE","false","1","1","10",,"9","9","0","0.3771388588512181","0.03810384214981551"
"der_reichsherold","Der Reichsherold","MALE","false","2","10","104",,"24","24","0.09077143239752782","0.5322739922793788","0.19253141005578214"
"prinz_heinrich","Prinz Heinrich","MALE","false","2","20","210","Q68259","19","21","0.021361279637813223","0.5140454308999479","0.18247650850061187"
"agnes","Agnes","FEMALE","false","2","30","585","Q119918","19","21","0.021361279637813223","0.5140454308999479","0.1824765085006119"
"der_reichskanzler","Der Reichskanzler","MALE","false","1","6","65",,"15","15","0","0.4720165591911472","0.1650013209811142"
"erzbischof_konrad_von_mainz","Erzbischof Konrad von Mainz","MALE","false","1","17","333",,"15","15","0","0.4720165591911472","0.1650013209811142"
"hermann_von_thueringen","Hermann von Thüringen","MALE","false","1","6","173",,"15","15","0","0.4720165591911472","0.1650013209811142"
"der_nuntius","Der Nuntius","MALE","false","1","5","71",,"15","15","0","0.4720165591911472","0.1650013209811142"
"erster_franzoesischer_gesandte","Erster französischer Gesandte","MALE","false","1","6","108",,"15","15","0","0.4720165591911472","0.1650013209811142"
"die_anwesenden_mitglieder_des_deutschen_reichstages","Die Anwesenden/Mitglieder des deutschen Reichstages","MALE","true","1","2","5",,"15","15","0","0.4720165591911472","0.1650013209811142"
"der_bote","Der Bote","MALE","false","1","1","2",,"15","15","0","0.4720165591911472","0.1650013209811142"
"ein_gewaffneter","Ein Gewaffneter","MALE","false","1","2","9",,"15","15","0","0.4720165591911472","0.1650013209811142"
"die_weisse_frau","Die Weiße Frau","FEMALE","false","1","6","248",,"6","6","0","0.44672995780590713","0.05531357309322425"
"erzbischof_matthaeus","Erzbischof Matthäus","MALE","false","2","20","410",,"16","17","0.012928982013694764","0.46327551179871856","0.11767947860317375"
"graf_von_aversa","Graf von Aversa","MALE","false","1","5","155",,"6","6","0","0.3411392405063291","0.03465085807905127"
"alle_anwesenden_normannen","Alle Anwesenden/Normannen","MALE","true","1","1","4",,"6","6","0","0.3411392405063291","0.03465085807905127"
"der_hauptmann","Der Hauptmann","MALE","false","1","3","34",,"9","9","0","0.35401241939336037","0.0560400783592108"
"ein_fraenkischer_krieger","Ein fränkischer Krieger","MALE","false","1","10","209",,"9","9","0","0.35401241939336037","0.0560400783592108"
"agib","Agib","MALE","false","1","8","129",,"9","9","0","0.35401241939336037","0.0560400783592108"
"caleb","Caleb","MALE","false","1","11","227",,"9","9","0","0.35401241939336037","0.0560400783592108"
"ein_deutscher_krieger","Ein deutscher Krieger","MALE","false","1","2","11",,"7","7","0","0.43889259012510173","0.07030259225897816"
"einer_der_deutschen_kreuzfahrer","Einer der deutschen Kreuzfahrer","MALE","false","1","2","39",,"7","7","0","0.43889259012510173","0.07030259225897816"
"ein_deutscher_hauptmann","Ein deutscher Hauptmann","MALE","false","1","3","79",,"11","11","0","0.4494049874933677","0.09708426202619137"
"ein_genueser","Ein Genueser","MALE","false","1","6","57",,"11","11","0","0.4494049874933677","0.09708426202619137"
"ein_pisaner","Ein Pisaner","MALE","false","1","7","71",,"11","11","0","0.4494049874933677","0.09708426202619137"
"der_sohn","Der Sohn","MALE","false","1","3","39",,"11","11","0","0.4494049874933677","0.09708426202619137"
"die_alte_sizilianerin","Die alte Sizilianerin","FEMALE","false","1","3","115",,"11","11","0","0.4494049874933677","0.09708426202619137"
"einer_aus_des_kaisers_gefolge","Einer aus des Kaisers Gefolge","MALE","false","1","1","11",,"11","11","0","0.4494049874933677","0.09708426202619137"
"der_knecht","Der Knecht","MALE","false","1","4","49",,"1","1","0","0.012658227848101266","3.428186490837552E-34"
"der_herr","Der Herr","MALE","false","1","4","137",,"1","1","0","0.012658227848101266","3.428186490837552E-34"
"einer_des_gefolgs","Einer des Gefolgs","MALE","false","1","1","22",,"6","6","0","0.4264240506329114","0.061104598357108186"
"alle_anwesende_5-3","Alle Anwesende (V/3)","UNKNOWN","true","1","1","1",,"6","6","0","0.4264240506329114","0.061104598357108186"
"erster_griechischer_gesandte","Erster griechischer Gesandte","MALE","false","1","1","13",,"6","6","0","0.4264240506329114","0.061104598357108186"
