id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"frau_hergentheim","Frau Hergentheim","FEMALE","false","25","173","2478",,"8","65","0.030555555555555558","0.9","0.3609866528781123"
"laura","Laura","FEMALE","false","14","106","861",,"8","36","0.030555555555555558","0.9","0.3609866528781123"
"kessler","Keßler","MALE","false","16","176","2547",,"7","29","0.011111111111111112","0.8181818181818182","0.3311463955883569"
"wilhelm","Wilhelm","MALE","false","10","61","516",,"6","25","0.005555555555555556","0.75","0.28418072242323295"
"rosi","Rosi","FEMALE","false","32","264","3130",,"9","66","0.12314814814814815","1","0.37817352690789946"
"else","Else","FEMALE","false","32","219","2228",,"8","71","0.030555555555555558","0.9","0.3609866528781124"
"winkelmann","Winkelmann","MALE","false","16","165","2571",,"7","42","0.03703703703703704","0.8181818181818182","0.31352475155290327"
"max","Max","MALE","false","18","124","1277",,"7","38","0.03703703703703704","0.8181818181818182","0.31352475155290327"
"comptoirdiener","Comptoirdiener","MALE","false","3","6","45",,"3","7","0","0.6","0.14031437448484427"
"dr_kosinski","Dr. Kosinski","MALE","false","3","21","298",,"5","9","0","0.6923076923076923","0.2436193982624707"
