id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"rudolph","Rudolph von Ebenburg","MALE","false","2","12","215",,"11","11","0.008582321817615935","0.72","0.23841153355175282"
"walther","Walther von Berneck","MALE","false","3","72","1868",,"13","15","0.051501711795829436","0.782608695652174","0.23864589269932976"
"heinrich","Heinrich von Orla","MALE","false","4","66","1032",,"8","15","0.005228758169934641","0.6428571428571429","0.17020442368072372"
"franz","Franz","MALE","false","5","38","939",,"11","20","0.030254694470380747","0.72","0.2102809040040835"
"georg","Georg","MALE","false","5","29","411",,"11","23","0.0049979250959643114","0.72","0.24336860056435217"
"conrad","Conrad","MALE","false","14","111","2109",,"18","57","0.1210965867828613","1","0.3241049074488674"
"burgvoigt","Burgvoigt","MALE","false","3","18","303",,"13","21","0.015136424940346508","0.782608695652174","0.2746865304916683"
"mathilde","Mathilde","FEMALE","false","6","102","1425",,"13","27","0.015136424940346508","0.782608695652174","0.2746865304916683"
"reinhard","Reinhard","MALE","false","8","126","3257",,"13","30","0.027871148459383748","0.782608695652174","0.26241677077982273"
"karl","Karl","MALE","false","12","202","5929",,"18","50","0.1210965867828613","1","0.3241049074488673"
"minnesaenger","Minnesänger","MALE","false","2","4","253",,"10","13","0.0036181139122315594","0.6923076923076923","0.2229947561867631"
"leopold","Leopold von Wildenberg","MALE","false","6","133","1722",,"12","23","0.010428986409378565","0.75","0.258360387349913"
"hofmeisterin","Hofmeisterin","FEMALE","false","3","14","284",,"12","17","0.014747380433654944","0.75","0.25059589109984326"
"adelheid","Adelheid","FEMALE","false","4","55","755",,"12","21","0.014747380433654944","0.75","0.25059589109984326"
"erster_knecht","1. Knecht","MALE","false","1","6","59",,"6","6","0","0.6","0.11104609840159785"
"zweiter_knecht","2. Knecht","MALE","false","1","5","83",,"6","6","0","0.6","0.11104609840159785"
"die_gestalt","Die Gestalt","UNKNOWN","false","1","3","19",,"6","6","0","0.6","0.11104609840159785"
"knecht_der_eine_fackel_traegt","Knecht, der eine Fackel trägt","MALE","false","1","1","3",,"7","7","0","0.6206896551724138","0.1647301967935555"
"wilhelm","Wilhelm","MALE","false","3","31","346",,"6","12","0","0.6","0.13316597433993665"
