id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"bonifatius","Bonifatius","MALE","false","3","4","2394",,"8","10","0.0005804311774461028","0.5114503816793893","0.05530115995842549"
"siegfried","Siegfried","MALE","false","23","158","5210",,"52","93","0.5749024547432242","0.8170731707317073","0.3566417456334174"
"grimoald","Grimoald","MALE","false","7","42","1157",,"12","19","0.010453518843055117","0.5403225806451613","0.06765553192559079"
"benno","Benno","MALE","false","13","80","1353",,"16","39","0.020637031621547532","0.5583333333333333","0.07758531685381058"
"wendelin","Wendelin","MALE","false","16","43","999",,"26","52","0.09022486080711001","0.6090909090909091","0.10075992110030699"
"kapellan","Kapellan","MALE","false","2","2","181",,"9","10","0.00045046164449149526","0.5275590551181102","0.061123490486046116"
"heinrich","Heinrich","MALE","false","8","46","1543",,"13","23","0.011122215884168155","0.43790849673202614","0.0411987216409818"
"dietrich","Dietrich","MALE","false","2","12","147",,"7","8","0.0005891684826555925","0.41875","0.027029097308772822"
"golo","Golo","MALE","false","28","194","8339",,"23","65","0.0935807499140566","0.5929203539823009","0.08789280664136503"
"genoveva","Genoveva","FEMALE","false","19","152","7072",,"26","58","0.07802062031050774","0.6090909090909091","0.10302013083794125"
"drago","Drago","MALE","false","6","25","893",,"14","26","0.018594335888214096","0.5491803278688525","0.07141867589693525"
"wolf","Wolf","MALE","false","5","27","1920",,"10","20","0.01599509340350588","0.5317460317460317","0.058628300890221904"
"else","Else","FEMALE","false","9","34","565",,"16","27","0.03180403858430835","0.5537190082644629","0.07449759237837582"
"guenther","Günther","MALE","false","2","4","61",,"16","21","0.0013568521031207595","0.5037593984962406","0.20394042917071872"
"erster_hauptmann_fraenkisches_lager","Erster Hauptmann (Fränkisches Lager)","MALE","false","1","3","31",,"7","7","0","0.47183098591549294","0.10129316388034852"
"zweiter_hauptmann_fraenkisches_lager","Zweiter Hauptmann (Fränkisches Lager)","MALE","false","1","1","15",,"7","7","0","0.47183098591549294","0.10129316388034852"
"otho","Otho","MALE","false","5","53","1234",,"26","38","0.024337188516292987","0.5537190082644629","0.2716821119153056"
"karl_martell","Karl Martell","MALE","false","5","48","1776",,"26","38","0.024337188516292987","0.5537190082644629","0.2716821119153056"
"herzog_von_aquitanien","Herzog von Aquitanien","MALE","false","3","30","667",,"16","24","0.0013568521031207595","0.5037593984962406","0.20394042917071872"
"derar","Derar","MALE","false","3","8","338",,"17","24","0.003424436260257155","0.5153846153846153","0.21308827189160023"
"abdorrhaman","Abdorrhaman","MALE","false","2","21","522",,"15","17","0.0015829941203075535","0.5075757575757576","0.201182346166196"
"ali","Ali","MALE","false","3","7","256",,"16","17","0.03450281062221361","0.5114503816793893","0.15565588686666973"
"zulma","Zulma","FEMALE","false","2","13","803",,"15","17","0.0015829941203075535","0.5075757575757576","0.20118234616619599"
"alle_um_abdorrhaman","Alle (um Abdorrhaman)","MALE","true","1","3","19",,"14","14","0","0.4962962962962963","0.19203450344531448"
"ein_hauptmann_fluechtig","Ein Hauptmann (flüchtig)","MALE","false","1","2","18",,"14","14","0","0.4962962962962963","0.19203450344531448"
"franke","Franke","MALE","false","1","1","9",,"14","14","0","0.4962962962962963","0.19203450344531448"
"ein_franken-hauptmann","Ein Franken-Hauptmann","MALE","false","1","2","16",,"14","14","0","0.4962962962962963","0.19203450344531448"
"alle_um_karl","Alle (um Karl)","MALE","true","1","1","2",,"14","14","0","0.4962962962962963","0.19203450344531448"
"bote_schlachtfeld","Bote (Schlachtfeld)","MALE","false","1","2","33",,"14","14","0","0.4962962962962963","0.19203450344531448"
"ein_unbekannter","Ein Unbekannter","MALE","false","1","3","623",,"14","14","0","0.4962962962962963","0.19203450344531448"
"gertrud","Gertrud","FEMALE","false","9","52","2071",,"11","25","0.003298932335567342","0.43790849673202614","0.04297794480277893"
"alle_im_schloss","Alle (Im Schloß)","UNKNOWN","true","1","1","7",,"6","6","0","0.4161490683229814","0.02837281099857267"
"andere_diener","Andere Diener","MALE","true","1","1","10",,"6","6","0","0.4110429447852761","0.02704440581307282"
"bote_fraenkisches_lager_vor_avignon","Bote (Fränkisches Lager vor Avignon)","MALE","false","1","3","46",,"3","3","0","0.4589041095890411","0.056195771820265764"
"diener_im_schlosse","Diener (Im Schlosse)","MALE","false","1","1","14",,"3","3","0","0.40606060606060607","0.01638035804122682"
"erster_buerger","Erster Bürger","MALE","false","1","3","38",,"3","3","0","0.3435897435897436","0.01832376082293255"
"zweiter_buerger","Zweiter Bürger","MALE","false","1","2","20",,"3","3","0","0.3435897435897436","0.01832376082293255"
"hauptmann_mit_ali","Hauptmann (mit Ali)","MALE","false","2","4","45",,"13","14","0.026103249983846995","0.5","0.1194859903484483"
"hauptleute","Hauptleute","MALE","true","1","1","19",,"11","11","0","0.49264705882352944","0.11733222930983318"
"erster_hauptmann_fraenkisches_lager_vor_avignon_nacht","Erster Hauptmann (Fränkisches Lager vor Avignon. Nacht)","MALE","false","1","3","11",,"11","11","0","0.49264705882352944","0.11733222930983318"
"zweiter_hauptmann_fraenkisches_lager_vor_avignon_nacht","Zweiter Hauptmann (Fränkisches Lager vor Avignon. Nacht)","MALE","false","1","1","7",,"11","11","0","0.49264705882352944","0.11733222930983318"
"dritter_hauptmann_fraenkisches_lager_vor_avignon_nacht","Dritter Hauptmann (Fränkisches Lager vor Avignon. Nacht)","MALE","false","1","1","11",,"11","11","0","0.49264705882352944","0.11733222930983318"
"diener_fraenkisches_lager_vor_avignon","Diener (Fränkisches Lager vor Avignon)","MALE","false","1","1","9",,"11","11","0","0.49264705882352944","0.11733222930983318"
"ein_andrer_hauptmann","Ein andrer Hauptmann","MALE","false","1","5","75",,"11","11","0","0.49264705882352944","0.11733222930983318"
"hauptmann_tritt_auf","Hauptmann (tritt auf)","MALE","false","1","1","17",,"11","11","0","0.49264705882352944","0.11733222930983318"
"diener_zimmer","Diener (Zimmer)","MALE","false","1","1","1",,"2","2","0","0.3785310734463277","0.00914897725088154"
"der_hochzeitsbitter","Der Hochzeitsbitter","MALE","false","1","3","116",,"5","5","0","0.4036144578313253","0.017887274914512072"
"arzt","Arzt","MALE","false","1","6","60",,"2","2","0","0.46853146853146854","0.027113138962160034"
"der_scherge","Der Scherge","MALE","false","1","5","107",,"1","1","0","0.3806818181818182","0.006291598551985733"
"winfreda","Winfreda","FEMALE","false","3","22","1056",,"4","5","0.0004942818375654196","0.5","0.03597190651559476"
"jaeger_mit_hoernern","Jäger mit Hörnern","MALE","true","1","1","72",,"2","2","0","0.4785714285714286","0.02775675118636591"
"schmerzenreich","Schmerzenreich","MALE","false","6","28","788",,"16","26","0.03114368482414615","0.5583333333333333","0.07320775074814029"
