id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"pamphilius","Pamphilius","MALE","false","2","19","282",,"7","8","0.014166666666666666","0.64","0.16503494089990858"
"cardenio","Cardenio","MALE","false","4","59","8051",,"15","22","0.16047619047619044","0.9411764705882353","0.3198244475400359"
"diener","Diener","MALE","false","1","1","22",,"3","3","0","0.5517241379310345","0.07361363794279242"
"reyen","Reyen","UNKNOWN","true","3","3","885",,"13","16","0.08281746031746032","0.8421052631578947","0.3005438958966333"
"celinde","Celinde","FEMALE","false","3","55","2274",,"13","18","0.06603174603174604","0.8421052631578947","0.3068156585110539"
"tyche","Tyche","MALE","false","2","38","1129",,"11","13","0.026984126984126982","0.7619047619047619","0.28009280524988434"
"sylvia","Sylvia","FEMALE","false","1","5","35",,"3","3","0","0.5161290322580645","0.08317820042767227"
"olympia","Olympia","FEMALE","false","3","49","2199",,"14","19","0.1063095238095238","0.8888888888888888","0.3135160953367865"
"vireno","Vireno","MALE","false","2","19","368",,"7","9","0.019047619047619046","0.64","0.14679985251745895"
"die_zeit","Die Zeit","UNKNOWN","false","1","2","160",,"4","4","0","0.5517241379310345","0.08068275350554878"
"der_mensch","Der Mensch","UNKNOWN","false","1","4","502",,"4","4","0","0.5517241379310345","0.08068275350554877"
"storax","Storax","MALE","false","1","14","252",,"10","10","0","0.7272727272727273","0.2729648592444075"
"lysander","Lysander","MALE","false","2","23","695",,"12","15","0.02416666666666667","0.8","0.299687712505577"
"knecht","Knecht","MALE","false","1","4","11",,"10","10","0","0.7272727272727273","0.2729648592444075"
"dorus","Dorus","MALE","false","1","2","26",,"10","10","0","0.7272727272727273","0.2729648592444075"
"cleon","Cleon","MALE","false","1","4","246",,"10","10","0","0.7272727272727273","0.2729648592444075"
"das_gespenst_dess_ritters","Das Gespenst deß Ritters","MALE","false","1","1","31",,"10","10","0","0.7272727272727273","0.2729648592444075"
