id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"fuerstin","Fürstin","FEMALE","false","3","51","766",,"24","38","0.02641303434954228","0.875","0.2191532732181554"
"heyskal","Rudolf von Heyskal","MALE","false","2","24","340",,"20","28","0.003233392122281012","0.7777777777777778","0.20233141266826993"
"skodny","Skodny","MALE","false","2","16","148",,"20","28","0.003233392122281012","0.7777777777777778","0.20233141266826993"
"judith","Judith","FEMALE","false","3","156","2045",,"24","39","0.022633744855967076","0.875","0.22152088462072794"
"westerhaus","Westerhaus","MALE","false","2","54","726",,"20","28","0.003233392122281012","0.7777777777777778","0.20233141266826993"
"braunigl","Braunigl","MALE","false","2","32","347",,"20","28","0.003233392122281012","0.7777777777777778","0.20233141266826993"
"gysar","Gysar","MALE","false","2","52","798",,"19","22","0","0.7567567567567568","0.19798291152907"
"rufe","Rufe","UNKNOWN","true","1","1","6",,"19","19","0","0.7567567567567568","0.19798291152907"
"arduin","Arduin","MALE","false","3","151","3364",,"23","33","0.015873015873015872","0.8484848484848485","0.21717238348152793"
"ambros","Ambros Doehl","MALE","false","4","268","3597",,"28","49","0.05639539766523895","1","0.2383427451706134"
"eligius","Eligius Fenz","MALE","false","3","93","1862",,"27","40","0.04610733182161754","0.9655172413793104","0.23399424403141342"
"julia","Julia","FEMALE","false","2","70","1287",,"20","28","0.003233392122281012","0.7777777777777778","0.20233141266826993"
"seraphine","Seraphine","FEMALE","false","3","211","2790",,"27","40","0.04610733182161754","0.9655172413793104","0.2339942440314135"
"elisabeth","Elisabeth","FEMALE","false","2","57","751",,"23","29","0.019652305366591072","0.8484848484848485","0.2148047720789554"
"leindorf","Leindorf","MALE","false","2","26","165",,"23","29","0.019652305366591072","0.8484848484848485","0.21480477207895549"
"erster_domino","Erster Domino","FEMALE","false","1","2","11",,"19","19","0","0.7567567567567568","0.19798291152907"
"zweiter_domino","Zweiter Domino","FEMALE","false","1","2","11",,"19","19","0","0.7567567567567568","0.19798291152907"
"max","Max von Reisenberg","MALE","false","5","368","4220",,"28","52","0.05639539766523895","1","0.2383427451706134"
"falkenir","Ulrich Freiherr von Falkenir","MALE","false","2","138","2714",,"23","30","0.015873015873015872","0.8484848484848485","0.21717238348152793"
"aurelie","Aurelie","FEMALE","false","3","247","5057",,"23","33","0.015873015873015872","0.8484848484848485","0.21717238348152793"
"diener","Diener","MALE","false","1","2","10",,"9","9","0","0.5957446808510638","0.09378798088374958"
"albine","Albine","FEMALE","false","1","6","37",,"10","10","0","0.6086956521739131","0.0907021824947044"
"ida","Ida","FEMALE","false","1","6","43",,"10","10","0","0.6086956521739131","0.0907021824947044"
"meyerhofer","Meyerhofer","MALE","false","1","2","0",,"10","10","0","0.6086956521739131","0.0907021824947044"
"devona","Die Devona","FEMALE","false","1","0","0",,"10","10","0","0.6086956521739131","0.0907021824947044"
"der_kleine_neger","Der kleine Neger","MALE","false","1","5","0",,"11","11","0","0.6222222222222222","0.1034683795174133"
"hansen","Hansen","MALE","false","1","68","878",,"11","11","0","0.6222222222222222","0.1034683795174133"
"gilda","Gilda","FEMALE","false","1","45","705",,"11","11","0","0.6222222222222222","0.1034683795174133"
"ein_hotelbediensteter","Ein Hotelbediensteter ","MALE","false","1","1","0",,"11","11","0","0.6222222222222222","0.1034683795174133"
