id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"michael","Michael","MALE","false","8","126","4433",,"25","38","0.46839224500989224","0.7659574468085106","0.3278836557495598"
"crambe","Crambe","MALE","false","3","37","610",,"10","17","0.014004957072183967","0.5538461538461539","0.09001159579207138"
"erster_verschworener","Erster Verschworener","MALE","false","5","28","841",,"11","26","0.015821113993382905","0.5625","0.09830879334546325"
"zweiter_verschworener","Zweiter Verschworener","MALE","false","6","29","1132",,"11","27","0.015821113993382905","0.5625","0.09830879334546325"
"leo","Leo","MALE","false","11","95","3786",,"20","40","0.19827996622114258","0.6428571428571429","0.29422879594296325"
"exabolius","Exabolius","MALE","false","5","55","1685",,"5","11","0","0.48","0.06864709106761038"
"nicander","Nicander","MALE","false","4","34","672",,"5","10","0","0.48","0.06864709106761038"
"trabanten","Trabanten","MALE","true","4","20","213",,"6","12","0.009925303454715224","0.4864864864864865","0.07091201969674346"
"reyen_der_hoeflinge","Reyen der Höflinge","MALE","true","3","3","783",,"7","10","0.005264550264550263","0.4931506849315068","0.07629419963364588"
"erster_richter","Erster Richter","MALE","false","3","17","498",,"12","27","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"zweiter_richter","Zweiter Richter","MALE","false","3","9","247",,"12","27","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"dritter_richter","Dritter Richter","MALE","false","3","9","227",,"12","27","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"vierter_richter","Vierter Richter","MALE","false","3","10","101",,"12","27","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"fuenfter_richter","Fünfter Richter","MALE","false","2","6","60",,"12","21","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"sechster_richter","Sechster Richter","MALE","false","2","5","81",,"12","21","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"siebenter_richter","Siebenter Richter","MALE","false","3","5","73",,"12","27","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"achter_richter","Achter Richter","MALE","false","2","4","47",,"12","21","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"neunter_richter","Neunter Richter","MALE","false","2","4","91",,"12","21","0.0020536870536870537","0.5294117647058824","0.25515972710597284"
"zehnter_richter","Zehnter Richter","MALE","false","1","1","9",,"11","11","0","0.5217391304347826","0.23909015812909185"
"richter","Richter","MALE","true","1","1","8",,"10","10","0","0.43902439024390244","0.21222950014451533"
"theodosia","Theodosia","FEMALE","false","4","90","2699",,"12","14","0.15299183387418686","0.6","0.1095783463143623"
"papias","Papias","MALE","false","2","30","173",,"5","5","0.010269218798630568","0.48","0.06274345950167941"
"reyen_der_spielleute_und_saenger","Reyen der Spielleute und Sänger","MALE","true","1","1","258",,"2","2","0","0.4044943820224719","0.029243500912872814"
"tarasii_geist","Tarasii Geist","MALE","false","1","1","227",,"2","2","0","0.4","0.029912678008674743"
"waechter","Wächter","MALE","false","1","10","102",,"3","3","0","0.45569620253164556","0.038250780859490206"
"dritter_verschworener","Dritter Verschworener","MALE","false","5","19","355",,"13","24","0.1237576219298908","0.5806451612903226","0.09965549132230404"
"jamblichius","Jamblichius","MALE","false","1","10","920",,"2","2","0","0.375","0.008892587415301419"
"der_geist","Der Geist","MALE","false","1","1","39",,"2","2","0","0.375","0.008892587415301419"
"vierter_verschworener","Vierter Verschworener","MALE","false","3","11","175",,"11","21","0.015821113993382905","0.5625","0.09830879334546325"
"diener","Diener","MALE","false","1","5","27",,"6","6","0","0.391304347826087","0.04775308347266557"
"sechster_verschworener","Sechster Verschworener","MALE","false","3","3","49",,"11","21","0.015821113993382905","0.5625","0.09830879334546325"
"fuenfter_verschworener","Fünfter Verschworener","MALE","false","2","4","200",,"10","15","0.008229402872260013","0.5538461538461539","0.09469292078259403"
"jungfrauen","Jungfrauen","FEMALE","true","1","2","201",,"8","8","0","0.41379310344827586","0.061568911626055836"
"priester","Priester","MALE","true","2","18","645",,"12","12","0.03187916580773723","0.45569620253164556","0.07395078447487194"
"phronesis","Phronesis","FEMALE","false","1","9","81",,"4","4","0","0.4","0.01798144078971712"
"oberster_priester","Oberster Priester","MALE","false","1","2","10",,"4","4","0","0.4","0.01798144078971712"
"bothe","Bothe","MALE","false","1","3","486",,"4","4","0","0.4","0.01798144078971712"
