id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"peter_squentz","Peter Squentz","MALE","false","3","91","3123",,"13","21","0.035897435897435895","1","0.29590972539844085"
"pickelhaering","Pickelhäring","MALE","false","1","22","405",,"6","6","0","0.65","0.1420080080875717"
"meister_kricks-ueber-und-ueber","Meister Kricks-über-und-über","MALE","false","2","18","455",,"13","17","0.035897435897435895","1","0.29590972539844085"
"meister_bullabutaen","Meister Bullabutän","MALE","false","2","11","375",,"13","17","0.035897435897435895","1","0.29590972539844085"
"meister_klipperling","Meister Klipperling","MALE","false","2","9","281",,"13","17","0.035897435897435895","1","0.29590972539844085"
"meister_lollinger","Meister Lollinger","MALE","false","2","13","389",,"13","17","0.035897435897435895","1","0.29590972539844085"
"meister_klotz-george","Meister Klotz-George","MALE","false","1","12","158",,"6","6","0","0.65","0.1420080080875717"
"theodorus","Theodorus","MALE","false","2","27","378",,"11","15","0","0.8666666666666667","0.2730396683244546"
"eubulus","Eubulus","MALE","false","2","11","294",,"11","15","0","0.8666666666666667","0.2730396683244546"
"cassandra","Cassandra","FEMALE","false","2","11","84",,"11","15","0","0.8666666666666667","0.2730396683244546"
"serenus","Serenus","MALE","false","2","34","431",,"11","15","0","0.8666666666666667","0.2730396683244546"
"violandra","Violandra","FEMALE","false","1","7","97",,"11","11","0","0.8666666666666667","0.2730396683244546"
"piramus","Piramus","MALE","false","1","28","872",,"11","11","0","0.8666666666666667","0.2730396683244546"
"thisbe","Thisbe","FEMALE","false","1","21","758",,"11","11","0","0.8666666666666667","0.2730396683244546"
