id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"ewigkeit","Ewigkeit","UNKNOWN","false","1","1","744",,"0","0","0","0","4.682383267581574E-17"
"demetrius","Demetrius","MALE","false","3","30","2915",,"3","5","0","0.39319727891156464","0.117183930728068"
"procopius","Procopius","MALE","false","3","15","313",,"3","5","0","0.39319727891156464","0.117183930728068"
"salome","Salome","FEMALE","false","6","48","1052",,"10","15","0.06547619047619048","0.5504761904761906","0.36563788868479813"
"catharina","Catharina","FEMALE","false","13","127","8016",,"13","19","0.29047619047619044","0.655328798185941","0.3939191561476147"
"chach_abas","Chach Abas","MALE","false","9","87","3754",,"4","9","0.021031746031746033","0.43005952380952384","0.07850466571869953"
"die_jungfrauen","Die Jungfrauen / Reye der Gefangenen Jungfrauen","FEMALE","true","4","15","692",,"9","9","0.14285714285714288","0.5097001763668431","0.3307177099702294"
"seinel_can","Seinel Can","MALE","false","5","61","1635",,"3","7","0.002777777777777778","0.31277056277056275","0.03206148372434967"
"iman_culi","Iman Culi","MALE","false","3","42","699",,"3","5","0.018253968253968255","0.40476190476190477","0.06742935823526065"
"der_gesandte_auss_reussen","Der Gesandte auß Reussen","MALE","false","4","26","1569",,"5","5","0.05476190476190476","0.4439324116743471","0.09393637182542837"
"reye_der_von_chach_abas_erwuergeten_fuersten","Reye der von Chach Abas erwürgeten Fürsten","MALE","true","1","1","378",,"0","0","0","0","4.682383267581574E-17"
"der_blutrichter","Der Blutrichter","MALE","false","2","10","106",,"8","10","0.019444444444444445","0.5097001763668431","0.33800583234903936"
"jungfrau_1","Jungfrau I","FEMALE","false","1","1","8",,"7","7","0","0.4745484400656814","0.318686648124621"
"jungfrau_2","Jungfrau II","FEMALE","false","1","1","3",,"7","7","0","0.4745484400656814","0.31868664812462105"
"jungfrau_3","Jungfrau III","FEMALE","false","1","1","5",,"7","7","0","0.4745484400656814","0.31868664812462105"
"jungfrau_4","Jungfrau IV","FEMALE","false","1","1","85",,"7","7","0","0.4745484400656814","0.31868664812462105"
"tod","Tod","UNKNOWN","false","1","16","353",,"1","1","0","0.047619047619047616","6.13729339648452E-12"
"libe","Libe","UNKNOWN","false","1","16","348",,"1","1","0","0.047619047619047616","6.13729339648452E-12"
"cassandra","Cassandra","FEMALE","false","1","4","170",,"2","2","0","0.3276643990929705","0.05102260301823823"
"serena","Serena","FEMALE","false","1","9","624",,"2","2","0","0.3276643990929705","0.05102260301823823"
"der_priester","Der Priester","MALE","false","2","7","414",,"5","5","0.05158730158730159","0.4439324116743471","0.16385980718840115"
"diener","Diener","MALE","false","1","1","7",,"2","2","0","0.31277056277056275","0.03445707972942847"
