id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"daradiridatumtarides","Daradiridatumtarides","MALE","false","7","52","1586",,"8","13","0.1474925951241741","0.5882352941176471","0.2839746082829599"
"don_cacciadiavolo","Don Cacciadiavolo","MALE","false","2","7","135",,"3","5","0","0.40816326530612246","0.11153206329859731"
"don_diego","Don Diego","MALE","false","4","17","403",,"4","7","0.013413078149920257","0.46511627906976744","0.15395070513082917"
"antonia","Antonia","FEMALE","false","6","42","765",,"4","9","0.10263157894736842","0.47619047619047616","0.12243172976384799"
"selene_selenissa","Selene/Selenissa","FEMALE","false","7","50","1047",,"7","13","0.08950786056049213","0.5405405405405406","0.22469491014858048"
"flaccilla","Flaccilla","FEMALE","false","3","32","664",,"4","5","0.009135338345864661","0.4444444444444444","0.15425474333116448"
"sophia","Sophia","FEMALE","false","3","14","412",,"6","7","0.03449874686716791","0.5405405405405406","0.23503289154203488"
"sempronius","Sempronius","MALE","false","8","143","1837",,"6","10","0.06156641604010022","0.5405405405405406","0.24114005210936626"
"cyrilla","Cyrilla","FEMALE","false","9","179","2880",,"7","11","0.09947026657552974","0.5714285714285714","0.2944331474286271"
"horribilicribrifax","Horribilicribrifax","MALE","false","8","76","2459",,"8","13","0.11985873775347461","0.5882352941176471","0.33084627085421514"
"page","Page","MALE","false","3","9","209",,"5","8","0.005877192982456141","0.4878048780487805","0.24426518753294918"
"coelestina","Coelestina","FEMALE","false","8","88","1530",,"9","17","0.1476429710640237","0.6060606060606061","0.36259171792143263"
"camilla","Camilla","FEMALE","false","6","50","910",,"6","13","0.03688881294144452","0.5128205128205128","0.26674067165260357"
"palladius","Palladius","MALE","false","7","35","919",,"4","11","0.0281704260651629","0.43478260869565216","0.15600573320422054"
"der_ander_page","Der ander Page","MALE","false","1","1","8",,"4","4","0","0.4444444444444444","0.19660043642061129"
"bonosus","Bonosus","MALE","false","5","13","182",,"2","6","0","0.37037037037037035","0.06533874172289089"
"cleander","Cleander","MALE","false","5","43","968",,"7","9","0.11442811574390521","0.5405405405405406","0.23218072410125573"
"harpax","Harpax","MALE","false","4","26","449",,"3","6","0.002506265664160401","0.46511627906976744","0.13409671598999248"
"rabbi","Rabbi","MALE","false","1","16","461",,"1","1","0","0.32786885245901637","0.020607722635487654"
"dionysis","Dionysis","MALE","false","3","13","246",,"5","5","0.048786739576213246","0.5405405405405406","0.20809074455443563"
"florianus_florentin","Florianus/Florentin","MALE","false","3","27","895",,"5","7","0.10654591023012071","0.5714285714285714","0.1980996687740794"
