id,name,gender,isGroup,numOfScenes,numOfSpeechActs,numOfWords,wikidataId,degree,weightedDegree,betweenness,closeness,eigenvector
"gemahlin","Gemahlin","FEMALE","false","6","59","1888",,"3","4","0.017470300489168412","0.12394572790612395","0.000028903001762851307"
"fairfax","Fairfax","MALE","false","6","100","2005",,"5","7","0.06219426974143955","0.1584622597280825","0.00028761919239920445"
"peter","Hugo Peter","MALE","false","5","44","1687",,"5","7","0.09888190076869321","0.19560185185185183","0.0028260309531109463"
"axtel","Daniel Axtel","MALE","false","1","5","87",,"2","2","0","0.14225589225589225","0.0005042476724956429"
"hewlet","Wilhelm Hewlet","MALE","false","2","7","216",,"3","4","0.005939902166317261","0.17631716223265517","0.002778982484432076"
"chor_der_ermordeten_engellaendischen_koenige","Chor der ermordeten engelländischen Könige","MALE","true","1","1","427",,"0","0","0","0","2.2423770230980908E-54"
"strafford","Der Geist Straffords","MALE","false","1","8","2011",,"1","1","0","0.018518518518518517","1.2623460407060905E-39"
"laud","Der Geist Lauds","MALE","false","1","7","602",,"1","1","0","0.018518518518518517","1.2623460407060905E-39"
"geist_mariae_stuardae","Geist Mariae Stuardae","FEMALE","false","1","1","797",,"0","0","0","0","2.2423770230980908E-54"
"carol","Carol","MALE","false","5","52","5413",,"15","18","0.1275331935709294","0.2454611474219317","0.30073823611657174"
"juxton","Juxton","MALE","false","4","22","443",,"14","17","0.012229210342417888","0.2019115890083632","0.2984635013046352"
"hertzog_von_glocester","Hertzog von Glocester","MALE","false","1","7","86",,"3","3","0","0.16916916916916916","0.05923543549488642"
"princes","Princes","FEMALE","false","1","7","75",,"3","3","0","0.16916916916916916","0.05923543549488642"
"chor_der_syrenen","Chor der Syrenen","FEMALE","true","1","1","244",,"0","0","0","0","2.2423770230980908E-54"
"hacker","Franciscus Hacker","MALE","false","2","22","273",,"3","3","0.11180992313067784","0.22354497354497355","0.027559768106484327"
"obrist_1","I. Obrist","MALE","false","3","34","545",,"3","4","0.0006988120195667365","0.12394572790612395","0.00003105467928884002"
"obrist_2","II. Obrist","MALE","false","2","16","173",,"2","3","0","0.12153901474289823","0.00002866907633219"
"cromwell","Cromwell","MALE","false","4","115","1385",,"3","5","0.017470300489168412","0.15266485998193316","0.00028240104897171703"
"hoffe-meister","Hoffe-Meister","MALE","false","2","12","783",,"2","2","0.001397624039133473","0.041666666666666664","7.94305660567587E-34"
"der_gesandte_aus_holland","Der Gesandte aus Holland","MALE","false","1","4","337",,"1","1","0","0.027777777777777776","4.909078956872059E-34"
"graf_1","I. Graf","MALE","false","2","29","1981",,"2","2","0.001397624039133473","0.041666666666666664","7.94305660567587E-34"
"graf_2","II. Graf","MALE","false","1","21","287",,"1","1","0","0.027777777777777776","4.909078956872059E-34"
"der_gesandte_aus_schottland","Der Gesandte aus Schottland","MALE","false","1","57","525",,"1","1","0","0.11699550017307025","0.00002540583947587073"
"jungfrauen","Jungfrauen","FEMALE","true","2","5","129",,"12","12","0.017470300489168412","0.19560185185185183","0.28636215087213424"
"frauen","Frauen","FEMALE","true","1","3","124",,"1","1","0","0.1406575114440283","0.025762194805980156"
"thomlisson","Matthias Thomlisson","MALE","false","1","7","76",,"2","2","0","0.16691358024691358","0.053906397338172284"
"edelknabe","Edelknabe","MALE","false","1","3","30",,"1","1","0","0.09935332157554379","0.000002600220593484236"
"die_religion","Die Religion","UNKNOWN","false","1","2","331",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_1","I. Ketzer","MALE","false","1","2","13",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_2","II. Ketzer","MALE","false","1","2","11",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_3","III. Ketzer","MALE","false","1","1","9",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_4","IV. Ketzer","MALE","false","1","1","8",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_5","V. Ketzer","MALE","false","1","1","3",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_6","VI. Ketzer","MALE","false","1","2","18",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_7","VII. Ketzer","MALE","false","1","1","2",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_8","VIII. Ketzer","MALE","false","1","1","2",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"ketzer_9","IX. Ketzer","MALE","false","1","1","2",,"9","9","0","0.16666666666666666","0.000022423770230980902"
"poleh","Poleh","MALE","false","1","1","954",,"0","0","0","0","2.2423770230980908E-54"
"jungfrau_1","I. Jungfrau","FEMALE","false","1","8","106",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_2","II. Jungfrau","FEMALE","false","1","7","77",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_3","III. Jungfrau","FEMALE","false","1","5","74",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_4","IV. Jungfrau","FEMALE","false","1","5","44",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_7","VII. Jungfrau","FEMALE","false","1","2","59",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_5","V. Jungfrau","FEMALE","false","1","2","13",,"11","11","0","0.1925925925925926","0.2842357846004506"
"hencker","Hencker","MALE","false","1","3","13",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_6","VI. Jungfrau","FEMALE","false","1","5","65",,"11","11","0","0.1925925925925926","0.2842357846004506"
"jungfrau_8","VIII. Jungfrau","FEMALE","false","1","1","8",,"11","11","0","0.1925925925925926","0.2842357846004506"
"geist_1","I. Geist","MALE","false","1","3","45",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"geist_2","II. Geist","MALE","false","1","3","43",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"geist_3","III. Geist","MALE","false","1","1","20",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"geist_4","IV. Geist","MALE","false","1","2","24",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"geist_5","V. Geist","MALE","false","1","2","24",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"geist_6","VI. Geist","MALE","false","1","2","27",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"geist_7","VII. Geist","MALE","false","1","1","20",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
"die_rache","Die Rache","UNKNOWN","false","1","1","220",,"7","7","0","0.12962962962962962","4.0005342904920144E-10"
